File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"Vi City, Vega Heartbreak - Deuces & Waves_004.mp3",161.4990234375,0.4477399,0.08782786,2098.274757790088,638726.7712848481,0.0837960540560046,0.006332521125419,1.6661009,4.340204,4.4023476e-05,0.04462777,5.5122044e-05,0.035396863,0.0069702158501816,0.0111019007437991,0.2617895,0.026828315,-77.28159,95.53304,-13.643419,11.254804,5.4625025,10.212877,8.590719,7.7951837,2.9664347,2.7432818,0.43820015,0.2924328,-2.412129,4457.4834,1245.9121,1151.3191,447.04337,393.81552,262.16434,196.01608,102.22348,95.80413,66.56815,89.544,77.80797,60.575077,RnB
Krispel - Attention_002.mp3,117.45383522727272,0.46852013,0.08138975,2608.774062600407,389323.86012619257,0.10528564453125,0.0042701127628485,1.451226,1.9860278,-7.1710885e-05,0.06073825,0.00015102164,0.025674751,0.0033816552531894,0.0129258397060983,0.32325003,0.006706621,3.4505198,77.68681,-6.6765194,20.520817,-2.502004,5.8054013,11.657964,5.202307,8.4075,5.7130456,-0.49451447,-1.2674272,-4.729087,1363.3265,731.0564,674.0266,194.39244,285.73874,174.20534,117.502975,117.00307,125.60401,117.15983,95.20031,66.44474,56.28622,RnB
Ne-Yo - Miss Independent_000.mp3,117.45383522727272,0.47796494,0.08433099,2470.9405195944905,446729.2413338331,0.1095215971420323,0.0030307136396761,1.8575116,7.5934277,8.947625e-06,0.012217938,-0.0001231155,0.024314169,-0.0094047568813999,0.0028895754138531,0.19466916,0.013690218,-44.850975,86.7915,-13.988304,9.964668,-13.530996,10.282741,4.5342746,12.122977,2.0904746,6.3009696,-6.421081,0.08227904,-6.6218204,5952.626,704.07947,317.18073,209.19583,154.99289,64.427155,51.163177,61.73203,50.979748,54.64388,41.396454,40.978836,60.317787,RnB
"Flight, Tee Grizzley - DBZ_002.mp3",103.359375,0.47535306,0.095399916,3240.630028040594,488710.5866137161,0.0845981174045139,0.0066141433622918,1.414054,1.5989943,-0.00029984894,0.14108352,0.0005155144,0.03065789,0.0351426188008068,0.016453463140581,0.4290767,0.0085666645,16.78473,58.27597,16.114836,14.314254,-6.9609995,11.546355,11.391929,16.30991,0.44289145,5.935668,-5.350421,9.173736,-5.149033,1014.9738,498.58127,361.4947,140.43051,227.71855,112.26841,121.55004,94.51772,74.032875,66.878426,41.956814,48.883915,35.911808,RnB
"Young Money, Lloyd - BedRock_004.mp3",99.38401442307692,0.39864993,0.08903271,3230.8462998246323,756108.4220661239,0.1639564989896074,0.0087147516651095,1.6003938,2.7270913,-1.8412927e-06,0.014127304,-3.966585e-06,0.009886511,0.0050262581869933,0.0066704217838659,0.16175237,0.0045115394,-47.896824,54.775764,-11.298981,7.0754557,-2.1007168,1.8563421,0.81024635,3.347661,1.5358193,3.055596,-3.9355197,-2.0468373,-10.950436,3213.6223,1292.6956,696.2574,389.20947,289.0523,183.20984,135.13197,132.92763,96.17671,67.82117,53.948902,55.07265,61.806507,RnB
Ne-Yo - Go On Girl_001.mp3,83.35433467741936,0.41228595,0.09337775,2235.823520849011,619377.825223134,0.0966379636980369,0.0041918214079618,1.2574838,3.389171,-4.5227112e-05,0.02581308,-3.0089497e-05,0.00955337,-0.0184890063659513,0.0039720492494244,0.19884066,0.008293562,-61.504063,98.233795,7.0567355,15.338811,2.159877,0.060363416,-10.606612,-4.5878496,-6.733296,-2.3256218,-5.617437,5.4888935,5.045933,2652.8591,752.8021,301.85297,171.6017,110.700935,181.95111,127.88211,77.63749,98.53277,60.070007,98.73874,50.104027,87.5004,RnB
"Fabolous, The-Dream - Throw It In The Bag_002.mp3",86.1328125,0.3806649,0.08968377,2191.465589293636,318555.5577483331,0.0872328016493055,0.0021661541620154,1.4679924,4.0469203,-1.3159324e-05,0.029278493,5.2330885e-05,0.01103268,-0.0314403989928966,0.0086099901147466,0.21576189,0.0060816696,-50.893383,93.0358,-12.374939,18.850172,9.504291,9.631488,3.438281,8.926911,-2.584574,10.298586,4.037833,7.6970315,4.2758417,2845.8066,755.64606,283.0864,123.43551,159.691,57.461544,71.75203,50.25686,56.1048,86.916954,153.34325,85.1707,121.23075,RnB
Dizzy Wright - I'm O.K._003.mp3,107.666015625,0.4587412,0.085798964,2770.4186148003528,397233.1763890447,0.1237877544024249,0.0043333750234147,1.2714065,2.690872,8.403565e-05,0.04091084,3.0398398e-06,0.04011106,-0.0024811273451331,0.0026705806141537,0.28498626,0.02274696,-2.3095431,77.56344,3.2883995,12.390998,-13.999448,3.109462,-3.965249,3.7304564,2.916371,-0.88691396,-7.796558,5.8287597,0.42341393,2009.802,488.79028,367.95062,296.1646,197.44356,185.82344,164.10266,81.34122,95.50394,74.780426,64.57401,68.82873,58.316757,RnB
"Young Money, Lloyd - BedRock_000.mp3",143.5546875,0.31615096,0.094823815,3523.6498993562523,254700.2432634675,0.2058945583140877,0.0032156540295106,1.6345521,3.9280314,-6.2703657e-06,0.003758265,-3.2393524e-05,0.0044694557,-0.0017070902213484,0.0044261945991436,0.10156236,0.0024132761,-81.97259,43.508423,-25.093143,-6.914357,-8.7588,-2.6114068,-16.948862,-8.288332,-6.858333,-3.9523723,-4.4723325,-0.5295359,-1.8891766,4528.0024,350.68518,340.80573,152.67307,139.81157,93.482895,74.18608,78.70333,141.27719,97.233765,122.29056,163.91643,142.17542,RnB
"Vi City, Vega Heartbreak - Deuces & Waves_005.mp3",107.666015625,0.44928393,0.09258747,2062.689970206114,994856.918965329,0.0657054759837963,0.0068567738407106,1.6603414,5.4953027,3.9819064e-05,0.08038019,8.937851e-05,0.027546424,0.0075046229266236,0.0178731041595485,0.31681648,0.03150129,-71.1529,98.7092,3.2639513,14.9673195,2.8595998,13.805196,14.349383,9.59601,7.616574,5.8233294,0.24174935,2.9228594,-4.251605,4263.176,1295.6115,699.6097,529.8521,473.35876,225.00322,83.70155,89.17784,91.16173,63.622944,59.581364,54.992485,44.925533,RnB
Tylan - Give It A Try_001.mp3,135.99917763157896,0.3479967,0.092053294,2729.7345382906524,477065.808989086,0.1522783451212471,0.0026723673552601,1.4479854,4.2131104,-1.9554165e-05,0.0019929765,-3.140418e-05,0.0016816956,0.0123229534455359,0.0040532684138118,0.064927176,0.00091400655,-148.34807,77.688126,-31.454437,-16.541668,-22.545626,-4.7978697,-11.386735,-0.8883237,-15.088919,-0.8805198,-2.677686,-3.6448402,-6.4571137,4721.757,899.3625,601.9665,369.96286,216.49107,119.33037,138.81293,143.61275,109.445694,90.21501,111.35246,92.44708,149.52104,RnB
Drake - Best I Ever Had_001.mp3,107.666015625,0.49100167,0.07588921,2764.2638850915905,491122.8786451839,0.1400374837615473,0.0033710416500196,1.3221159,1.8247595,-7.341278e-05,0.017486332,2.0793645e-05,0.021021683,0.0054178416403017,0.0027708085007504,0.22546,0.006420074,-3.7278302,82.14407,11.478612,18.74078,-8.83287,7.3846865,0.6067846,5.8458543,0.96073097,4.1291604,-4.484188,0.2627644,-4.1780276,1297.028,605.56525,305.68726,131.63426,171.03186,85.897354,83.15695,64.07312,71.73019,42.85163,46.676197,34.393238,28.509224,RnB
Anzyeity - omg_004.mp3,95.703125,0.4883457,0.086435005,2332.5074828872434,279843.3549739949,0.0648760013712471,0.0021003907222102,1.1738417,0.955631,-9.82176e-06,0.097591765,8.7635904e-05,0.03816977,-0.0125189914946137,0.0019355731934796,0.406854,0.012448976,9.149297,85.30601,4.2289424,23.439394,3.1327155,18.142593,10.224319,11.319176,1.0689436,11.537373,12.323254,-0.23822053,-1.8446743,372.00824,368.2186,164.50691,68.13166,113.10997,39.205574,53.129997,41.421505,50.154472,31.90095,38.906765,27.914944,45.711803,RnB
SavageRealm - Love Me Better_000.mp3,107.666015625,0.49356532,0.07051317,1773.234217626292,48829.49225695352,0.0591869045900692,0.0004748907295188,0.91684574,1.4148397,-7.258454e-05,0.096697666,-0.0002360655,0.0066338596,-0.0258905853753174,0.0194016851667764,0.35190868,0.004535716,7.4970155,116.398544,-1.3669482,31.358921,2.9360044,13.360721,-1.2746753,4.518989,-6.175768,0.9718117,-5.1472654,-0.23347953,-4.5337644,920.04913,92.098694,59.2806,39.286465,29.266851,38.159588,19.507753,24.949078,22.303848,21.031342,24.153332,23.528221,24.377844,RnB
