File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Alicia Keys - No One.mp3,89.10290948275862,0.3830539,0.09580308,2304.3393868730745,390481.4202997637,0.0956504653677039,0.0044429914077375,1.3522376,3.5139534,1.353559e-05,0.030105166,-3.3958484e-05,0.030850403,-0.0190597083207713,0.0047235354912853,0.26580998,0.018782856,-61.677197,87.50213,0.08325242,17.437878,10.36187,17.04624,2.393692,15.995014,5.9761605,17.31778,1.1190797,3.8856618,0.24965142,4889.0684,537.42633,556.3527,189.09651,258.7126,94.95365,149.1042,143.99918,140.93187,179.94766,119.2112,109.82217,102.14817,RnB
Jeremih - Love Don't Change.mp3,117.45383522727272,0.34881508,0.09163038,2736.3664560476964,799755.7534889141,0.1327704100430034,0.005416969998384,1.1450822,1.3340993,4.4672637e-05,0.012005341,-7.268595e-06,0.007855488,-0.0152095006218978,0.0096718923631576,0.1448933,0.006571567,-93.92968,81.21752,4.952595,3.9382596,-13.372101,9.221359,-6.3617983,6.878196,-2.7649028,1.8116835,-5.854731,4.29258,1.5673231,8732.858,1286.6882,540.4997,263.25574,474.24295,238.72221,183.43536,163.78802,115.149086,90.48457,75.91031,110.85323,82.39883,RnB
"Rihanna, Ne-Yo - Hate That I Love You.mp3",95.703125,0.36336112,0.09006102,2725.915588531469,436054.4001917303,0.1320828149159257,0.003881636269426,1.3845854,1.8965999,1.5648673e-05,0.011674409,2.5892337e-05,0.018882195,0.0015015074911969,0.0026602421499027,0.18601549,0.006311036,-35.87384,77.94279,-5.2045255,10.92243,-12.215418,1.8088331,-12.97855,-3.3060784,-10.135096,-0.16435072,-6.4389267,-1.5137001,-4.074755,3607.9482,677.4097,289.74164,227.58267,182.95335,127.25174,115.69221,82.65518,92.01923,101.46804,92.84852,83.344284,95.64602,RnB
Anzyeity - omg.mp3,143.5546875,0.47520304,0.08852889,2249.509619229811,382819.6861412888,0.0623567431508504,0.0030698581157496,1.1931032,0.6302875,0.00015960075,0.0981518,-0.0001838533,0.03874255,-0.0113312806671958,0.0019502637236068,0.40452346,0.0147507265,-4.601534,88.32233,7.4939694,22.998539,5.043088,15.356432,9.608727,12.399161,1.034632,12.171692,13.257621,1.5832676,-2.75741,900.6896,531.4216,220.68295,83.488625,121.031044,57.7606,59.40749,53.62875,50.963062,41.573475,45.930073,37.656925,48.32094,RnB
Ne-Yo - One In A Million.mp3,99.38401442307692,0.40286627,0.089609206,2493.034731186059,730837.5652326668,0.1187091557547352,0.0072372782657404,1.4858674,3.2474847,-0.00015316205,0.02674476,0.00018014495,0.024506105,0.0105731124539096,0.0032424002145093,0.22283523,0.016887814,-57.5925,82.93897,-15.549456,13.856074,-2.353423,2.759476,-9.440505,-3.603761,-11.455193,-0.45883054,-3.6510088,2.4991994,1.5441693,10290.305,1595.1198,445.22513,248.2349,221.81044,155.06172,164.96953,129.667,107.96891,119.37767,81.67085,107.09214,90.11787,RnB
Beyoncé - If I Were a Boy.mp3,89.10290948275862,0.3739092,0.09110535,2471.0068994086446,603375.144110649,0.1213428923463471,0.0059622937183788,1.1920257,1.4702423,-2.0737729e-05,0.012711993,-7.0409216e-05,0.008990823,-0.009398299185022,0.0057885071431081,0.14284171,0.009271288,-97.86046,88.76137,0.09044358,17.710732,-11.290057,8.235539,-9.748943,-2.6790345,-8.300223,-2.4814112,-10.908832,-2.2708597,-0.72187173,9386.462,892.9625,352.52957,204.87062,273.53787,140.68225,151.63089,122.56069,138.46849,121.051414,85.147095,73.90745,60.941975,RnB
"Mason Groovy, Nigel Knight, R.O.Z - Easy Money.mp3",112.34714673913044,0.3803366,0.09036165,2271.634523816805,520773.69983928185,0.1034216303875145,0.0041513690106619,1.3425434,1.6618236,-0.00010654237,0.044677258,4.4465367e-05,0.02351621,0.0121721035992073,0.0065285600034162,0.28327385,0.021190086,-29.060175,93.05424,-15.262949,14.47699,-5.70683,0.59396213,2.5513334,0.41598246,-5.404719,2.4672177,-1.4038182,8.534578,8.675515,3827.1187,821.0115,754.3988,306.77515,515.04236,239.09195,218.31697,137.74875,101.68937,67.69289,81.782074,84.279816,79.06468,RnB
Drake - Best I Ever Had.mp3,107.666015625,0.45328286,0.08206875,2789.573507797681,467821.5771651773,0.1446378904740046,0.0031214668711295,1.2633487,1.1832727,-4.9300065e-06,0.01599869,2.7766751e-05,0.018473957,0.0020936270717669,0.0031536686503144,0.20769985,0.0066259066,-11.473115,79.60094,4.796641,14.885616,-10.848938,5.3088007,-1.0006974,1.4280072,-3.088364,2.4948518,-5.17918,-1.335536,-4.4928527,3234.5906,602.8466,348.9087,142.07767,198.2338,120.05347,106.09159,85.22849,66.78942,48.315006,52.282482,46.287247,52.632458,RnB
Omarion - Ice Box.mp3,129.19921875,0.38946125,0.095771246,2524.0163442253406,708230.3940504652,0.1371526729198879,0.0054876259627701,1.6627026,5.7304378,7.34271e-06,0.008585905,6.2942716e-05,0.022922605,0.0057476378145633,0.0020247292913302,0.16933969,0.01526451,-85.18159,85.67622,-13.322417,12.337384,0.5359037,3.3766289,-1.4957969,2.7859542,-6.7971454,-1.6494442,-4.362621,-2.0987725,-2.6802711,10552.305,963.06696,869.4832,357.2092,339.5723,208.6759,134.1393,94.98521,91.61862,101.00777,71.36661,82.16509,85.47834,RnB
Usher - Hey Daddy (Daddy's Home).mp3,95.703125,0.43816653,0.091568075,2745.758358469181,536612.6511594099,0.0996682631909547,0.0079652241377522,1.1241417,0.77236784,0.00011794945,0.11235902,-2.0039459e-05,0.018000105,0.0040301209316017,0.0209870245345801,0.3681604,0.020700984,0.6779662,68.37767,-4.5005817,21.10358,-2.8499653,15.878781,4.6713104,9.721692,1.7968717,5.513635,2.5051274,5.5835233,4.103083,3852.507,815.9259,481.62997,322.1966,234.10544,177.7836,109.78742,99.654305,85.48045,77.417206,72.81089,66.25219,74.538376,RnB
