File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Dj Jok3r - Mummy_001.mp3,112.34714673913044,0.4355842,0.08971055,1204.1852379897484,140749.79984470888,0.04191099523672055,0.0006517086666195419,2.151981,11.024764,-1.1622408e-05,0.00082459376,-1.8151772e-05,0.022378575,-0.004930273718030912,0.0005027225703691852,0.116460614,0.012234589,-232.50217,143.679,16.262987,17.614576,3.4313893,5.3488007,-8.850595,-8.792699,-5.8878384,-1.1409894,-1.5673223,0.37838385,1.3733683,7133.2153,616.062,501.4251,379.97986,126.27143,141.73589,127.699974,184.90622,76.19392,66.14445,50.104782,46.06351,18.554474,Amapiano
"DJ Stokie, Omit ST, Sobzeen, Zee_nhle - Awukhuzeki_003.mp3",112.34714673913044,0.4318881,0.09019081,4688.229540056957,3581140.456587055,0.3713136457130485,0.04772181609070495,2.1367493,13.087243,-0.00019428783,0.00017224408,0.00023509386,0.021381918,-0.007338774932198121,0.00041215743140576974,0.090573125,0.013477786,-231.21622,31.429377,25.10877,-21.608795,-1.2970306,-7.320639,3.078643,7.7951236,5.3354893,9.000252,1.4443876,1.1935725,-2.230425,8590.171,2502.7249,468.9015,852.2919,521.07764,345.80298,120.116,101.69948,126.36862,66.70053,45.294422,41.680573,19.62762,Amapiano
"DESTYS, Fardigo - Motivation_005.mp3",112.34714673913044,0.37857312,0.07869535,2418.843286765292,251984.93493083227,0.10424126519097222,0.0019363020949157666,1.4126116,4.706055,-7.441791e-06,0.0045250338,-5.8416805e-07,0.0021520318,0.005265383374563897,0.006368129677098794,0.09145813,0.00057964365,-109.03409,95.18927,6.399267,13.329656,1.0406761,-3.6582685,1.7518547,6.3646646,3.3779986,0.42251593,-2.9730563,-1.4274727,-1.704355,2654.1204,451.10324,808.70026,231.17685,137.98405,107.455986,81.86786,64.287506,73.4903,51.87938,43.780853,67.1806,54.195385,Amapiano
Mz Kiss - BP Drop_001.mp3,112.34714673913044,0.40915197,0.10037727,3396.1713223556626,1124997.8050612176,0.16692791029157045,0.011521245533839548,1.9022897,8.506445,-0.0001812621,0.021542499,0.0001885233,0.017687928,0.012730722597006246,0.002529529750784485,0.19133304,0.016861208,-98.7296,38.851173,1.409871,18.889069,18.628513,3.482739,4.1020656,14.026283,1.3747491,2.1073518,6.4441223,6.025391,-3.3207963,6780.0327,1646.8416,1002.01184,499.0665,575.97797,336.74625,146.63785,193.7386,110.97669,88.89834,100.47647,59.06712,56.269184,Amapiano
"Lady Amar, JL SA, Cici, Murumba Pitch - Hamba Juba_005.mp3",112.34714673913044,0.34201562,0.091265365,2931.72028810707,356354.01605530304,0.1543251320167824,0.003813312866754411,1.343367,2.8054686,-8.377501e-05,0.018251285,0.00018217503,0.015323779,-0.009734119065035924,0.0024990293893292007,0.19991238,0.005593058,-29.780626,78.371864,6.32606,6.4218006,-5.2417994,-5.4751,-12.040088,-7.135956,-7.1859784,12.399298,-1.5983118,3.190938,-2.2927587,1830.7408,510.4485,798.4219,143.10707,144.44305,104.55791,57.135002,67.31466,85.72802,120.68897,152.19075,94.30651,70.77455,Amapiano
"Sam Deep, MaWhoo - Thokoza_001.mp3",112.34714673913044,0.48496702,0.09151081,4899.702856878114,5598968.881090869,0.47851900801096997,0.055869468629065486,2.8017142,24.18925,9.160548e-05,2.6536204e-06,-0.00011517756,0.0045700427,-0.0006794504795696117,0.0006148997476685536,0.03886805,0.0030873579,-396.20093,11.84747,18.527552,-1.7976394,17.240555,10.242587,6.4181643,0.20105717,5.8598285,6.7594986,3.5710948,1.0123943,0.32310045,16414.658,4006.799,586.1385,431.16846,136.83788,158.75743,69.94269,88.00276,58.97483,55.139977,22.361385,33.29165,51.899063,Amapiano
"Kamo Mphela, BoiBizza, Chley, Nobantu Vilakazi, Bontle Smith, Visca, Shaun MusiQ, Ftears, Mellow & Sleazy - HANNAH MONTANA_005.mp3",112.34714673913044,0.4143943,0.08532491,2962.4610600621713,620775.1425643178,0.1454094780815972,0.005625456284133741,1.4846323,3.7687633,8.033971e-06,0.0002797246,1.97708e-05,0.0004037416,0.004126550383564836,0.0035079171882018995,0.02988945,0.00013234974,-200.756,79.19838,3.6348526,1.7149692,-8.769011,-4.4896045,-7.168417,-7.6563115,-10.483264,-3.8278508,-4.064084,2.946935,-3.5563529,2280.152,428.53043,244.33162,177.52747,146.6054,76.983925,56.260174,41.697243,40.48064,47.618305,51.76206,45.13342,58.81093,Amapiano
"Calvin Fallo, Mkhulu Motsi, Darlianoh - Imithetho_000.mp3",112.34714673913044,0.54528904,0.09354762,4374.0219413014665,2789775.663473567,0.3078539982678984,0.04889734796366843,2.380357,14.502991,4.6716596e-06,0.00037849334,-3.328828e-05,0.016005766,0.01460866039048294,0.00159313247587415,0.08645302,0.009627759,-220.05034,23.617851,27.718555,9.089562,6.138744,7.8235145,6.241718,8.808852,3.4522629,6.0032673,1.684347,5.189148,2.6611328,6803.703,1881.7196,505.067,548.75366,194.31761,195.11024,132.09062,111.888405,93.91261,74.46585,43.958984,42.037254,30.715872,Amapiano
"Sam Deep, Playgal, De Mthuda, Babalwa M, Sipho Magudulela - Kusezo Khanya_000.mp3",112.34714673913044,0.5712061,0.070203796,5318.677257052224,4180349.951430018,0.48402880521073904,0.04779018779542814,2.5424178,16.479864,0.00022423801,1.7075135e-05,-0.0002263853,0.005846217,-0.00040811628941033417,0.0005576854724310245,0.05043931,0.00337636,-294.03442,-32.880554,13.355956,14.869691,22.744205,21.167683,2.2631726,7.1703887,1.7804614,7.932114,5.7944303,10.020007,1.3949122,9633.611,5342.211,409.34418,286.2486,52.514217,63.60674,73.58196,47.727425,40.24391,37.038105,19.672968,17.357363,17.196108,Amapiano
JayMea - How Deep_003.mp3,112.34714673913044,0.37055358,0.09129671,3999.5481747524764,976011.1023176914,0.20298629655023095,0.021707530418139512,1.8490446,7.2898,6.716269e-05,0.003012457,-0.0001034619,0.0012398134,-0.008803733374930225,0.012540302020340174,0.06205499,0.0010143992,-168.11583,30.941023,9.706133,11.124231,15.840159,11.828875,2.9805732,3.9352415,1.9395752,8.201407,0.68219376,1.4775168,-2.60452,4511.734,1284.7648,620.16644,269.2124,176.20784,112.07708,74.95443,72.963196,41.53882,34.530304,34.50164,32.48463,35.755684,Amapiano
Khaney - Need Better_002.mp3,112.34714673913044,0.44810826,0.09824667,3403.2669062498717,3428748.3512524343,0.22972276475694445,0.05075977558707015,2.6627655,15.766246,-6.2540244e-07,0.040611267,-0.00010494074,0.033087254,0.019479010885492583,0.002928975097040792,0.23977107,0.033894893,-149.02223,36.164997,20.416702,20.743233,21.772465,12.055818,6.161999,6.0132823,3.7421978,8.08651,0.67114145,0.81715673,4.230166,9859.074,4425.11,1315.6125,397.8012,176.05234,86.73409,119.61494,94.56113,119.18263,50.065586,69.5311,56.600273,41.343987,Amapiano
"Calvin Fallo, Mkhulu Motsi - Nzuza_004.mp3",112.34714673913044,0.36460593,0.08852155,3558.7480032464387,763003.8950676897,0.17457915343533487,0.007240696053167476,1.4351515,3.8438742,-9.080795e-06,0.011650788,-0.00013079477,0.014404755,-0.006474955487509766,0.0027313688142368777,0.16994035,0.003428424,-34.244656,53.3113,11.870456,1.4168931,-13.395242,-6.4742837,-7.684685,-6.0107627,-8.275648,0.3409917,-2.3865595,3.2070148,-0.2831222,1991.1403,1014.6423,384.13794,351.39774,175.02533,133.2359,121.86178,92.75592,92.85831,108.93776,69.93543,66.61042,58.68198,Amapiano
"DJ Maphorisa, Visca - Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)_005.mp3",112.34714673913044,0.3971943,0.09044255,2159.4406701010707,1022898.2523479721,0.08574648256655093,0.006930465436960853,1.4746621,5.6993084,-2.1637103e-05,0.0034864417,-9.6516786e-05,0.0010611223,-0.00874186127750618,0.008498049482234656,0.07264704,0.0010234604,-188.76859,106.203865,35.118984,15.042256,7.686375,-3.025797,-3.1927323,-0.60736185,-1.8898894,1.6852607,-4.828644,-3.3572063,-7.5058074,3270.0996,1063.4326,478.03885,304.16443,197.78265,126.32647,61.755608,38.766537,53.265545,42.715187,29.014578,24.343433,17.749647,Amapiano
