File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
JBZ - Rice (Oya Now) - M Touch Amapiano Remix.mp3,112.34714673913044,0.45162505,0.09170528,3954.753765178004,2492936.5267765317,0.24435522715742172,0.04347255189238773,2.0274487,9.538586,-7.2847947e-06,0.001191227,1.2129744e-06,0.0035756414,0.007369585055349373,0.0013867532432454556,0.057552166,0.0024692107,-220.46214,48.594772,23.937677,1.9860314,8.108078,4.5689273,5.6897655,3.6513107,3.8650246,4.7003393,3.512263,6.96394,-2.8888597,10440.318,1621.2349,649.56854,528.8177,246.18658,207.29398,105.54038,110.35239,80.863625,81.00686,118.92714,88.87745,47.25177,Amapiano
"Karma, Ross - Back to Harvard.mp3",143.5546875,0.4684548,0.08366014,2961.414793781073,2233088.6574248,0.16776415128527253,0.021285892388541967,1.608036,6.2737484,-4.1433526e-05,0.0011554068,4.6409663e-05,0.0024526145,0.009649008697151193,0.0014943702835741972,0.045421787,0.0022496616,-254.6895,78.608376,2.330798,-12.676058,-2.747551,-1.9000596,-5.384601,-3.1104712,-4.8944316,-0.14562927,-2.0742064,1.7525077,-0.9438276,14768.912,2039.108,937.44055,498.93,220.38925,189.63092,114.563705,91.78523,80.55078,60.347248,80.29298,67.52185,34.157627,Amapiano
"Officixl Rsa, Mid9t, Benzoo, De-papzo, Papiino SA - Yah Yah Yah.mp3",151.99908088235293,0.46997955,0.08835022,3433.5917933214023,1608541.4161031113,0.1983948815592385,0.019337083642861207,1.7134385,5.197357,-7.860156e-05,0.00046861806,8.0699094e-05,0.0026049218,-0.00968126330291633,0.0018219562214447337,0.046755865,0.0016176654,-223.94344,57.03886,9.651979,-0.8731401,2.4101279,6.594494,4.7886033,5.1670356,2.1690164,5.297411,-1.9576826,4.353596,3.699596,8733.931,1849.2377,927.99054,370.28867,320.8608,210.85335,122.71606,102.22915,71.73868,74.300804,56.713654,49.091553,51.40243,Amapiano
"DESTYS, Fardigo - Motivation.mp3",112.34714673913044,0.39577872,0.09064777,3416.356413065234,2186957.617330843,0.1754992661625435,0.02289821350585264,1.7525643,6.632533,1.0871255e-06,0.0020206324,1.0159425e-05,0.0011798171,-0.0015966197854382293,0.004109444916823191,0.053751495,0.0012332927,-200.94992,64.486626,18.804678,2.3690434,2.6694,0.23092909,1.8607332,3.2180324,-0.5539167,5.6473403,4.5769215,9.859425,2.3027232,9934.027,2140.707,761.9916,384.7444,224.3253,150.398,120.58412,77.17221,82.11001,73.19523,78.13694,93.58623,53.45273,Amapiano
Vigro Deep - Soundcheck.mp3,112.34714673913044,0.48408303,0.09130775,5102.877656006174,2753383.667574976,0.34283006076053346,0.049116854711040527,2.0337403,9.286346,8.3651175e-05,0.00030269966,-0.00013935435,0.0073832897,-0.019176697578350048,0.0017470023522615638,0.064944305,0.0038916573,-227.08891,17.923735,51.138245,2.2920563,7.3250184,2.6864378,-1.4990822,5.1435266,0.33049977,5.179671,2.4525502,7.0279403,0.8457884,11138.542,2516.6128,669.4995,252.34407,215.1653,179.49205,171.3675,97.11723,74.32053,51.16377,57.162918,32.989025,30.39266,Amapiano
Luxury SA - Crazy Vibez.mp3,117.45383522727273,0.53778416,0.07886804,2551.9681685347437,3825117.73196966,0.1514438176459219,0.04178581067139394,2.0729287,25.454931,0.00010580078,0.006829723,-0.00010603419,0.024389762,-0.00450926820139203,0.001960024962502934,0.14421593,0.014817796,-218.58781,78.22327,21.35685,12.114665,-0.057372198,-0.65549123,-4.769512,-3.7677095,-7.3662863,-3.1974385,-3.0256243,2.630215,-0.7116746,32229.674,5668.6465,466.7383,374.81686,213.33606,204.3211,152.03976,123.737755,121.15068,70.46113,45.981995,25.412659,21.290815,Amapiano
"Dj Brandon01, Ross, DrummeRTee924, Dj Ayobanes, Machiina SA - Underrated.mp3",112.34714673913044,0.49101764,0.07842795,3873.0305855633655,1276485.9757672262,0.23931103836490142,0.01858894376715564,1.6396435,3.4535177,-2.148802e-07,0.00044226449,-4.2940173e-05,0.0035900916,-0.003179227729627865,0.0007823892802856469,0.056427144,0.001717813,-164.58275,50.692513,12.271225,-10.006671,-3.2564838,-0.26583517,-0.47297594,7.831737,6.2094126,7.11172,-2.159028,-0.79323184,-2.4253407,4299.0693,1430.8025,811.3971,322.98642,305.58847,199.93481,100.48745,88.622406,88.99048,56.288273,43.401985,42.963814,45.33067,Amapiano
"Deep London, Nkosazana Daughter, Murumba Pitch, Janda_K1 - Piano Ngijabulise.mp3",112.34714673913044,0.4514582,0.09292662,3235.0019189110276,2905074.7863850906,0.20659355219607653,0.034808670570048335,2.153008,13.035141,-1.6816457e-05,0.0013263735,5.891358e-06,0.014110063,-0.001158655346067045,0.0006096153291928796,0.09556614,0.00775292,-203.6942,68.06476,20.22544,3.0293803,3.92454,-2.123421,-11.026212,-5.7927775,-6.971397,1.3354647,0.88928664,3.5919192,0.7955892,13685.413,2415.5918,719.98364,320.74002,196.7073,159.73438,206.21095,137.19804,122.6567,104.491486,65.18974,54.74271,91.073364,Amapiano
Loobub DJ - Fedehhh.mp3,112.34714673913044,0.41227397,0.10384092,2366.260202140685,1361138.2561476293,0.08899081495216467,0.0069054303098462725,1.8369921,8.452634,-5.328872e-05,0.04110652,-5.4555312e-05,0.0326464,0.001930705135086879,0.0035091303868628955,0.2377117,0.029365513,-125.50848,92.18773,5.938151,-5.180299,8.104057,13.802501,13.785381,9.1822815,-4.9732504,-0.96176153,0.45220456,12.153656,3.6461906,10999.466,1252.5016,552.12885,1075.2317,192.20168,106.82304,143.11697,42.40018,100.10543,59.319645,33.65561,33.001244,27.47964,Amapiano
"Amu Classic, Kappie, TNK MusiQ, LeeMcKrazy - Woza La.mp3",112.34714673913044,0.5194197,0.07813471,3945.083242344869,2908574.340419374,0.2595215787471009,0.03717642405062634,2.3289292,16.308456,-0.00032955882,0.00020510508,0.0003416357,0.0026650457,-0.0027775077815345036,0.0006037539434388797,0.04126664,0.0014613243,-263.6619,53.66236,26.74617,-7.317039,9.215721,1.8291181,3.5570645,4.3783813,0.797673,5.446454,-1.0865061,1.7188222,-0.49731097,16150.596,2524.6943,846.6339,328.02118,194.31564,135.35971,158.35085,124.7242,108.491615,74.06997,51.31606,72.06414,49.56327,Amapiano
"Q-Mark, TpZee, Cloud9ne - Paris (feat. Afriikan Papi).mp3",112.34714673913044,0.46936497,0.08932218,3828.365603007575,2786509.0237258943,0.2814579961103595,0.034313232738759795,2.2205253,15.748778,-1.3686631e-06,0.0016938713,-4.2318816e-06,0.014277128,-0.0008392276044134468,0.0011678957124978387,0.09264337,0.008388458,-187.75085,36.515144,3.2608197,5.595947,-2.435076,1.402401,-1.8768369,-7.431664,-5.3592954,-0.7774651,-4.4893165,4.642717,-0.08561739,15245.505,4125.103,563.784,689.46094,485.0244,276.6163,204.03032,160.79071,136.65413,138.17006,89.56031,75.287735,62.984188,Amapiano
Khaney - HAH HEY.mp3,112.34714673913044,0.44431692,0.09064426,3521.368406191261,2754713.833960952,0.18964677655102435,0.03618662810667221,1.9638276,6.880822,1.3345396e-05,0.004372739,2.0737165e-05,0.047872886,0.0006882533553109081,0.0011093334884563245,0.1999036,0.019211404,-97.82098,62.166313,32.38033,-7.080135,0.9758917,0.6748141,4.1186867,6.4088416,-0.084571555,0.7018891,-2.515227,4.867848,1.7068825,5009.561,2670.324,617.05,591.38556,344.41623,203.58635,184.73218,177.96304,112.3843,70.56402,53.191174,53.020668,62.861786,Amapiano
"De Mthuda, Da Muziqal Chef, Eemoh - Sgudi Snyc.mp3",112.34714673913044,0.48129615,0.09342724,4389.955953511859,2406768.3647097684,0.31960640794114803,0.03155686482322201,2.2216575,13.53069,-5.360157e-06,0.0002989793,1.1717724e-07,0.0018363615,-0.0021291748072776204,0.0008801476384644708,0.03718825,0.0010339892,-256.08734,18.199177,18.88873,20.127947,11.011504,4.1689916,-2.9006855,1.6114243,-2.4268253,3.6309862,-1.0050851,5.762899,2.160518,12269.938,2896.087,798.96045,388.65833,214.01312,131.66827,155.80286,115.96047,118.85031,94.05698,82.04194,62.030273,60.606445,Amapiano
"DrummeRTee924, Ross, Golden Lady - Cyborg.mp3",151.99908088235293,0.5015897,0.09125757,4288.088633436581,2154655.1589857843,0.2802664539645342,0.038005640525251606,1.4993159,5.610773,-3.1781015e-05,0.008682358,-5.263854e-06,0.0032718133,0.00904303462390785,0.0034463517378901685,0.081111856,0.007421138,-201.32726,15.357387,9.296302,9.478766,10.015412,15.16926,5.19964,9.696485,0.92213255,7.0244083,5.348572,6.7602468,4.5696087,10580.94,2248.2202,937.4804,359.21704,288.45062,187.62357,137.63022,115.97509,88.06874,53.953278,49.82485,55.09342,49.895428,Amapiano
Meelo Millz - Phola Mdoko.mp3,112.34714673913044,0.4296518,0.083047375,4349.344894277721,2578595.877878728,0.31862965669694626,0.028116076466761387,2.5573812,17.892029,0.00048564095,0.00015358505,-0.00047068583,0.030366303,-0.00154494575489564,0.0003176665178118395,0.11758478,0.017082557,-182.91014,14.396775,1.5331165,-1.9567995,-0.020278418,-1.0876524,3.7827108,9.269052,-5.0937295,3.4735358,5.3450627,5.286914,-0.109225,10293.111,3000.5706,870.4594,801.3866,213.46951,176.42636,154.8169,110.9567,108.62357,53.92548,56.607944,46.684673,64.54802,Amapiano
"Deep London, Boohle - Hamba Wena.mp3",151.99908088235293,0.5687684,0.06599042,4077.5427465066773,2803064.3011318487,0.27869440350792424,0.03021915451216084,2.6058915,22.55662,0.0006413675,9.750883e-05,-0.0006391084,0.007498619,-0.004871636954596552,0.00039781005046256383,0.059900608,0.0044352636,-246.14252,28.300293,4.2595673,10.498103,6.3930507,2.7718947,4.370744,6.3220096,0.92473143,8.584824,-1.5601401,1.7195427,1.9379898,19796.54,3751.019,450.6792,470.51642,193.12364,83.712105,116.99886,67.50125,58.25607,93.31998,47.49588,39.765118,50.239017,Amapiano
Dj Jok3r - Error.mp3,112.34714673913044,0.41768557,0.0897515,2766.4657293709215,1224783.4460619502,0.1348216820279281,0.007463262668481371,1.8839735,8.00321,-0.00049288984,0.00043677352,0.0004800887,0.031069698,-0.018730078598286216,0.0008951386528978512,0.11986675,0.017867228,-164.5917,77.79067,-2.463672,-13.181617,-6.630306,-4.900697,-0.9628482,7.8217983,7.12328,9.838627,1.1054688,1.5601068,-3.7991765,6605.6816,1314.0198,599.90967,719.5101,321.51367,295.63666,119.93518,69.21053,74.60016,58.815834,71.90517,73.742096,60.481266,Amapiano
"2Point1, Ntate Stunna, Nthabi Sings - Stimela.mp3",112.34714673913044,0.49951917,0.08394543,3557.9358906041316,2478990.1539654224,0.23791602996955932,0.03508862222230299,1.9590154,12.8322935,2.0323296e-05,0.0106223,2.8452836e-05,0.02590547,0.004292020245117998,0.0019538583498777103,0.15053235,0.016970618,-120.280975,53.285053,12.427658,-2.5290098,-7.581728,0.5251776,-6.3647504,-0.44448477,-6.1705585,1.2300694,0.30827108,3.3374445,-1.5437585,10802.402,2346.3623,754.0295,300.53366,402.90863,180.67947,237.71686,168.88602,105.09265,66.52506,63.98597,53.27218,55.11105,Amapiano
"Tebza De DJ, DJ Nomza The King - Ka Valungu.mp3",112.34714673913044,0.48395923,0.08326205,3197.1948963765262,1506040.3358833126,0.17184366846250484,0.01565855143364948,1.7262839,6.127796,-0.00010499561,0.01784844,0.000101062986,0.027529307,0.012983697859672239,0.002775165982004301,0.19035956,0.018224817,-93.171974,69.62519,18.77641,0.61728793,-2.912194,-0.25679752,1.9398986,6.3098593,4.0901437,3.750923,1.5423818,6.00252,3.4806123,6223.303,1154.8933,400.94016,358.9087,280.3804,285.01895,179.03107,120.93189,68.24549,93.64252,70.96131,54.257225,49.77087,Amapiano
Gee N - No Later.mp3,117.45383522727273,0.43094888,0.08481753,2414.9504663070643,719488.7786783188,0.09523371817017781,0.0029448545098460267,1.564986,4.070293,4.8920324e-06,0.008380382,6.747344e-05,0.019699283,-0.006447320974760224,0.002044162037377535,0.17219883,0.009738996,-82.4206,101.85793,16.47915,-0.218044,2.8668437,-2.035057,-1.529389,1.503727,-3.9921434,-1.1365142,-3.3616233,0.06497921,-2.167156,3351.5903,606.2293,390.74118,298.7278,193.03143,142.21219,134.21127,118.25785,103.64422,82.511925,90.324135,71.20836,62.49268,Amapiano
Mas Musiq - Ekhaya (feat. Aymos & Kelvin Momo).mp3,112.34714673913044,0.4625061,0.08600367,4309.566028754517,2308598.2577644377,0.2939209644979706,0.03881783761593405,1.9898331,10.905683,-2.5812212e-06,0.0006799653,-8.309394e-06,0.0030056534,-0.008941184975125102,0.0010573389611808282,0.052132268,0.0014702078,-214.75368,38.55512,38.10485,2.6605802,-0.93740183,-4.921579,-8.5134735,-7.271834,-12.932514,-4.478436,-5.002338,-0.56719226,-4.051479,6525.296,2417.668,524.748,346.34665,225.08224,203.9109,123.42908,100.97482,97.06343,70.206696,74.37545,55.966423,45.495335,Amapiano
