File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"João Gilberto, Caetano Veloso, Gilberto Gil - Cordeiro de nana_001.mp3",107.666015625,0.31465873,0.09685581,1371.2573712816047,100661.75944437424,0.05705109699769053,0.0005099624764940963,1.2605724,2.2202842,1.9824072e-05,0.0052569844,9.7147295e-06,0.0009683991,0.015911661561818377,0.0067708014108793235,0.08921111,0.0007240081,-174.53406,145.89568,5.388366,7.107829,-18.12165,-13.013695,-18.925898,-3.2608113,-8.224454,-2.9704578,-9.266993,-3.0882087,-10.845556,1528.1053,338.24194,103.54142,95.21483,85.477356,44.165,67.28387,44.85995,34.350246,31.706675,32.6001,31.59919,25.00802,Bossa-Nova
João Gilberto - Trevo de quatro folhas_004.mp3,117.45383522727273,0.32293025,0.09043273,2410.5005675959615,419965.17272429104,0.11010685803983834,0.0025726951844822358,1.3597171,2.3428996,-1.6817385e-05,0.003965221,-2.1136231e-05,0.0016453753,0.0035443547552533442,0.006607411218216988,0.08045688,0.0014673639,-136.92207,98.00177,-0.7232852,-5.3917665,-13.788634,4.0144978,-7.484417,-3.9649704,-11.447789,-7.718827,-7.445871,-3.9798844,-2.4978826,2491.2812,463.06488,388.38727,141.2917,226.63565,93.284225,126.02267,38.043835,73.04169,45.490417,39.75816,49.98674,35.19344,Bossa-Nova
João Gilberto - Who Needs Forever_000.mp3,83.35433467741936,0.3614022,0.08629078,2752.6675531539236,434979.1050534074,0.1575389271795612,0.004857486057923926,1.3829443,2.9811256,-2.5904299e-06,0.0020795525,-2.8667607e-06,0.0005080923,0.010767119145495333,0.008602319817769911,0.053821925,0.00044164687,-170.38521,69.37563,-9.976479,31.302929,-3.8172715,-0.31251904,-4.281761,0.81383884,-2.8144636,3.1733212,-9.673177,4.1745043,-9.375086,6503.662,438.55124,254.27055,311.9674,117.03026,96.96641,138.79675,63.255287,51.947937,63.076717,67.23663,26.334606,45.86736,Bossa-Nova
"Elis Regina, Antônio Carlos Jobim - Triste_005.mp3",135.99917763157896,0.4085789,0.08637934,1782.9065131042357,226672.73949319814,0.06963207103587964,0.001245571011664609,1.2688744,1.901958,7.827951e-07,0.014472311,-4.6531077e-06,0.0061469106,-0.013730356493675886,0.004360661422696048,0.16023445,0.0026668364,-89.81481,123.65143,3.2971876,7.399961,1.8926883,10.2553625,-0.68730736,7.7927527,-2.5710409,5.738615,-3.958454,3.133006,0.1410224,1846.1005,327.90228,347.87714,156.38744,148.40855,117.79272,111.26219,105.942924,128.2062,66.328476,80.861,85.75723,64.37897,Bossa-Nova
João Gilberto - Morena Boca de Ouro (Brunette with a Mouth of Gold)_005.mp3,112.34714673913044,0.3247507,0.08453939,2953.606222167035,891908.2668051273,0.1619884349681713,0.00786666654750439,1.336415,3.6840062,2.2368882e-05,0.0048122015,-2.4829516e-05,0.001981053,0.008254587458838667,0.007893088204044553,0.09012699,0.0015132575,-107.406105,75.85551,-8.712241,0.68172425,-8.392802,-4.7111073,-14.615714,-5.2969456,-13.121612,-10.52738,-4.7587895,-3.334158,-10.985655,2239.3904,514.65436,667.4378,115.96866,235.75941,128.76973,127.194824,76.04707,81.1601,55.089718,49.66701,39.276314,55.93899,Bossa-Nova
João Gilberto - A Felicidade (Happiness)_000.mp3,135.99917763157896,0.41422638,0.08459946,3186.6976328271594,654103.1834061469,0.17335563113452657,0.006729679651317702,1.14286,1.7368387,5.261914e-06,0.005442709,6.701747e-06,0.003662659,-0.01569708910484545,0.0035164378077115793,0.11248694,0.0012807432,-86.507256,68.212685,8.866136,-8.222557,-15.362824,-4.2704525,-1.5729375,8.192325,-0.74093,0.0734933,-12.67027,-13.659777,-9.86459,16654.979,993.6408,355.27484,187.80023,126.98941,74.283676,97.54564,71.6595,54.13229,48.285213,71.72241,62.37233,37.5148,Bossa-Nova
João Donato - Manha de Carnaval_005.mp3,117.45383522727273,0.2987354,0.084817685,1880.575185150537,231915.48895948543,0.0982326931423611,0.001527286192149292,1.2893312,3.060021,4.812945e-06,0.0017868662,-4.1070685e-05,0.00065952924,0.006289040551193876,0.004773689040178101,0.051843595,0.0007297757,-203.68027,120.06369,-12.202978,6.6824484,-2.8061223,-3.9688675,-11.531997,-8.210975,-5.797367,4.0089684,-6.216411,0.53572613,-0.87828165,2362.2107,605.00055,430.89188,131.63834,167.47504,177.50749,162.33566,43.809544,139.41682,52.622234,93.30297,90.29662,57.837303,Bossa-Nova
Paula Sergio - Wave_005.mp3,143.5546875,0.36545748,0.08507887,2665.2243406291063,312835.1142374608,0.1420661078559028,0.002384395499564247,1.2163187,2.423141,-4.062496e-06,0.010301031,2.0276306e-05,0.0041242,0.014458570857818645,0.005176446104400501,0.13507354,0.002747374,-71.269196,88.31232,4.7867227,5.8335967,4.5215373,12.0188675,1.8455359,-0.96023774,-11.363759,-1.424828,-5.9206142,-3.9422345,-5.7492833,1714.9401,360.69604,305.54782,83.92927,152.77716,84.40088,68.39567,108.83775,108.17286,88.514015,64.547516,91.72036,79.41689,Bossa-Nova
João Gilberto - Unhappy Remark (Palpite Infeliz)_000.mp3,117.45383522727273,0.3867825,0.09148181,1858.6035387623876,798420.6772492428,0.059197053622979216,0.004171928672419615,1.4237374,3.0254328,-3.3329607e-06,0.0011923825,-2.323651e-05,0.0011612391,-0.00855307718974819,0.004385874615417213,0.05198347,0.000741423,-253.18405,114.74832,34.638237,19.16928,7.602304,6.7589,-3.8129897,4.1105137,0.29064524,-3.412171,-6.2106204,-1.353422,-10.873531,7648.6626,885.27966,299.30673,114.168175,130.33214,88.97171,93.86244,37.26483,66.94809,47.953617,51.808613,35.588154,45.638847,Bossa-Nova
Susannah McCorkle - Manhã de Carnaval (Sunrise)_002.mp3,86.1328125,0.2697771,0.091910265,1566.4931517065836,334180.02651777427,0.05411670826099537,0.0014534187892807037,1.1768728,2.158417,2.9922078e-06,0.006228062,1.2550434e-05,0.00072518963,-0.009266090904322828,0.009804376163696504,0.082388036,0.0018617621,-206.67404,129.72725,20.67428,11.013352,-3.610979,1.1895647,-8.142044,-4.924944,-4.7603297,-2.4019122,-3.5551724,1.6431653,-3.0690525,3330.6,371.68262,441.22366,239.17322,269.74997,121.15907,93.31115,54.975273,64.74211,52.3061,97.35389,72.02874,75.76464,Bossa-Nova
