File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Antônio Carlos Jobim - Corcovado.mp3,117.45383522727273,0.35167804,0.08953897,2207.307842180208,324874.7234355718,0.10549083307160805,0.0014269973772340467,1.151893,1.18382,-4.86809e-07,0.0018523133,4.461862e-06,0.00054680096,0.0021590056586619755,0.005250758202788906,0.053433202,0.000573719,-177.98674,101.981926,-9.050865,11.926225,0.21151789,-0.38749978,-0.99967724,-0.59975654,-3.6615107,-4.0390053,-9.074652,2.3098414,-3.0912483,2735.251,585.27783,492.37592,200.29497,143.8625,128.03441,127.57924,133.98912,116.42837,110.84271,98.52818,103.54411,109.33362,Bossa-Nova
"Antônio Carlos Jobim, Frank Sinatra - The Girl From Ipanema.mp3",135.99917763157896,0.34330398,0.08775139,1855.6772647207322,361962.0802100459,0.07736511584364128,0.0017338477893994084,1.181327,1.3379945,9.796071e-06,0.012539244,1.6941656e-05,0.0025696652,0.0038719446612777483,0.00553940423793101,0.1334422,0.0027942087,-110.02245,119.28175,4.3142767,8.807797,-3.8408577,2.5449965,-5.8059053,0.48841733,-8.454555,-1.6298983,-6.90684,-0.38658065,-5.872942,5415.521,502.6781,464.35522,170.1013,138.7054,108.794426,90.15457,83.01833,81.12274,82.48989,69.58147,69.05126,68.7252,Bossa-Nova
"Elis Regina, Antônio Carlos Jobim - Triste.mp3",135.99917763157896,0.37654048,0.09159495,1668.6913527212346,260135.88670506014,0.06304509325473522,0.0013500328987736203,1.313804,2.4693391,-1.5577434e-05,0.016655147,4.1711857e-05,0.005633619,-0.009243044258559896,0.005610767281223177,0.15947443,0.004540788,-114.91368,125.203804,4.1170216,9.35512,1.183874,10.561701,-0.6974462,5.8954525,0.060765818,6.812416,-1.9657753,2.7216709,-0.71960515,5000.7466,436.55585,650.219,272.1481,208.09233,102.82596,103.634544,72.48548,109.512405,108.98497,85.94365,84.547264,93.61765,Bossa-Nova
Stan Getz - Vivo Sonhando.mp3,95.703125,0.315552,0.09524919,1878.894703836871,607517.2325835364,0.07106445689988404,0.003117034239818734,1.1548198,1.0979434,1.2846276e-05,0.008169909,2.6474723e-05,0.0011492951,0.004673718236408706,0.009024512078295441,0.102746196,0.0015213788,-148.75768,119.010826,13.100853,6.482071,-11.032734,4.779857,-9.662391,0.79358715,-7.9377522,-5.8063564,-6.57466,-0.9240792,-7.214649,3763.937,766.69305,481.72464,214.27362,232.16322,128.30557,144.95164,72.3602,97.21949,67.94226,62.909252,73.812164,56.550346,Bossa-Nova
Bet.e and Stef - So Danco Samba.mp3,92.28515625,0.29321077,0.08840882,1645.4646707187283,413873.0501203184,0.06526340385823348,0.0013484963106676438,1.1438774,1.6921107,3.1342363e-08,0.007334008,1.727593e-06,0.001240938,0.012861636452721816,0.010977060380869718,0.094491094,0.0022165286,-173.61176,127.78848,1.9791104,5.662933,-11.572181,-4.4385347,-9.776021,-7.0400124,-10.020846,-12.575949,-9.3194475,-1.9991355,-7.950044,7489.8955,705.9511,328.0021,181.84778,181.4945,120.910034,70.71036,62.35972,75.020164,71.16773,51.263023,62.03914,56.399837,Bossa-Nova
João Gilberto - Rei sem coroa (ao vivo no Sesc).mp3,117.45383522727273,0.30972475,0.09569963,1629.2391600528883,558510.8853599296,0.05652492480431001,0.0033976018633580293,1.1615049,1.2286838,3.4763093e-06,0.0070166173,4.63081e-06,0.0010102037,-0.002599659419207767,0.009587555100561643,0.094515584,0.0018158205,-185.38705,126.97538,24.17813,16.285557,-9.026326,-0.6816215,-12.623262,-4.1890655,-6.0879984,-5.6842995,-9.213387,-4.259728,-12.642411,3036.5767,490.92975,315.63687,234.0662,226.45958,94.75301,90.04426,58.9073,71.70014,59.993477,42.298782,34.808212,32.137707,Bossa-Nova
Paula Sergio - Wave.mp3,143.5546875,0.34132507,0.087724134,2143.8191753489496,427137.2114451227,0.098693210644569,0.00195682895911371,1.2852302,1.5816898,-1.6999742e-05,0.007701572,1.3345301e-06,0.0026227538,0.0072263330037607276,0.0049264378077546675,0.110474385,0.0024924371,-116.44255,108.31652,4.36391,6.3562956,-0.7821388,5.7244124,1.6361483,3.1251574,-3.9913073,-1.8661132,-8.290277,-4.086346,-6.0032682,4148.9033,589.4092,487.22955,149.49342,181.56708,100.33283,110.0626,103.273834,140.21675,104.10548,93.72898,93.2111,72.76065,Bossa-Nova
Cauby Peixoto - Até Quem Sabe.mp3,143.5546875,0.32734764,0.08547623,1854.0581204025705,486930.62237205374,0.10181824839340936,0.0028425655807339505,1.033276,1.1320277,4.764099e-06,0.011881732,1.3005278e-05,0.0029667192,0.0012776539010338117,0.008663793619849171,0.12540011,0.0047002137,-117.069664,126.42559,-33.25687,-5.474261,-17.175236,-6.348603,-10.873788,-1.8061652,-10.764735,-2.0875914,-4.0779357,-2.9572198,-7.971403,6858.487,815.29205,522.971,224.88234,164.39137,84.70454,86.7475,94.05275,75.02286,63.96414,70.150986,78.26545,68.43366,Bossa-Nova
João Gilberto - Morena Boca de Ouro (Brunette with a Mouth of Gold).mp3,112.34714673913044,0.3172792,0.0885166,2657.5414644745315,571778.7214063887,0.12831717934625048,0.004635233539338991,1.196978,1.259331,6.6647194e-06,0.0062877247,3.0865663e-06,0.0018702301,-0.003141625321434648,0.00805639578935575,0.09511971,0.0021400023,-114.350525,83.27493,-8.617548,2.749866,-12.90419,-2.39048,-16.04865,-3.534297,-10.394749,-10.654541,-8.846424,-4.4834704,-6.656963,3928.4985,470.84833,518.6177,130.58989,229.76015,144.35977,98.00186,68.20807,87.229576,54.83359,53.366726,55.338787,50.11013,Bossa-Nova
Quarteto Jobim-Morelenbaum - Água de Beber.mp3,99.38401442307692,0.33348912,0.09000194,1977.5958869866047,202440.49794914856,0.09579221226323928,0.0007335255754526182,1.1719568,2.203939,4.014366e-06,0.014364739,-3.2491575e-05,0.0055204565,-0.006115689758805085,0.006004360637946457,0.14279965,0.007830588,-117.20614,108.67151,-19.859459,1.9980903,-6.76381,-2.3487442,-10.254452,-7.5036345,-11.775301,-5.6965327,-7.2269783,-2.1293795,-3.0129757,16095.375,579.637,478.04596,163.60562,128.2766,120.2759,106.121475,86.99375,97.907364,98.00928,115.83812,80.968025,80.362206,Bossa-Nova
"Luis Bonfa, Toots Thielemans - Samba de Orfeu.mp3",107.666015625,0.32278174,0.09440197,1758.1354944629427,219164.7322570028,0.08707959116495942,0.0017170142698552445,1.5267844,4.3427253,-7.0078954e-06,0.0022316352,2.4044899e-05,0.00079765497,0.0016259893587390862,0.007617130089854026,0.053727604,0.0014073147,-233.0391,122.60143,-13.679403,6.055975,-10.220111,-1.6167572,-7.595512,-1.3569596,-3.2362065,-2.3886466,-7.20894,3.6354575,-0.5014197,9652.162,759.3542,496.15094,296.0828,226.22345,247.78604,148.62364,102.249466,111.19204,118.39426,128.14238,179.25363,93.73327,Bossa-Nova
"Alper Tuzcu, Helena Beltrão - Facilmente.mp3",103.359375,0.32454905,0.09068921,1946.4716615631905,568509.8383477039,0.08383054847555083,0.004194000880145133,1.2427576,1.7644786,-2.524849e-06,0.023885129,2.4349763e-05,0.0062801833,0.0015578556572181086,0.008347209013412897,0.18056145,0.007825457,-103.02335,115.51219,12.951512,10.629386,-5.065427,-5.25282,-16.759274,1.0164762,-11.168659,3.036518,-10.028313,1.1324171,-1.3277526,6878.7188,1028.0364,687.48804,273.43332,198.49109,124.36972,133.55847,110.50766,85.18027,114.69641,92.28278,75.08468,87.90575,Bossa-Nova
