File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"Anitta, Mc Danny, HITMAKER - Ai Papai_005.mp3",83.35433467741936,0.41784203,0.080999285,3213.9075220005334,346206.0026217725,0.16920979817708334,0.003974651434907207,1.6375854,3.822647,-9.293681e-06,0.029989399,-0.00044962644,0.038709816,-0.008029886270248508,0.0024946043924664475,0.30543864,0.01033655,28.238476,64.34901,1.4686288,6.8269167,2.3987088,8.261893,-0.99085987,1.7764384,-4.43548,3.7603068,-1.90698,3.608316,-4.556907,1774.6027,406.10648,389.39954,372.81247,125.85639,127.69444,95.604675,107.91095,92.42169,82.83187,78.97036,52.878517,67.53896,Favela-Funk
"MC Tairon, Mc Vitin Da Igrejinha, Dj Win - Baile no Morro_001.mp3",129.19921875,0.2958912,0.090508014,3251.531346432723,1637144.5962119293,0.20318927720842955,0.01919216123879137,1.4104416,3.1943505,2.0343488e-05,0.0019039453,-4.769725e-05,0.0010883958,-0.0262824716841011,0.014262355472036208,0.048629414,0.0016575794,-259.87643,58.244972,-24.416258,-12.444212,-14.594583,-1.2919102,-16.630436,0.6786519,-2.6065977,-2.813002,-5.92074,-4.442391,-9.645533,22748.002,1428.9689,1103.3341,561.3145,456.51666,258.3713,260.2867,118.49753,85.48258,53.025463,85.11138,134.20161,60.454956,Favela-Funk
"MC Kevin o Chris, Mc Alysson, DJ AL SHEIK - Pega Pega To de Glock Rajada no Ppg_005.mp3",129.19921875,0.40092564,0.09750725,2934.4477688962647,2392305.916059034,0.1556972927517361,0.017568468760101145,1.5349573,2.9719973,-0.00028826838,0.12794812,0.0005524385,0.0662907,0.012764083489950256,0.0033183004357657422,0.41503417,0.07637907,-4.2484293,73.85675,0.48006383,1.840259,-4.476109,2.8795302,-2.3612561,-0.1351324,-1.6706729,6.9346423,5.740726,5.5775566,1.1693901,2640.7083,2899.4565,434.3223,763.7324,276.1476,207.68399,101.30704,91.5685,79.92996,97.23144,106.496155,78.34411,89.16002,Favela-Funk
"Mc RB, DJ PTK DE O.C - TÁ FALANDO QUE ME AMA_005.mp3",172.265625,0.40917954,0.0817582,3048.7900244541274,556603.9081120921,0.1685802318431713,0.004985496676456699,1.4432459,2.2712855,6.654401e-05,0.041275535,-2.2867109e-05,0.024985641,0.003133352627113364,0.0031796152572720724,0.28866944,0.00974494,24.221449,69.10847,-8.044742,7.2299285,-7.589462,3.7944913,-0.50247204,9.259994,-2.9916368,1.953708,-0.69399685,-1.5526068,-9.627908,2155.2659,754.45355,378.5776,177.85213,193.82631,158.74606,115.117775,101.53236,101.01217,64.55552,83.22657,54.855827,69.78169,Favela-Funk
MC WM - Senta braba_002.mp3,99.38401442307692,0.32808533,0.08631274,3694.5971816479105,894630.3330174712,0.22278736255787038,0.008038729899377654,1.6123337,3.5455158,-1.3313792e-05,0.0035149178,-3.514273e-05,0.0054580686,0.003036718166250708,0.004625799448007402,0.102594376,0.0021635534,-94.36881,46.01823,-13.179326,-3.8860173,-10.778024,-0.9086354,-1.7214881,-2.0066922,-16.533089,-4.774204,-10.143754,-7.1377373,-4.104624,4118.038,1011.2767,964.43634,302.73297,296.79022,249.40657,259.2635,190.66623,130.23332,94.55194,71.1645,72.75288,68.89596,Favela-Funk
"Mc Agabê, Mc Th, Dj Terrorista, Medellin - Brotou no Baile_005.mp3",129.19921875,0.44000912,0.092596844,2657.034216895281,789961.4718259326,0.09144987883391203,0.004544903189505978,1.6096773,2.8131115,0.0008567124,0.09711467,-0.0007274372,0.04578148,-0.01978668012009081,0.00600879758470031,0.38658607,0.030087348,-5.2195096,79.637566,18.360003,21.396132,7.1248813,7.0107594,4.911161,8.015949,-1.7388245,8.980999,-1.6815022,7.9487514,1.320756,4017.6663,958.3332,455.25775,237.23781,274.50513,90.01832,118.38643,102.09425,152.75212,112.71827,106.7208,59.688896,90.23202,Favela-Funk
"FP do Trem Bala, MC Roger - Escondidinho_001.mp3",151.99908088235293,0.30736336,0.09574807,3542.0252177294706,949311.2550324502,0.24267465357967669,0.014989628801549847,1.4852365,3.2005372,-5.5089004e-06,0.047382656,0.000131107,0.02303679,-0.006406318191824394,0.011164166935584884,0.27224284,0.017584786,-34.97823,41.248993,-19.203026,-0.62393916,-30.617887,14.862025,-18.398874,8.636753,-12.870517,-2.9542978,-3.776358,6.483685,5.4752088,3556.5347,1107.3893,1443.1217,275.27963,570.5681,177.75966,218.071,137.86554,150.7327,129.5544,96.923065,130.6086,158.50438,Favela-Funk
"Anitta, ZAAC, Maejor - Vai malandra (feat. Tropkillaz & DJ Yuri Martins)_003.mp3",129.19921875,0.42966142,0.10195271,2206.039541606222,788219.8729015456,0.07454690206408776,0.006129901035757411,1.832305,8.885998,-1.4022252e-05,0.06474276,-2.6651072e-05,0.013994084,-0.02613586573297334,0.011886308782283014,0.2835068,0.012188517,-61.741318,91.87447,7.434753,21.479664,3.4894438,15.413139,-0.9350332,8.850014,-2.8933287,6.507074,-2.591816,2.6510043,-1.5098212,7968.636,830.63464,360.58307,202.4554,244.886,147.1764,214.27025,182.1407,80.14048,73.03452,52.376392,51.022392,70.568375,Favela-Funk
"DJ LUDBRISA, DJ Will22, LUDMILLA - TROPA DA LUD_005.mp3",143.5546875,0.3696324,0.08721001,3124.678972629566,468778.95691356447,0.1966891818576389,0.004410229301379051,1.5289887,2.7504022,-4.7609163e-05,0.005448161,-6.228849e-05,0.0058988947,0.008753752203927892,0.0035724285303316756,0.119431034,0.0029544057,-74.80077,60.82055,-22.662657,5.2904353,-11.055737,3.722377,-18.301765,1.3879209,-9.609602,3.9140093,-6.874149,-10.681934,-12.433761,3941.1956,1224.0562,767.20953,170.34062,317.10767,110.95322,113.191895,94.69497,78.21103,140.40378,104.726494,66.58575,70.9078,Favela-Funk
"ZAAC, Anitta, Tyga - Desce Pro Play (PA PA PA)_002.mp3",99.38401442307692,0.4262986,0.08746359,2665.3353587348793,821884.7684551082,0.10899522569444445,0.006562728940704723,1.7591189,4.470893,8.685021e-05,0.050402503,8.915373e-05,0.030272733,0.02060600232269716,0.007054563985059415,0.29524878,0.017323652,-19.427158,86.113075,12.970107,6.1696653,-8.505634,6.2034707,-8.70041,7.8654265,-4.089088,4.3679147,-12.788185,8.805797,-6.889948,2833.4688,1107.9667,570.18335,301.25125,213.07042,197.81717,208.68568,133.37308,79.31528,119.4878,87.69508,144.82364,61.698135,Favela-Funk
