File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Zé Felipe - Malvada.mp3,135.99917763157896,0.4017735,0.08596914,2709.8450957544082,324049.91585525515,0.14547138486905684,0.003036357336397182,1.6152412,3.8940666,1.2225959e-05,0.038817354,0.00016180797,0.03160322,0.0017366807314960517,0.0035361420796200973,0.30257493,0.012543043,11.342761,76.108475,-23.21229,13.935763,3.5619779,6.0919623,-2.9256654,1.1603816,-5.688555,-1.7821501,-2.6357212,0.054615304,-4.6886234,5487.3833,535.6917,801.3155,265.0795,238.80286,146.57883,211.46043,119.71427,85.62991,60.625114,76.7664,82.362755,91.19355,Favela-Funk
Rebecca - Ao Som do 150.mp3,151.99908088235293,0.3746007,0.08747131,2500.223220833248,671482.6860795491,0.1427283653846154,0.004536211336439907,1.7980624,3.3270733,-0.00017822067,0.027786372,0.00011543251,0.031575844,0.009749153779462047,0.004120306647777684,0.2722416,0.015644057,-16.511414,86.96755,-31.03463,-3.8955607,-6.041944,12.640416,4.1961856,6.4954715,-5.788665,3.187629,-4.107475,3.2928596,-1.8559372,4649.7217,1533.9227,561.27277,223.07588,252.58264,171.78444,202.41208,137.24652,131.69984,86.82165,59.4964,82.87661,80.46515,Favela-Funk
"dj wl - ELA SABE QUE É O LITTLE HAIR, X1 Vs FUNK CAPIXABA.mp3",135.99917763157896,0.35155395,0.08924094,2585.924633261878,380238.62212337845,0.11945375163074991,0.003229578177343643,1.3946216,1.3830014,0.00015644866,0.055987183,-7.328322e-05,0.030770788,-0.007469220333712243,0.0076307391070783185,0.31405866,0.019365318,-4.735266,84.15486,-6.729821,0.8079139,-8.714585,11.556016,-1.785328,-1.5771868,-7.133578,4.907738,-4.825432,6.2326794,-0.8270137,2532.4236,582.3603,676.65326,306.05304,449.51126,318.79434,186.47514,215.02866,166.40576,143.20935,147.78938,118.82813,121.90238,Favela-Funk
"Xamã, Gustah, Neo Beats, Bagua Records - Malvadão 3.mp3",129.19921875,0.37901855,0.09078471,2431.2519750161623,800039.9159399087,0.10937915237243911,0.005992178462849347,1.5445462,2.5127246,8.6773936e-05,0.056362934,-8.117268e-06,0.037345428,-0.0006995814971092034,0.01227202618504646,0.30098605,0.022325912,-27.83225,90.41638,-6.950173,2.3478153,-8.278161,9.096905,-9.374991,4.350461,-5.351271,2.4350207,-2.354788,-1.5488058,-3.7089715,3225.2021,1110.6382,727.5917,357.96356,385.2445,186.73305,171.53947,171.5111,141.49333,113.57436,105.31538,108.41801,82.14045,Favela-Funk
"FAVELAS INSIDE, FUNK CARIOCA, DJ METE FICHA - ESSE ÉO PROFESSOR SEU SOLDADO SEU GERENT.mp3",151.99908088235293,0.43483186,0.089754336,3422.2464705137877,1191708.7693563125,0.1816630855600116,0.013970708821802466,1.8001688,3.9325504,8.51589e-05,0.0075260117,-8.4923755e-05,0.0061938344,0.0023749226693314646,0.002911779486353285,0.12720183,0.003935686,-86.450676,62.955746,20.226124,5.2982345,-2.757415,4.787971,-1.9222109,2.7891324,-4.1246996,2.3168924,-2.6199572,3.5715585,-0.8639611,5159.2866,1016.31464,671.8716,300.40784,261.20126,209.58997,167.02335,155.65408,152.32002,86.530014,96.685165,134.42395,106.013695,Favela-Funk
Mc João - Baile de Favela.mp3,129.19921875,0.36319554,0.095683604,2342.040260145644,638333.5950230294,0.1009007628285659,0.004444480314329299,1.4048655,2.6816788,3.7078622e-05,0.043236766,-0.00012155821,0.013332077,-0.008524522674162085,0.022472093899844153,0.24118651,0.012130514,-48.639015,87.8269,-10.289898,13.385662,-7.546896,7.6566334,-5.228566,6.161184,-4.196762,3.7810566,-0.8862822,1.0829192,-3.3465257,9109.8125,956.8937,517.529,196.28651,225.37616,94.98416,119.8948,94.5593,94.85583,137.13675,95.78002,69.28722,76.443565,Favela-Funk
PEDRO SAMPAIO - VAI MENINA.mp3,151.99908088235293,0.3609958,0.09289339,3394.8260881478477,709075.413872055,0.20423934576729802,0.008561881021546825,1.6859753,4.498394,2.10161e-06,0.026692022,-2.0424619e-05,0.02491765,-0.0082704632824134,0.010859831396787735,0.24992439,0.010223219,-7.9194627,49.35637,-11.905095,6.7153993,-15.959189,0.42636877,-4.5622063,3.5279157,-8.863644,-3.3456805,-0.11558582,-5.597474,-7.279904,5433.934,1220.0829,748.52747,317.72617,330.0921,170.48442,160.58565,140.48116,203.35886,126.16228,120.45018,127.88771,67.54815,Favela-Funk
"MC Teuzin PV, MC Skcot - Eu Já Sofri por Amor Mas Não Sofro Mais (Tik Tok).mp3",129.19921875,0.35502124,0.091387294,2836.004091134138,774582.9730054794,0.14810776387949362,0.006801413093669637,1.6727539,3.0566258,-0.0002888235,0.11069314,0.00041753144,0.047085945,-0.015010187769447387,0.010857700406859327,0.4065117,0.038400196,16.160265,72.97882,-0.88206166,17.32668,0.23978795,7.3201213,-4.518796,0.7657993,-4.2757835,3.9342482,-4.83542,3.2796624,-8.375225,6195.969,1298.2683,594.92523,382.8822,223.76875,144.98686,156.01021,128.28879,100.03842,122.87916,107.71887,134.14302,184.10373,Favela-Funk
Mc IG - 3 Dias Virado.mp3,129.19921875,0.34301087,0.095754385,2681.2845148612305,1677420.8595576352,0.14434344951923078,0.01101831753075075,1.4750562,3.8183484,1.65059e-05,0.004362252,6.2278295e-06,0.03180558,0.0005846997132279458,0.005394383605765775,0.1451689,0.020438384,-133.48697,64.60487,-12.339453,-3.3782227,-11.304251,-0.33285114,-3.9960666,1.4328697,-4.7054887,-0.612033,-5.510997,-2.2687738,-8.40535,19919.096,1831.7804,919.1952,533.6551,451.01895,172.72017,144.41725,129.50331,138.67377,172.64757,107.623215,61.767456,88.41111,Favela-Funk
DJ Glm - Joga Pra Raul Vs Vem Com Bonde Do Toma.mp3,135.99917763157896,0.36007947,0.095807895,2749.3339837511016,512970.6832290328,0.1430820720187476,0.005336416089038933,1.8017348,4.081644,3.0178777e-05,0.039901566,-1.0998435e-05,0.046014283,-0.016687054697852723,0.007668138133181849,0.30649382,0.022188978,-8.525826,71.67567,-18.38259,7.5509562,-2.0041354,10.185611,-4.4991875,7.6220493,-3.1223638,8.467812,-1.199491,-1.2861166,-13.058236,3801.3425,976.3577,680.1846,421.77542,473.32172,194.22128,174.04349,107.683136,113.11413,210.21072,118.126755,108.678535,105.81927,Favela-Funk
