File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
William DeVaughn - Be Thankful for What You Got (Pt. 1 & Pt. 2)_002.mp3,92.28515625,0.3862327,0.08375758,1851.7499622569042,336849.5176276778,0.08158817997685185,0.0013225554847586469,1.5563362,3.726189,-3.9350807e-06,0.0038391517,-5.4974134e-05,0.004308105,0.010944571688766017,0.004858767151831386,0.09851778,0.002095593,-124.759476,124.72799,-14.125156,6.022418,-2.875461,-1.2873163,-9.370373,6.0428643,-5.0223,-3.4399152,-7.9183106,0.52774245,-3.0556257,3766.4463,949.1309,279.2602,221.26308,178.38077,96.34896,80.88082,74.33786,69.159,69.635185,85.58482,72.34946,52.934074,Funky-Soul
The Undisputed Truth - Smiling Faces Sometimes_005.mp3,103.359375,0.3693566,0.08037428,2287.102162968799,242984.42406049345,0.10420396592881945,0.0015291077556249535,1.0570937,1.2702415,-1.0625761e-05,0.007242335,-3.3457713e-05,0.0031845327,0.011421652747167856,0.005808630426838791,0.1205512,0.0012098217,-73.53182,100.70119,-7.5137663,5.314908,-6.043344,-0.8520877,-10.025299,-5.939444,-6.0378246,-5.801891,-12.32815,-7.126855,-5.719593,793.0463,434.60706,266.25143,114.28178,75.252914,50.013126,42.686916,38.146477,36.529182,72.02784,64.0497,58.828426,77.19766,Funky-Soul
Kool & The Gang - Jungle Boogie_002.mp3,107.666015625,0.46587777,0.07249513,2877.9180095373304,454712.2776121856,0.1705288357204861,0.004510006131489336,1.3225809,3.7714932,-1.7383636e-05,0.01215519,-5.2541895e-05,0.00852137,-0.0029113679833139587,0.0037038050843688757,0.16647585,0.0025022428,-27.77037,71.96377,-5.158151,33.589333,-5.19155,7.628837,-10.601363,-7.272127,-5.723696,4.655791,-6.304072,-11.173808,-10.107951,2438.7458,721.43805,200.46619,200.31395,130.8546,175.19647,65.97685,59.006836,44.487297,65.947495,51.142464,71.531334,32.752323,Funky-Soul
"Grover Washington, Jr. - Mister Magic_002.mp3",99.38401442307692,0.3484018,0.09336256,1861.4113564258412,280080.3279025763,0.06719518590856481,0.0015506999431732422,1.8637171,10.656426,-8.0386035e-06,0.0035952928,-6.102713e-05,0.004217273,0.006395287096993438,0.007124965575863467,0.09570074,0.0019031032,-171.06425,117.90597,20.836,12.769714,-0.8200469,-2.1360571,-4.794332,-2.7518587,-1.601801,-0.4145897,0.5635633,1.4203683,-0.6593594,11007.868,366.57642,1130.6304,249.37616,364.9696,101.710236,81.29058,47.374226,44.756104,62.29306,92.58561,92.15645,68.145294,Funky-Soul
"Donna Summer - Try Me, I Know We Can Make It_000.mp3",123.046875,0.49253434,0.07368465,2933.0962824970284,883544.9164832257,0.22614300663972287,0.009418527417296632,1.2932323,5.188155,2.4654452e-07,0.00013806202,2.963011e-05,0.001843337,-0.0008722651502433549,0.001991309676544045,0.033564158,0.0009827532,-249.18475,60.052776,-12.486394,44.688293,-14.095378,7.1368155,0.5581228,5.8324337,-8.359396,-0.581575,-4.5286303,-0.2765465,-6.394659,8362.644,940.13617,635.9916,363.271,296.30878,78.48428,63.846832,126.59297,64.78716,61.14674,30.59025,43.729168,47.342,Funky-Soul
Donna Summer - Once Upon A Time_004.mp3,129.19921875,0.40811062,0.08378277,2930.936820205871,269992.3292101341,0.16232024935046188,0.003906264448377749,1.5100926,4.673523,-7.076634e-05,0.0043710307,0.00014935476,0.0041154264,0.0015271147710664234,0.002239758557288875,0.10501673,0.00146582,-79.49659,70.44668,-4.394781,24.412785,-3.3257225,-0.34128237,-7.70347,-4.375153,-3.625336,8.32258,-5.5258026,-1.0523723,-7.1186175,3685.0107,489.52734,290.28586,181.38052,141.82225,160.94627,90.67335,77.87899,63.230152,105.23946,98.24834,99.53935,84.794014,Funky-Soul
The Philadelphia International All-Stars - Let's Clean Up the Ghetto - 12' Version_002.mp3,123.046875,0.43658173,0.07601286,2060.8058340330554,242022.39160431433,0.08875981083622685,0.001838082576679022,1.5915151,4.538987,1.1245645e-05,0.0069163595,1.7686814e-05,0.00823759,0.012049155425206577,0.00365714105962313,0.14132689,0.0023642557,-77.28107,112.19343,2.2618606,16.97201,-6.679459,1.912588,2.048157,-1.0717751,-4.4428296,-0.6469318,-13.316045,-0.94583005,-5.7783446,3130.3909,463.41272,428.0332,134.36871,200.3414,86.43189,69.844246,89.48521,56.646492,72.23966,72.41745,74.579865,43.845898,Funky-Soul
Bobby Womack - Across 110th Street_004.mp3,112.34714673913044,0.40604815,0.07744232,2663.56821726562,161123.7463099008,0.1552305860277136,0.0017750085171744786,1.3692491,3.9768746,9.008733e-06,0.0031650346,-8.132529e-05,0.0018405902,0.004684277962756039,0.004912335021822325,0.08493398,0.00041883125,-89.57584,77.41425,-24.991272,27.264492,-7.347048,6.125776,-3.6345472,1.7584631,-10.828823,-3.9043891,-6.5812826,-0.1460614,-11.732263,1483.5891,347.71933,360.4671,163.53888,195.81802,99.27389,98.18176,66.239975,44.683567,55.95226,50.840546,53.08821,40.994,Funky-Soul
Funkadelic - Music For My Mother_005.mp3,184.5703125,0.42611215,0.081144355,2155.165592759047,536976.1459873543,0.0884388111255787,0.002347096523579174,1.5985372,7.125952,7.7706466e-07,0.001633521,2.7858887e-05,0.0008060102,0.0100927972370419,0.009953737308482475,0.051010128,0.00081127934,-203.5323,106.9345,6.8608375,12.933867,6.353009,10.984545,-9.186878,-3.5419645,-4.728106,-0.48734263,-7.219833,-1.5425782,-5.5211782,5912.359,766.22656,304.94232,115.3038,89.99002,95.04008,82.95009,70.51522,78.90161,40.835026,45.027763,42.30108,53.735134,Funky-Soul
The Philadelphia International All-Stars - Let's Clean Up the Ghetto - 12' Version_000.mp3,117.45383522727273,0.42007396,0.08436669,2248.597228337397,1027428.3470826573,0.10587696665704388,0.009748315347517153,1.6615936,8.800134,2.649136e-05,0.005177567,6.118242e-05,0.0063446434,0.016576062195094738,0.004478055856333965,0.11099896,0.0034631249,-127.73729,100.46449,8.1352005,15.222545,-0.19535944,5.1735287,-3.8605855,-0.29935065,-8.067277,-1.2629513,-7.269738,-2.1974046,-3.2933383,11897.464,1433.1843,379.04337,123.474846,74.13146,78.72647,58.633255,44.08648,34.632336,26.758047,34.514393,33.27876,25.752884,Funky-Soul
