File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
The Temptations - Law Of The Land - Alternate Mix.mp3,112.34714673913044,0.45317987,0.073910564,2225.8264134420283,553274.2470658823,0.08607905815133358,0.002470725244076735,1.3674982,3.16689,6.728277e-06,0.0050439085,-1.372868e-05,0.0051167277,0.008566050742333476,0.0028961205325396485,0.10702064,0.0043561365,-132.75854,103.76841,18.66165,21.688597,4.731098,7.025763,-1.0011965,-3.1596186,-7.36253,-0.8789166,-3.4074907,-0.54012704,-6.16035,7219.466,678.28467,290.07788,198.27469,114.45335,102.43425,95.946266,74.40102,50.52692,43.09878,70.902145,34.49913,45.662865,Funky-Soul
Stephanie Mills - What Cha Gonna Do With My Lovin'.mp3,103.359375,0.37172294,0.091141894,2523.8663585092854,462531.17195182765,0.13111323595139157,0.004768452289049878,1.3434621,3.0424962,1.0106679e-05,0.008551878,-1.8204037e-05,0.008230195,0.0038484817537787178,0.0040103438374028775,0.14026575,0.0039291345,-74.3375,90.84823,-7.768522,10.43897,-15.136561,-2.0331254,-11.512198,-5.4076896,-7.186594,-2.3286965,-7.7460394,2.3482032,-0.6643578,4728.965,587.8762,442.77222,239.79663,201.11726,117.68685,105.50197,103.721085,99.98059,75.583145,86.82991,86.56576,89.082756,Funky-Soul
Donny Hathaway - The Ghetto.mp3,112.34714673913044,0.34921435,0.086598955,1742.677314208307,311746.70349212404,0.07591782530440665,0.0019139555724077928,1.175405,1.2695038,-6.635036e-05,0.023444913,9.179193e-05,0.00455432,0.02053266144323177,0.006546851568227844,0.19321066,0.0010144222,-66.67263,126.77506,-5.3573484,15.621361,-2.6254337,6.946163,-7.3370833,-3.2964692,-6.168772,-8.011844,-9.994577,-1.8520602,-10.450889,3166.203,685.1923,296.4483,157.365,143.74905,108.07112,66.96521,81.528275,63.91672,72.66206,53.164825,38.506657,48.081936,Funky-Soul
The Blackbyrds - Enter In.mp3,107.666015625,0.4108086,0.07774194,2739.2757095339966,406494.8482755269,0.17074763088277928,0.004143634930631144,1.2974802,2.5695817,3.051007e-06,0.0027898473,-9.561101e-06,0.0037143736,0.017148886970869734,0.003214819265755855,0.08979309,0.0013423017,-97.407166,76.054405,-17.925938,18.844929,-8.190571,4.1800976,-2.4331245,-3.0179265,-9.679504,0.5915535,-7.3360033,-5.6721983,-6.2766876,3796.9966,896.29443,518.3366,274.0504,190.18312,114.988815,100.18739,98.471725,71.28689,92.49984,63.87256,73.45026,65.28877,Funky-Soul
Kleeer - Nothin' Said.mp3,123.046875,0.4741522,0.075950086,3507.3261524482036,714164.2794335822,0.23097194204194046,0.010851623248680995,1.8066338,9.377775,-4.131098e-06,0.0011090711,4.7268577e-06,0.0027005575,0.005893058467866671,0.002513084671820007,0.06519026,0.0012348784,-140.6537,44.32299,-7.149844,22.606546,-5.6840034,16.092127,-7.4957194,1.0652565,-6.239137,-0.223467,-6.053139,0.65266305,-4.219936,13195.538,1162.6187,352.91055,206.69844,193.44617,171.9347,154.9791,92.728485,77.811714,59.81165,50.918377,56.811962,65.62414,Funky-Soul
MFSB - Love Is the Message (feat. The Three Degrees) - Love Groove Bonus.mp3,78.30255681818181,0.45321554,0.07584671,3079.963853439169,304044.62952769187,0.179516497753189,0.003487576349700707,1.2001435,1.3191717,4.718719e-07,0.020601628,-4.375743e-05,0.01978301,0.01407423929376954,0.002669931983573085,0.23751284,0.004879473,15.642294,70.34402,2.6803799,17.03019,-12.188828,0.7491859,-6.821543,0.9644004,-8.12876,-3.0924857,-4.6314516,3.0610402,-3.8818917,2197.978,361.55753,281.75946,181.49431,91.00308,108.001595,71.00466,78.17314,52.654293,46.942616,60.19656,48.75181,44.902863,Funky-Soul
Timmy Thomas - Why Can't We Live Together.mp3,99.38401442307692,0.38547158,0.08216112,2019.045682710594,322648.18581423414,0.10690037477048706,0.0023175506114669663,1.7299109,8.134502,-9.739198e-06,0.0034108856,-5.0184276e-06,0.0039856117,0.0025119451372821035,0.007267440813649122,0.088210784,0.0021186864,-145.22823,110.50883,-37.30094,4.339343,-29.796818,-7.769509,-12.958682,-17.172062,-10.83457,-2.3504078,-11.019511,-3.136216,-9.452171,6808.371,957.4572,345.19467,256.10535,150.3803,99.830956,53.27559,84.56822,52.505157,102.729546,41.859398,52.959454,66.18185,Funky-Soul
Chaka Khan - I'm Every Woman.mp3,112.34714673913044,0.45169154,0.07553466,2897.5542926672583,341275.70918493933,0.173334747656552,0.004071780205713575,1.1903638,1.4611604,7.926053e-06,0.005867464,-4.3966193e-05,0.012296342,0.012828238591082732,0.0020767941279790873,0.14841461,0.0042630346,-36.309204,76.737656,-3.2277398,12.773909,-7.172038,7.4611287,-8.152621,1.5107536,-4.3247504,4.0764427,-6.9919467,-1.8546892,-6.919359,3921.4956,405.83716,241.82771,112.69117,140.46397,83.05679,67.11075,64.18988,58.87528,48.847816,54.826946,41.045635,51.356457,Funky-Soul
B.T. Express - Make Your Body Move.mp3,112.34714673913044,0.41364127,0.08082544,3343.146948903642,590723.8463519665,0.22198696306049479,0.009581076255491044,1.4076167,2.4269032,-5.715071e-06,0.0036605098,-3.4662415e-05,0.003691127,0.0107619730261174,0.003846329017627134,0.09591005,0.0015698917,-95.54293,52.349144,1.2472738,30.08147,-5.894918,12.745636,-4.7580323,0.2078311,-6.7883077,1.4171683,-5.39783,-2.963542,-6.325172,4207.0,882.2298,400.2293,185.06099,171.04585,112.462685,94.65176,91.2617,87.20777,92.27419,93.859344,69.969406,58.239456,Funky-Soul
The Stylistics - You Make Me Feel Brand New.mp3,75.99954044117646,0.3617274,0.07805038,2433.9646522600347,776032.5000214739,0.13628388335910321,0.00557551109719352,1.03961,1.137921,5.601959e-06,0.00826594,-1.1449091e-05,0.0028024153,0.008635549933306001,0.007425179593926041,0.1182766,0.0021852816,-83.19797,98.52326,-13.02272,5.15915,-18.2412,-1.2848903,-10.731748,5.70313,-7.001309,3.3576024,0.2862282,1.3198297,-4.4124227,5835.3477,1359.2395,468.46762,197.98738,244.75912,104.036095,110.391014,73.121414,68.86942,82.20661,71.505684,53.20635,48.56161,Funky-Soul
