File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Fatboy Slim - Praise You - DJ Marky Remix_004.mp3,172.265625,0.33942682,0.09396031,2526.862679682449,934147.1242606224,0.10953174617494227,0.006940402488374207,1.5745008,4.379883,8.880384e-05,0.041347533,-4.645343e-05,0.01652203,-0.013823007557534342,0.008117393578159406,0.22582711,0.021716412,-69.5838,86.83665,7.33411,9.088468,-12.251176,-0.46417785,-3.3800046,2.0091543,-6.7239075,2.8973193,-6.358775,-2.3214383,-2.5268538,5872.238,1424.7762,950.4794,306.2069,513.9152,142.28046,105.25561,82.37598,90.56077,48.98275,58.888287,81.61712,102.904305,Jungle
"Selecta J-Man, Junior Dangerous - Party Hard - Audiomission Remix_003.mp3",117.45383522727273,0.49841684,0.07959007,3637.4821665902336,466896.886786937,0.1927312626299076,0.005370489438525738,1.391849,1.9753852,-2.4644893e-05,0.08443767,-9.614346e-07,0.04073008,-0.01649633896646068,0.003673853760833834,0.40429088,0.008793053,67.03549,43.411797,-4.974304,16.277756,6.0444303,13.102883,4.7672443,8.799102,4.7940187,9.191671,0.5904033,6.4003286,-1.1832575,1210.8439,499.46378,415.91382,186.8244,257.30698,138.69414,94.257614,73.90961,85.13512,58.162807,63.613174,60.007,49.313942,Jungle
"Serial Killaz, YT - Save Mi Life - Remix_000.mp3",123.046875,0.45012766,0.08780286,3965.9366892416765,518254.7718349811,0.29114079640588914,0.0073261726508430415,1.4596914,2.7061906,-3.1456614e-06,0.0044457386,1.7633658e-05,0.008780095,-0.0008393954254840336,0.0033075294451152836,0.12795961,0.0048071975,-72.64432,23.5987,-28.19466,-2.4742227,-14.802924,18.048178,-16.483154,6.376109,-13.056911,-3.117662,-6.9897466,-7.102097,0.14496802,9367.268,699.94446,935.5147,395.66745,313.04852,200.85713,150.88591,81.0881,72.646545,41.433228,44.571693,73.7946,56.438274,Jungle
Serial Killaz - Worries in the Dance (Revival Mix)_004.mp3,89.10290948275862,0.44152042,0.07647203,3593.984459301417,536041.0621281422,0.2200750126299076,0.008167675675534976,1.6736664,4.1214776,3.21745e-05,0.0033788546,0.00014087433,0.010352377,0.00773507427856612,0.0018808200908839816,0.130821,0.0030283956,-45.011105,50.127537,2.289887,9.117824,0.36351383,-0.2007573,-3.989803,-0.5990161,-10.343558,-6.2691383,-3.8887439,-2.1630483,0.7180598,2084.8105,567.35864,463.332,150.32066,183.39864,74.951195,65.1945,82.30108,45.38376,36.575706,45.19523,41.25763,53.127552,Jungle
Ed Solo - Ganja Smuggling_003.mp3,117.45383522727273,0.40839225,0.0856737,3965.775879789932,668714.2012695307,0.2540573578233256,0.011087601802188216,1.6151749,3.9053795,2.7748903e-05,0.010324195,4.3507207e-06,0.039014976,0.004826174839940776,0.0018181269066960008,0.23581666,0.010213755,7.351708,35.684784,1.8994178,1.7043539,-13.319336,-7.386804,-7.2462516,-1.0306425,-8.416252,-5.7897806,-4.536565,-0.7675154,-4.7262254,2204.7478,742.0898,397.8597,241.28702,237.20285,159.09158,126.1286,97.298706,82.289696,74.992874,67.231895,61.58457,47.023113,Jungle
"Mr. Williamz, Benny Page - Pass the Kutchie - D&B Dubplate Mix_000.mp3",172.265625,0.4074756,0.08282357,3460.9164537476013,686541.0348936984,0.24300280564376445,0.0061323801164385105,1.5349241,2.9152718,4.43116e-06,0.0009264251,1.36631015e-05,0.002329631,-0.0005226267710602267,0.003280885154750361,0.05809062,0.0011694597,-149.40535,26.792559,-47.326935,0.20510225,-11.462054,2.016659,-6.20648,0.09439305,-12.350168,2.0979302,0.51849955,-4.593878,-5.0960894,8721.416,752.0385,775.4827,138.57149,304.80267,153.1341,107.72057,89.72447,74.790764,73.078445,80.25628,59.02403,47.48643,Jungle
"DJ Hype, MC Fats - Peace, Love and Unity_002.mp3",86.1328125,0.41809154,0.07665885,3166.532708472803,263484.1824157499,0.23503282335069445,0.005494523885441416,1.3224767,2.1007812,-5.9972062e-06,0.00075032073,-3.523053e-05,0.0010112071,0.018499500203325813,0.0016507467081484425,0.04767117,0.00030851905,-139.87848,62.640972,-24.383362,20.65652,-17.724554,-0.5355811,-1.3258272,-3.128409,3.6616282,-7.845155,-1.0335962,2.539942,-6.6060767,1641.4751,462.9109,146.2553,144.48363,116.75297,101.46331,102.55861,74.91078,100.694626,76.49298,40.6075,45.333153,72.01503,Jungle
Pascal - P-Funk Era_002.mp3,161.4990234375,0.262445,0.08700156,3873.0052347225874,1359044.2521045485,0.2926500108506944,0.012835244291726453,1.0998073,1.2492247,-7.978693e-07,0.0012792324,-1.2183673e-05,0.0002030405,-0.010387077734330107,0.008672567461304065,0.040166423,0.00024722147,-208.46341,35.183483,-9.052285,-1.4253587,-13.153737,12.650796,-0.18994437,-6.584004,-9.955018,-4.1502237,5.372119,12.4479685,1.7270366,5846.324,3178.2634,480.45587,439.47617,202.6959,120.30308,98.902145,102.06552,104.73537,154.6695,161.69075,117.035774,83.966255,Jungle
"Run Tingz Cru, YT - Forward 2 Life - Remix_001.mp3",117.45383522727273,0.48538905,0.07869059,4293.567892291529,779579.9673867032,0.3089106253608545,0.014987480085403944,1.8024908,5.714301,5.1649593e-05,0.009416367,-0.0007361734,0.042479653,-0.002076715448676948,0.0025882173580403485,0.24458979,0.010458089,11.883333,20.21639,-4.5077605,5.778808,-11.581594,-4.77391,-12.274533,-5.1508856,-9.1421995,-2.3413613,-8.208044,-3.0039885,-5.3601856,4222.2324,925.572,487.8688,280.02573,244.67079,143.49934,112.12684,123.54886,102.40164,73.225266,59.837563,57.361813,62.115044,Jungle
SHY FX - Roll The Dice (feat. Stamina MC & Lily Allen)_000.mp3,151.99908088235293,0.41723952,0.082066245,2014.5329157392202,524472.681557385,0.1052398329243649,0.002507381477256464,1.5089374,2.2002335,6.335165e-06,0.004087307,4.079927e-05,0.0013737339,-0.017841210128937773,0.002460863642439646,0.07324321,0.0025040656,-179.97337,115.736145,-11.738306,-1.9337674,-28.44512,-4.108242,0.39762282,-10.488523,-19.363598,-4.465734,-1.9511364,1.0008559,-4.3246613,7387.121,952.30237,510.71265,275.46976,242.85934,196.57924,85.93716,67.10484,115.34999,28.457527,36.362026,28.492807,23.71378,Jungle
