File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"SHY FX, T. Power, Top Cat - Everyday.mp3",89.10290948275862,0.4323675,0.08171229,3511.252974408889,466574.1273526324,0.21748465887127946,0.005447391485817111,1.441927,2.069417,3.0774194e-05,0.025408871,2.6331538e-06,0.028429361,-0.002662670111799991,0.0030683829518404816,0.25995818,0.011663402,18.034163,43.29,-14.802081,7.880817,-6.9295297,4.2641134,-7.124358,-0.9712265,-5.9343576,0.6021859,-4.9723816,-0.37116787,-7.5889535,4531.5166,923.76654,736.13837,364.92584,259.59283,123.84214,136.00243,97.40112,91.93328,93.658035,98.75297,74.17185,68.702385,Jungle
"Ed Solo, Isaac Maya - Movie Star - Original Mix.mp3",86.1328125,0.39416534,0.088694096,3816.1830488598234,677739.379328609,0.2362290342940665,0.009811207872831733,1.5408854,3.4533684,-3.2573712e-06,0.0165218,-5.3654454e-05,0.031223856,0.008247919655444585,0.0029583675703536857,0.23047829,0.012915541,-10.867935,31.082996,-11.582707,4.920785,-6.1996255,1.989815,-7.314677,-0.96800524,-11.839473,-6.0336823,-7.2966123,-2.1486154,-1.1996292,6389.4194,884.8964,577.9769,494.4169,329.2115,211.96217,183.60918,145.73337,136.35559,105.27457,75.49155,70.353714,97.28968,Jungle
"Dub Pistols, Darrison, Sir Real, Dan Bowskill - Rub A Dub.mp3",172.265625,0.43799528,0.0753727,3577.4531899633807,370194.6412579529,0.26117648790829145,0.007155637956919848,1.124377,1.3309104,5.97081e-07,0.0038018974,-1.6340463e-06,0.001759368,0.020059179542757603,0.008505055570549773,0.07863966,0.0012609587,-112.78461,20.113203,-44.787453,23.359314,-19.053648,6.457892,-9.840294,11.0507765,-1.6885915,2.499822,-2.5877542,1.6230582,-2.763712,3870.6897,1119.2618,839.45844,441.7729,390.82312,192.13217,70.58944,79.935074,64.073586,67.689186,48.776394,52.632343,48.119232,Jungle
"Chopstick Dubplate, Lutan Fyah - Nah Stop Bun It.mp3",89.10290948275862,0.36207354,0.09929225,3202.769381710314,510192.87466354726,0.16493619691003092,0.012944130459350014,1.4426125,2.0368037,5.2422816e-05,0.08074174,-4.5627887e-05,0.017313486,0.0007485657570330894,0.010174042222784155,0.30551124,0.026023693,-19.050396,46.396267,-16.298916,10.172679,0.66713864,7.7662272,-0.48580548,8.844949,-2.4354916,4.05317,-2.05233,3.7663705,-0.9644573,6030.556,1231.1521,1477.1813,336.0604,401.73553,224.68423,188.36969,111.4678,119.350334,98.76331,73.50677,145.53644,105.75859,Jungle
Benny Page - Dubroom - Rhythm Beater Remix.mp3,86.1328125,0.42752782,0.0864267,3881.7233074119217,1173849.298873365,0.26779763450666794,0.014877018540255646,1.7149404,4.80244,9.2628244e-07,0.0037716092,2.0977144e-05,0.022755012,-0.0014033327938417443,0.001954594957684967,0.15349202,0.009194367,-65.298935,23.226065,-12.464008,14.978764,8.322319,-0.24992959,-5.7509217,-6.4673233,-9.754311,-3.79184,-7.1124606,-1.7662046,-1.5738153,5632.4375,1842.5931,751.7476,403.20312,236.58856,137.47232,95.563,120.90834,119.65544,58.57335,73.58403,60.34758,44.58915,Jungle
"Selecta J-Man, Cheshire Cat - Coconut Chalwa.mp3",89.10290948275862,0.42817646,0.087490015,3461.3299038926184,1259317.8956849142,0.19308947079145727,0.014775269506863172,1.6922698,3.76298,-3.0931733e-05,0.02965145,3.714259e-05,0.019182825,0.0003948907206610722,0.0060287069526187426,0.21845922,0.012685477,-33.83387,50.853916,-0.8776501,1.0323654,-8.707907,5.824251,-1.8953587,0.4846921,5.031394,2.3447134,-3.7773087,2.221265,-2.4000676,3283.3008,1404.2734,813.3292,434.91245,383.25595,343.4299,194.40726,195.96669,134.88908,90.13243,78.82405,68.11334,59.198868,Jungle
Ninjaman - Murder Dem.mp3,161.4990234375,0.39071345,0.087937154,3795.141759734513,683483.8004820554,0.19468435929648242,0.01096833906569708,1.4396341,2.4783368,-6.127675e-06,0.005019023,-1.5235948e-05,0.002554423,0.004509421020932829,0.005866361328092087,0.0965564,0.0008649942,-98.48346,54.067356,32.37808,10.400357,-5.81621,1.2974154,-2.4926453,5.651887,-9.267434,4.1509256,-1.9481833,3.7862313,-2.0598557,2811.57,560.9769,802.0303,170.89928,177.4147,105.44989,97.902,70.780396,84.67255,71.81692,100.13132,91.093994,64.387245,Jungle
"Ed Solo, Deekline, DJ Concept - Ghost Town - Original Mix.mp3",86.1328125,0.47185794,0.07634746,3670.176594500306,1370968.5304486116,0.2534844067090259,0.018735930788331856,1.7204859,5.659552,-1.0494303e-05,0.00688026,-2.3073464e-05,0.023718042,-0.005465232548549647,0.001462762014043126,0.17532222,0.00885712,-31.359339,47.038334,-4.3379297,5.434554,-1.0292534,0.14434029,-9.222589,0.06683781,-6.3605843,0.33970308,-1.6391634,-2.9298713,-6.626831,3878.429,1460.7588,588.0509,271.97067,237.9194,129.26083,128.1027,108.15693,78.36466,79.21092,56.08067,56.068363,59.679516,Jungle
"Epeak, Jamalski, Steppa Style - Raggamuffinski - Original Mix.mp3",172.265625,0.3798158,0.093185425,3039.1544054161554,559477.880015254,0.1317238234441438,0.007543402342240201,1.4613193,2.0121324,-3.917619e-05,0.07373251,0.00011206219,0.037105575,-0.008599584807815234,0.005535991975719203,0.3568514,0.009270591,26.351051,63.476353,-2.8157637,9.612651,1.0863012,3.0006273,1.1577512,4.327622,-1.0641108,4.798635,0.54368395,2.3310158,-4.506884,1235.513,628.38306,498.75482,312.41513,346.96762,185.57132,132.93806,93.717094,72.36972,84.87441,73.266205,72.02414,69.24689,Jungle
"Uk Apache, SHY FX - Original Nuttah 25 (feat. IRAH) - Chase & Status Remix.mp3",117.45383522727273,0.33229733,0.08635536,2894.4947951254308,258519.24977404592,0.1703169166143216,0.0020589671513120697,1.2676882,1.2846284,-4.694916e-06,0.007236235,-5.167842e-05,0.0045370585,-0.010963888318131046,0.0045022609321337306,0.12222099,0.0024658642,-63.766174,69.20972,-30.306364,-2.2167168,-12.893356,-0.95595336,-11.812412,-9.337809,-6.5926347,-0.09369489,4.978622,2.8624737,-2.2929614,3276.2373,457.64825,327.27817,351.2742,139.6715,169.20222,133.2158,84.32837,107.58284,78.08484,101.70859,80.87951,60.04939,Jungle
"Mungo's Hi Fi, Charlie P - Rules of the Dance - Kahn Remix.mp3",143.5546875,0.48314527,0.072260976,2649.31145514397,619317.9943760394,0.14134298294356398,0.006151238093085276,1.3172913,1.2979374,2.4144651e-06,0.024492307,-2.9250683e-05,0.010345695,-0.0148896392326898,0.00420915581393684,0.1948374,0.010652859,-32.19719,82.90967,-25.149618,10.360325,-7.2407336,2.6968243,-5.5057173,12.281636,-6.276025,-0.35806116,-3.165272,6.1684027,-4.432381,2975.1743,935.3746,1272.0814,261.54562,370.90176,162.1281,129.73907,95.039215,103.64602,82.81629,52.61131,43.491676,53.78369,Jungle
"Ed Solo, Deekline - No No No - Serial Killaz Remix.mp3",89.10290948275862,0.43148476,0.08658015,3556.214302176218,1068575.7251751733,0.20375427316872827,0.015495616707017275,1.5925651,5.781625,4.8982605e-07,0.04738364,3.1570926e-05,0.033187263,0.01140582441934461,0.004089718260261656,0.29784098,0.017724495,4.7929583,40.235504,-0.32875127,11.408558,-4.486503,4.350555,-5.9725795,1.5763845,-4.9704013,-1.4399347,-2.9015675,1.9993026,-0.91887057,11244.826,1086.2407,569.74426,358.42087,303.80112,248.71289,157.9925,120.254395,113.42247,64.565895,81.12896,59.47286,60.183212,Jungle
The Ganja Kru - Super Sharp Shooter.mp3,83.35433467741936,0.46049953,0.08091672,3534.3348189878448,1250392.4141441474,0.23689549007054503,0.015086736846553029,1.621691,2.5461247,3.2711312e-06,0.0059909737,1.0896998e-05,0.0036520262,-0.008353040138792792,0.0036072503464745042,0.09523183,0.0048999405,-129.1543,41.278236,-6.4706964,17.23289,-13.351045,9.074696,-4.833881,1.564559,0.048837516,-3.725424,-2.4230175,-1.5630004,-3.058497,7081.56,1652.6494,1199.61,624.633,472.50183,229.75961,184.03392,105.89505,103.81824,85.09759,49.90541,57.254555,55.68889,Jungle
"Serum, Serial Killaz - Hold On.mp3",117.45383522727273,0.41240823,0.08724756,3739.1678173947757,1114098.7614909722,0.2561517397685543,0.020956483227896214,1.5993974,4.2508903,2.8498262e-05,0.019036004,-6.470358e-05,0.04167958,0.010023083644705265,0.0034074459751474626,0.24061656,0.018762987,-12.934973,37.74615,-6.3667603,6.3792443,-6.5549693,2.7376683,-11.114874,4.603723,-1.3795149,2.1814463,-3.8881245,-0.82174677,-2.6121464,3986.5667,1490.2466,740.6397,495.5323,311.87534,183.87532,191.1807,162.17421,128.25967,107.42506,69.20859,85.3102,65.58455,Jungle
Ed Solo - Ganja Smuggling.mp3,86.1328125,0.42647424,0.0856769,3648.7187595820933,1257621.036620611,0.22229442736519134,0.018265171449023742,1.6990858,5.6576166,2.8593766e-05,0.009762292,-3.914676e-05,0.03251217,0.005391833372659372,0.0019939575457281655,0.20743483,0.01172838,-29.437572,45.949894,3.0979908,4.0122027,-9.606952,-0.80594546,-2.3278556,1.848985,-7.2954526,-3.8770897,-5.8565936,-0.6695467,-5.2315626,4696.401,1649.9738,667.3386,467.0862,281.72733,189.74626,142.5355,120.381424,93.70534,93.79083,68.01323,59.841118,57.116543,Jungle
