File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Ego Ella May - Being Loved_002.mp3,92.28515625,0.45035705,0.09027646,2273.998028104529,1186391.1655956535,0.08945380316840278,0.010369906535395133,1.6326593,5.5774417,-6.7269306e-05,0.018520692,6.0012553e-05,0.022722663,0.015313145870871693,0.0028899957561853364,0.20246011,0.017600456,-98.469765,98.04043,13.813189,10.390063,16.253092,8.420605,-2.2248023,-2.5945446,-4.711247,6.9272585,-6.234341,1.1381371,-3.2687457,6202.9697,1465.0448,485.54062,161.93163,162.32315,113.471954,102.93922,72.87174,77.226166,98.3731,64.47492,72.15967,66.913635,Neo-Soul
Greentea Peng - Hu Man_003.mp3,86.1328125,0.39960596,0.09205229,1952.3339217548441,347082.86852259387,0.0686672289982679,0.001743099087985037,1.4848994,3.1622128,6.4122556e-05,0.04117131,2.3007042e-05,0.027089015,0.017259862882740663,0.006976839598250116,0.29096708,0.010960017,-39.888767,107.916306,8.909004,23.572887,0.57762545,7.045478,-5.292391,6.7316904,-8.725551,-6.462888,-5.339114,6.0228906,-1.0810349,2545.0627,550.1201,375.4779,151.00398,147.01,201.18382,102.07141,76.63871,77.506516,49.45686,58.15847,76.25794,59.185326,Neo-Soul
Erykah Badu - ...& On_000.mp3,83.35433467741936,0.342453,0.09665954,2311.9017122860287,1006395.5070006516,0.12691252886836027,0.013341280938807265,1.7378085,6.059383,1.0777097e-05,0.0068045175,-4.7360718e-05,0.015622932,0.007035209020196553,0.002954047420036991,0.13160339,0.009966266,-143.58835,100.527695,1.1351945,2.5721023,-2.0878587,4.2674522,-8.143233,-4.791741,-11.490821,1.5880035,-9.435369,5.9030833,-1.4982109,7502.9136,1364.751,874.7151,388.31366,313.49188,178.10501,160.52852,119.98788,87.49781,123.456635,139.89813,96.85163,114.62615,Neo-Soul
Jill Scott - Insomnia_004.mp3,112.34714673913044,0.42245504,0.087108724,2328.803475044348,422204.4874657359,0.09685222105946882,0.00180892577493127,1.2760785,2.1167312,1.9906582e-05,0.012213127,-4.6758578e-05,0.013208223,-0.01806230997225379,0.0032973362608357533,0.17114103,0.0076804888,-67.00421,100.287994,13.5441675,9.704638,4.739865,6.56311,-2.74003,3.6015754,1.865906,3.9231093,-1.810003,1.4091157,-3.2260306,3577.0269,496.01974,641.91064,199.41705,137.12184,58.1426,77.96254,53.578674,98.55146,68.6037,61.2339,84.49937,61.1786,Neo-Soul
Summer Walker - Settling_003.mp3,123.046875,0.43408495,0.08293474,1459.924496376752,483693.98903869133,0.041556906755196306,0.001554220377095782,1.4708399,3.3014076,-2.0904683e-05,0.014394862,-6.222538e-05,0.0063225166,-0.0037817710080489697,0.005644980228420096,0.15071,0.004372489,-139.81221,134.87526,19.002743,19.52312,7.184423,8.305548,-1.3944664,3.1567595,-1.0306154,7.578237,1.0628803,6.2265816,-0.508673,4566.574,929.0264,332.416,177.57031,132.46045,80.14073,56.56719,49.529922,45.253807,55.90872,49.051327,64.27076,64.06607,Neo-Soul
FKJ - Vibin' Out_001.mp3,117.45383522727273,0.43238243,0.08635022,1404.2804073753705,81731.78734748038,0.05848549364896074,0.00023768774958479204,1.1940556,1.7139847,2.6496618e-06,0.0138180405,-0.00015339215,0.0015632535,-0.002183540741925772,0.005718874908583001,0.13840257,0.0009734514,-119.08911,146.76544,5.6276507,-4.3722105,-9.612501,6.2808585,-9.458772,-11.436752,-16.041914,-0.50315946,-4.192452,0.86505896,-4.270526,1822.7405,388.9616,182.52242,163.75827,39.934566,83.20101,59.202606,48.81094,37.65346,77.675125,87.566216,31.48331,53.262146,Neo-Soul
Fatima - Biggest Joke Of All_003.mp3,103.359375,0.3776942,0.09388439,1756.7283621156146,643744.3955609368,0.07328503897228637,0.002682774317527214,1.8616803,7.725559,1.1161304e-05,0.009713318,-2.5716978e-05,0.0106906565,-0.012051424964312583,0.004882672386910934,0.14623745,0.0067427526,-140.09843,121.69893,2.666147,13.852803,0.35950267,1.2827371,-6.240343,-0.6481,-4.6837482,8.014773,1.1329293,2.390073,-4.041099,9286.026,980.7976,637.9848,257.73575,226.87273,160.86678,114.079475,71.10822,72.45397,80.170845,119.53881,56.699326,91.26779,Neo-Soul
Hiatus Kaiyote - Fingerprints_002.mp3,78.30255681818181,0.40651506,0.088535555,1446.767173847057,310242.8783019194,0.048187255859375,0.0008476060918635792,1.3621984,4.1381936,4.307383e-06,0.008004584,0.00013527725,0.009940763,-0.004282010072889939,0.004009017998491298,0.13056548,0.006499443,-147.62375,140.25104,14.975386,13.81184,-3.6816926,-2.759395,-7.475233,1.1810015,-8.322837,-3.0885966,-8.327364,1.0667534,-0.54279244,5210.9824,656.4605,289.89645,165.02718,114.06246,89.49588,63.559895,45.879982,61.67615,76.4804,49.549625,41.832138,57.373543,Neo-Soul
Ari Lennox - Whipped Cream_000.mp3,86.1328125,0.39369354,0.08920531,1451.6091734836887,87262.67839729176,0.06102049653579677,0.000987840640186861,1.3801286,3.1208057,1.1673041e-05,0.009115659,4.0965813e-05,0.057098974,0.0006614025948362859,0.0021262806973983534,0.21654387,0.027038066,-97.215485,139.84845,-5.9246187,3.2377086,-8.83953,-0.09825427,-4.917486,-9.33028,-15.332717,-3.0373113,-7.776581,0.9128195,-4.553772,4576.705,286.76675,402.34427,194.24458,240.48369,175.67946,105.27705,91.82246,95.49249,113.394585,75.100334,86.73318,47.489544,Neo-Soul
Pip Millett - Heavenly Mother_003.mp3,107.666015625,0.37670192,0.09840464,1911.4316991769588,1235230.8321097258,0.07566442335450346,0.00782352580350404,1.9352204,8.946271,7.715207e-05,0.027950767,0.00020314411,0.030881716,0.004922061887420422,0.005246853551296581,0.24372652,0.01950464,-110.71115,113.93025,17.984438,11.320177,1.566505,5.662089,2.364874,7.019257,0.6718626,3.7569199,-5.7030067,-7.017939,-4.0665684,8800.233,1421.4218,405.01505,405.69406,250.93771,174.7552,116.680466,78.74603,79.155205,69.18259,69.070366,62.90363,61.018196,Neo-Soul
Pip Millett - Heavenly Mother_004.mp3,184.5703125,0.34992385,0.0994585,1991.6340220725244,961482.8037591001,0.08042657512990763,0.003985560512767042,1.7843384,6.273787,8.4514846e-05,0.0149129145,-1.1864017e-05,0.0324548,0.003217986307629539,0.0034966368573932974,0.21974313,0.018117474,-100.701225,110.34505,6.729331,2.6722364,-4.091898,2.1072278,-1.1681405,5.89863,-1.4867358,2.79157,-8.3556595,-7.3747826,-3.1321692,6073.475,1442.263,555.27844,525.9554,319.624,196.89438,154.16066,109.25352,84.16804,64.69938,97.10377,70.91232,63.299824,Neo-Soul
Erykah Badu - Next Lifetime_005.mp3,135.99917763157896,0.4471072,0.08356715,2485.574366753412,533693.4320082408,0.1103244357638889,0.003967494140436619,1.2428725,3.1133325,-1.3657636e-05,0.012424806,8.107158e-05,0.011957401,0.019423980384960893,0.006776013007215229,0.15501097,0.007958052,-77.0723,86.81076,-8.022762,6.4179907,1.8686699,19.505278,0.87891626,4.703583,-5.7824707,5.148432,-6.61359,6.1234956,4.3217883,2808.0293,835.1574,516.1643,249.91837,160.38011,153.79706,139.43967,136.70265,77.69927,97.09643,61.514786,112.0208,122.13693,Neo-Soul
Masego - Black Love_001.mp3,86.1328125,0.41588932,0.083968304,2202.445617944017,947694.3283975942,0.11950824552540416,0.006980998719201878,1.2051334,2.047291,5.3881204e-06,0.0059957644,-3.2510125e-05,0.031002095,-0.004807636488446182,0.0015538981293805468,0.16431472,0.015967213,-77.629715,104.03143,-17.227081,7.0177035,-15.825229,-4.48976,-0.49553224,1.4366199,1.1766118,-0.38053447,-3.8037431,1.5448692,-3.274208,3153.3635,1900.7495,372.97626,249.42079,217.41818,192.5533,126.92561,105.9233,97.53509,68.62122,64.12719,62.64687,66.34103,Neo-Soul
Erykah Badu - Certainly - Flipped It_005.mp3,151.99908088235293,0.47629902,0.08266033,1930.9137258809237,587279.2229162882,0.044548882378472224,0.0016934407621990017,1.4442086,3.5969632,7.4307194e-05,0.02338834,-0.00012740886,0.016600493,0.012457806947564105,0.006074813687890066,0.20684637,0.007051596,-96.19818,101.79962,13.544055,27.84498,10.902252,16.448399,1.701265,10.43018,-2.014864,10.011527,4.9048185,10.649972,-1.1772181,3180.5498,970.5629,171.601,111.094734,117.403755,130.03812,72.7478,45.943012,74.482925,73.57712,60.425835,80.6107,82.643654,Neo-Soul
Zilo - Another Round_004.mp3,66.25600961538461,0.3487028,0.09487797,2471.847707177981,594737.3298546806,0.11289107606812933,0.003063321675015644,1.4379838,2.816784,2.5063295e-05,0.0062363693,-9.7869215e-06,0.015631102,-0.0015578215432088074,0.005512192123866034,0.13805915,0.007402059,-111.28829,90.14284,6.381757,1.7998438,-6.9916587,7.4518404,-2.8419023,-0.14545298,-6.1117845,-2.7991433,-8.210011,-3.8100288,1.5306796,3691.462,894.1419,895.2464,346.1677,274.21625,164.02226,134.6839,118.72212,102.45142,71.236015,59.030617,129.1168,115.78031,Neo-Soul
Erykah Badu - Green Eyes_000.mp3,143.5546875,0.43090087,0.10294883,3110.9744831916314,1111893.070198757,0.17250762305138567,0.009603197614074478,1.5402417,6.562593,-3.585867e-08,0.00013277662,1.2451114e-06,8.6191554e-05,-9.298169983016929e-05,0.006140956402503481,0.011652511,0.0001397805,-377.45755,51.59819,-16.132301,18.6339,-12.391845,2.5873554,-1.4404739,6.273965,7.599088,12.849936,1.5322163,0.73610806,-6.210359,15504.184,1388.0366,1087.9899,103.784904,348.36328,118.67469,55.511833,62.217808,88.20573,110.62041,59.3036,77.59623,91.127365,Neo-Soul
Amy Winehouse - Intro  Stronger Than Me_001.mp3,112.34714673913044,0.2939775,0.094653584,1948.1984005485072,484545.8175297776,0.08106145352193996,0.0020478107179610463,1.374715,1.5915511,1.7001743e-05,0.010005646,1.5533766e-06,0.0026322647,0.0023389452590865615,0.009411457254653312,0.1104494,0.0033222644,-158.82947,113.069885,7.7603774,17.83618,0.15227807,6.188764,-12.662095,-2.2518663,-16.262646,-1.1988384,-13.84546,2.5421085,-4.212529,5663.911,1015.0672,366.96564,298.88864,394.16312,157.62468,115.342415,105.96404,69.97585,85.32176,66.79937,102.53208,76.5055,Neo-Soul
