File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Greentea Peng - Hu Man.mp3,86.1328125,0.37889582,0.09081858,2261.1637119438487,565846.5479216259,0.0988087220960572,0.003440809031920886,1.3448113,1.8542755,2.2060573e-05,0.028298909,2.817719e-05,0.014726314,0.013767269460281319,0.008030060991243608,0.20493303,0.017862873,-68.12365,98.30867,-7.2899027,12.608883,-10.1952715,-3.5189612,-12.7169895,0.017878605,-12.186121,-7.584708,-9.41115,1.8805264,-3.5594306,5587.7173,856.585,527.614,223.42719,230.36002,231.33968,133.20927,123.38995,100.463806,82.846924,69.897606,74.74367,67.3908,Neo-Soul
Pip Millett - Something Bout The Rain.mp3,107.666015625,0.36235017,0.09375455,1805.6468838737014,374693.0334455687,0.08087066190326633,0.0022281735513574735,1.3612663,2.94608,1.597109e-05,0.014693034,-4.8017464e-05,0.013932976,-0.00946720712304981,0.0052273923576298216,0.17078303,0.010001495,-106.63969,124.78191,-2.2690506,-3.3737168,-16.153542,-5.127806,-12.485199,0.8591509,-8.306252,1.8948033,-3.2820213,1.8934286,-2.731,8284.015,784.0133,529.6374,249.41588,236.02618,159.12471,146.43973,112.40368,107.66711,130.31155,99.03315,77.781334,69.83623,Neo-Soul
falcxne - Velvet.mp3,95.703125,0.45280644,0.08262664,2898.5576105850682,844935.6879030832,0.18455313677763818,0.00994326571575822,1.3622504,4.9454136,-4.7326612e-05,0.02127746,-4.8371192e-05,0.048762474,0.0011744385589416832,0.002740312360058944,0.27241546,0.0259417,-9.239413,70.79244,-15.517315,13.445041,-9.805444,4.547144,-9.843504,-3.069946,-5.622923,-0.36950254,-5.4320483,-1.7677835,-3.13407,7629.138,1399.7618,532.2073,406.73425,276.98444,217.89189,128.17867,97.95119,113.109055,104.74257,59.898857,88.79124,66.28929,Neo-Soul
"D'Angelo - Shit, Damn, Motherfucker.mp3",80.74951171875,0.41972363,0.086385734,1977.0312817206802,1200018.238241004,0.10484400669211442,0.010081503991236964,1.3998997,5.1641493,6.01151e-06,0.0056080404,3.4623798e-05,0.01372701,0.010675195539426821,0.0042766871213947375,0.12136531,0.011974204,-165.98946,113.23549,-14.339939,-0.88050324,5.9571233,10.768734,0.053193446,1.3326743,-1.0117991,0.17764378,-4.836393,-2.7039945,-3.4794567,12472.064,2412.9753,559.58417,412.6761,238.31139,192.44511,103.82948,101.925224,83.76563,75.26181,82.6968,59.28626,79.85839,Neo-Soul
"Erykah Badu - Gone Baby, Don't Be Long.mp3",86.1328125,0.40814593,0.08248214,2264.641105640781,666324.0291313968,0.09595094613693467,0.003048398995428513,1.7001979,4.379301,-2.7873217e-05,0.027328147,-8.565836e-05,0.025656467,-0.011175313248073448,0.003127989335939704,0.24686901,0.012590506,-34.055912,104.83917,12.17172,8.812633,-2.6800113,-1.2485191,-12.686561,-2.6509392,-4.4039183,7.3826723,-0.2770846,4.4617233,-3.837283,3673.955,924.2557,279.29227,226.49638,161.78242,124.40604,97.09396,74.75961,67.42656,59.584873,62.000034,65.39591,67.0585,Neo-Soul
Pip Millett - Fancy.mp3,92.28515625,0.38925922,0.09492443,2450.965793087839,1704181.1625120991,0.11736208838664476,0.017469893126655495,1.4671854,5.0955563,1.6546166e-05,0.029180365,2.7507014e-05,0.016190477,-0.00316509549800343,0.007505827549276979,0.21903856,0.012656443,-89.34623,95.60194,6.4721174,3.2318625,-3.806932,7.895401,-5.3098135,0.77316403,-3.8220377,2.126942,-3.742924,2.2149546,-0.9881727,17285.844,1950.7899,593.52704,319.3028,306.2896,167.01491,154.91158,126.51503,101.26498,90.58176,83.552666,65.57236,78.01268,Neo-Soul
Pip Millett - Do Well.mp3,95.703125,0.36648083,0.08982085,2412.0782292568333,630477.0061923885,0.11217936135001932,0.003029298134690394,1.449672,2.6530616,1.4005733e-05,0.026860986,4.534438e-05,0.020639583,-0.014494901309111881,0.003692516190344666,0.24503265,0.0068679443,-29.642513,98.43705,0.33178955,-3.5635102,-15.799816,1.7894408,-6.464551,6.0934567,-8.858848,3.6426415,-7.4602656,4.0897923,-3.9149685,4253.0054,807.2777,558.164,339.6288,278.67444,187.1673,130.76408,113.825584,118.0197,136.55551,77.386,97.83582,82.69937,Neo-Soul
Alicia Keys - A Woman's Worth.mp3,75.99954044117646,0.37513828,0.09155755,2177.5889394919745,924583.7609839872,0.10024147933175492,0.005103075283408706,1.4031909,6.2915506,3.3619315e-06,0.00993892,5.456947e-07,0.008501358,0.005169284381273015,0.011315854970577592,0.12147821,0.009110695,-158.50194,104.5958,-0.85327727,6.3668137,-4.1229324,3.2854261,-7.3424196,1.4223013,-3.2100458,6.017061,-7.3308105,0.6500769,-5.116574,14628.209,1531.8137,524.5566,337.73337,208.12843,147.88765,98.96874,132.98698,115.02655,186.05072,116.10707,102.096954,83.14261,Neo-Soul
"Ari Lennox, Cozz - Backseat.mp3",143.5546875,0.39067304,0.095703535,2725.7674067666953,999065.4838244857,0.1334491341925976,0.007799551962710774,1.3937542,2.6239188,1.1831065e-05,0.0302163,-3.4172823e-05,0.022165949,-0.004910331913983164,0.003944895280606047,0.23564737,0.016792491,-51.232056,75.44599,2.0077386,14.897704,0.32592037,3.74441,-9.912122,4.6549754,-1.4034495,7.119022,-2.7394543,8.919163,0.32278976,4829.0063,1135.3175,601.85547,414.50482,340.2703,271.95694,230.64201,125.69029,95.16688,108.398506,110.11783,120.65817,97.74573,Neo-Soul
Amy Winehouse - Mr Magic (Through The Smoke).mp3,99.38401442307692,0.38940942,0.093573995,2892.1581028440055,1483061.7043732216,0.16560133147709702,0.014286155962554089,1.5298603,7.2959805,-2.2711965e-06,0.0058559696,3.532871e-05,0.03405562,0.007022228681166621,0.0020315434038308128,0.16687003,0.019873653,-128.3992,71.92513,13.3480625,13.3468275,-11.068993,2.4849768,-13.382405,-0.5614325,-6.6127152,3.466813,-3.8317256,5.718496,-2.8695037,16087.583,1778.2296,421.33136,340.95636,313.1877,244.81374,159.55548,164.66017,111.59775,154.39171,97.124725,112.95856,82.16027,Neo-Soul
Kali Uchis - Loner.mp3,117.45383522727273,0.3618812,0.09176589,2215.233239721289,441925.5960574321,0.1092464651985891,0.0025207414592104886,1.2316185,1.6080645,9.0198455e-06,0.03752932,-2.4130788e-05,0.015232277,-0.006559574861049542,0.006927899961040775,0.250179,0.008599657,-33.56887,99.07493,-23.283909,9.203298,-16.773619,-3.3328466,-17.365606,-7.6634035,-17.642296,3.28842,-1.7471147,9.116599,7.475933,6757.0566,1123.116,558.7323,314.31378,221.61337,208.52382,152.40895,123.78096,94.20496,90.62368,81.350395,63.214172,97.66274,Neo-Soul
