File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Sanchez - Sometimes_002.mp3,151.99908088235293,0.36588758,0.09323853,2688.398513259448,434490.9800770183,0.1288384331597222,0.004448482099874519,1.4200567,3.5905504,1.6025582e-05,0.02374305,-0.0001266586,0.014430981,-0.0039505135743350735,0.0042182894765343685,0.22045834,0.0064120837,-35.27745,83.87645,15.617915,17.456438,-18.957815,15.6164875,-7.395176,2.5462556,-6.55583,0.45529005,-5.49582,1.7739729,-0.3696352,2578.7256,701.8142,359.43338,272.588,285.96158,188.38441,108.55187,200.23158,127.26043,65.54616,81.94998,88.86549,140.40314,Reggae
Cocoa Tea - Young Lover_002.mp3,161.4990234375,0.38509092,0.0941253,2224.3599041113957,456423.6340795583,0.08915879991319445,0.002938990193752595,1.727555,5.429291,6.6559536e-05,0.035507705,-2.6324267e-05,0.014830812,-0.008248760192484121,0.0075374820185521215,0.24995805,0.005125187,-47.279263,93.725624,-3.6184785,18.101938,10.557945,15.168557,-0.3596257,9.760887,0.37853253,1.199618,-2.7895203,1.1287018,0.95000243,4356.726,677.32916,804.4082,292.74115,340.73627,140.7108,133.94496,82.39903,100.101944,60.72071,59.38188,45.82081,48.608597,Reggae
Duane Stephenson - August Town_000.mp3,135.99917763157896,0.42365235,0.09065287,3774.5251297461973,1669886.0014946933,0.23302292328233257,0.023781224103949516,1.2041461,3.5714593,4.870661e-05,0.022089906,3.4036726e-05,0.008774652,-0.0032403570994844677,0.005488783587867517,0.16553383,0.012857158,-140.0166,37.83567,-2.6857045,1.3539115,0.95342565,5.14903,7.4437203,11.90858,-2.5017881,8.657091,-0.48220304,2.3969536,-0.08225171,41787.51,2257.0693,734.6518,288.62515,189.15744,165.58626,180.73138,225.56862,83.97205,137.56062,82.23865,52.716446,79.758934,Reggae
Garnett Silk - Oh Me Oh My_002.mp3,172.265625,0.40856066,0.08433139,2457.6287728835227,502749.7280026932,0.11083419234664352,0.00276346501494427,1.557828,5.9145317,3.0212002e-05,0.038589604,-1.51660315e-05,0.022743752,0.004210806811461238,0.0022445503023893823,0.28735867,0.005243904,5.003565,91.13623,-3.1744242,9.95674,-1.8063097,17.555958,1.8079454,5.708108,-1.1864189,3.4589942,-2.9302578,-2.5521362,-4.8561215,3511.5662,715.0262,529.8784,203.56065,165.6971,85.56333,101.6205,92.636345,100.11229,52.029488,73.7753,47.952023,62.31766,Reggae
"Maxi Priest, Bobby Konders - Just A Little Bit Longer - Radio Edit_002.mp3",172.265625,0.41226178,0.08802413,2915.3584825428115,567994.6224404379,0.13447853370949073,0.005258727215731258,1.5133531,3.8182757,8.684818e-06,0.005592891,-5.594718e-05,0.003177153,0.001979123893939725,0.0042734650004314385,0.10645428,0.0016418895,-102.043076,71.73038,12.983514,15.866285,-1.6348462,14.352973,4.960162,3.2939692,0.33015803,0.053976413,-8.167176,-0.5264949,-3.2021098,3653.93,648.87946,335.56888,258.10336,213.5221,165.07474,84.62843,85.84185,100.2264,47.001873,41.033573,77.58625,78.82037,Reggae
Chaka Demus & Pliers - She Don't Let Nobody_000.mp3,89.10290948275862,0.40404597,0.09539914,2228.845547765012,925827.5990634733,0.09071769450057737,0.003245904250336951,1.5036819,4.4583387,-9.988315e-06,0.022237584,1.7829756e-05,0.014810826,0.008073620461132242,0.0022734733976369076,0.21391349,0.007937301,-76.902985,82.04935,7.953407,7.026404,7.233977,12.221591,0.7374149,15.060335,-2.9799452,0.60699767,-1.1276982,0.53541636,4.562025,27687.219,1220.6654,368.68567,121.82753,120.167885,110.8373,74.82717,154.2051,79.40858,64.22536,63.119835,59.090908,61.43381,Reggae
"Three Houses Down, General Fiyah - Love & Affection_005.mp3",151.99908088235293,0.39156604,0.090153,2281.955347291258,371390.6939695597,0.10244524920428241,0.003218702173476275,1.4046489,3.8003507,8.286936e-05,0.030584753,-0.00031802838,0.022518622,0.00562121472965966,0.004990223413024331,0.2685471,0.008155586,-9.111762,101.52914,-3.335113,5.825773,-3.4205515,-4.465963,-6.899796,1.7748029,-3.8992355,0.1649832,0.13800268,6.8280253,-1.6800804,2724.8965,542.8101,460.96048,345.89902,198.7733,124.86037,125.68517,79.06033,67.95096,54.364105,60.158936,59.978825,66.6753,Reggae
Bitty McLean - Walk Away From Love_000.mp3,161.4990234375,0.30392823,0.09487363,2770.930515894374,1591518.9410518918,0.1796965213625866,0.011571732102692538,1.4767258,3.7625742,-1.2875547e-07,0.0048868405,-3.9996135e-05,0.007523745,0.0009482987871864497,0.007903981847748081,0.10001015,0.0073736478,-178.77652,47.60702,-25.114481,8.608003,-11.778814,-3.076691,-9.901879,-0.7925187,-0.044213135,2.7295902,-2.6702292,4.5336924,-0.5121559,23276.947,1620.0941,1289.1779,324.76663,450.18756,138.22925,161.07077,170.65239,140.02351,101.02482,133.60788,158.20374,86.03062,Reggae
Aswad - Don't Turn Around_000.mp3,95.703125,0.42703718,0.09235661,2721.6180152036113,1121484.81486383,0.12650205687066973,0.008036765702595861,1.5730209,4.9799814,-4.0769205e-06,0.0011050111,2.3838225e-05,0.0009855364,-0.007863613700359637,0.004383006878712647,0.045494363,0.00088084146,-216.62527,76.724785,0.8366409,7.2593365,-5.2532616,-2.475947,-2.1058109,-0.51441383,-2.8647444,1.8972505,2.8379683,3.9974842,-1.6461041,7869.269,1768.5941,734.4961,374.5514,308.76978,255.66321,182.69086,146.32823,123.992035,140.88136,85.14632,53.33063,56.460274,Reggae
UB40 - Kingston Town_001.mp3,198.76802884615384,0.37927505,0.09207945,2331.2089226183293,733144.8125855218,0.10471772156466513,0.004038204839128882,1.7949506,8.616331,-5.775998e-06,0.0013047432,-2.8287504e-05,0.0023199955,0.006344910661687517,0.0033673615458647706,0.056268983,0.0016068908,-210.61955,94.5715,0.9614956,12.2255945,5.848204,13.345184,-2.457206,5.718927,4.2479424,7.696443,-7.4498935,-9.453003,-4.2713394,7428.2695,771.55444,542.807,245.48726,180.6023,85.80399,217.0569,157.02557,111.41569,110.364624,120.74051,117.08267,142.58421,Reggae
