File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Sophia George - Girlie Girlie.mp3,161.4990234375,0.36671582,0.08928823,3452.3398792840558,504628.50582612876,0.1893608290853305,0.005789883086819214,1.5087155,3.1348336,-2.8033188e-05,0.0110513335,-8.346276e-06,0.008865272,0.011037246655751301,0.004311949705565195,0.15893127,0.003324909,-49.166782,51.61066,7.4331174,17.359531,-8.790804,12.72685,-12.886219,0.6765303,-6.2380195,-2.0039556,-0.23805366,3.3509924,-2.1552644,8447.515,595.47595,643.6741,245.34683,252.9729,158.62259,153.19347,98.427,97.1449,100.99083,71.74744,92.155716,92.285614,Reggae
Sanchez - Sometimes.mp3,151.99908088235293,0.39675784,0.09132006,2637.727805254755,431931.41718475136,0.13362391132344414,0.002855688994677463,1.4330055,2.5803719,-5.7551088e-06,0.018346684,-1.6783091e-05,0.013127123,-0.0014584119948061456,0.004291832048373088,0.1943802,0.008036062,-51.487907,84.75883,0.777474,7.881615,-10.930642,15.300967,-6.71761,4.6279116,-6.217971,1.1560218,-3.1151736,1.4105695,-0.58736295,10314.11,691.4526,752.2019,246.83873,267.6199,165.3767,119.60531,137.71948,124.30736,74.07598,78.99109,85.68516,103.32437,Reggae
Aswad - Shine.mp3,103.359375,0.4356138,0.07790587,2771.9407453729127,762057.978767786,0.14321759035562429,0.007089620120407976,1.3815029,2.1613128,1.1307801e-06,0.01746115,3.0485304e-05,0.014421767,-0.019273151858694704,0.005957481350193316,0.20945024,0.0043765293,-20.843174,77.80459,-1.5516548,12.75052,4.2644587,10.9387865,-2.4412377,0.5776875,-3.1899536,0.8083598,-3.7924826,-2.1628761,-2.4728484,3079.1099,1048.939,527.7329,260.25168,260.95026,128.59787,150.46571,130.27257,84.2087,72.7038,64.77608,70.50193,68.94773,Reggae
"Shaggy, Rik Rok - It Wasn't Me.mp3",95.703125,0.37990552,0.08838061,3087.7735475908576,667707.9438750524,0.18412053506716275,0.0063314209228980504,1.4553884,2.9956937,-1.8514778e-05,0.008245399,-9.184206e-06,0.019233016,0.0027533392581767045,0.004107408445562449,0.1565022,0.014606318,-76.93963,58.211212,-18.767776,1.1725388,-8.659938,0.5410687,-4.0413566,6.6725574,-3.2098818,0.89723086,-5.7821846,3.5266654,-0.56731725,7326.7876,888.7731,846.2067,372.98474,408.37515,266.7041,170.58167,107.59845,98.47188,86.39749,66.279366,94.164536,117.42756,Reggae
Bruno Mars - Show Me.mp3,78.30255681818181,0.3709106,0.08458037,2576.4460097434826,629843.2302565541,0.12092916505604948,0.006575913430641767,1.4137338,2.4878223,1.7109853e-05,0.036242314,-5.4452797e-05,0.01879608,0.0040935062762501835,0.0048840009203388705,0.2511264,0.010835477,-31.716497,81.70909,0.38483036,19.705729,2.1147954,15.696931,3.2113516,5.8336935,-2.73585,2.7579706,-0.45292303,5.355035,-1.8190483,3167.7456,737.61676,677.5763,244.62413,249.93005,124.327446,129.66365,102.71318,74.60391,102.115074,114.21386,96.06921,75.771576,Reggae
"Pato Banton, UB40 - Baby Come Back.mp3",123.046875,0.4206959,0.079365425,3185.7321468866826,493197.4079642729,0.1373485894013336,0.0043811394956040535,1.4856496,3.5835183,-2.7647426e-05,0.006968455,8.611036e-06,0.005641586,-0.009319272677534117,0.0039053521048378922,0.1254313,0.002654879,-91.84362,59.916866,27.56764,27.965384,2.1269243,17.083302,10.477981,4.2030644,-2.014581,-0.18242514,-2.4055622,5.033554,-5.668892,3609.969,382.10916,311.0618,144.74365,145.59744,81.438225,97.91372,58.60195,62.963642,47.160732,68.95464,38.684837,48.951893,Reggae
Jamoa Jam - Pacific Colours.mp3,143.5546875,0.392676,0.08601416,2932.5081421758728,482331.8656186155,0.16438657379445304,0.006267112557725275,1.4865481,2.561023,3.0161715e-05,0.014494626,-2.4217861e-05,0.014302053,-0.0020089658388478915,0.0041842961076932386,0.18579575,0.0069288854,-45.037663,66.58574,-16.761642,-2.1962297,-3.7686186,6.8910317,-0.6143503,5.1788144,-7.050132,4.328454,-0.079338625,7.166136,-1.7396277,6618.9634,767.13873,776.4463,435.15762,358.02454,214.97806,182.98276,115.160904,118.05187,135.87752,112.30511,95.68446,98.21314,Reggae
Buju Banton - Make My Day.mp3,95.703125,0.4387101,0.0862674,2883.7053766965632,1634963.5198993462,0.15447353957286433,0.01725798454501555,1.5621563,5.513189,6.4827015e-07,0.015673043,2.3721212e-05,0.022172948,-0.004065019465645559,0.002653892712749747,0.20279494,0.010858956,-69.34677,79.22473,22.094515,12.086472,-6.8037453,5.3469405,-1.5215473,-0.08373297,-2.8333628,-0.64316154,-8.865252,-2.393767,-6.309381,9956.313,1431.4479,558.5091,318.81952,293.49347,222.80981,173.0816,121.5614,92.6909,77.52097,61.074917,59.32976,67.00437,Reggae
Busy Signal - Come Over [Missing You].mp3,89.10290948275862,0.42288843,0.086442955,2199.465687891165,388219.01130472036,0.08580764398917665,0.002969841080626532,1.3709539,2.039688,6.325484e-05,0.055490557,7.2770155e-05,0.017835842,-0.0011201063626132815,0.004241802642633731,0.30494788,0.007992971,-14.639112,100.97401,8.148222,18.264067,-1.6022073,7.5856786,1.042326,7.611205,0.33585703,4.638445,0.24570791,4.5654416,-0.6659441,2795.1082,524.87177,483.83142,211.6192,235.96584,109.97128,115.58174,103.16844,68.40485,85.03497,64.264565,78.738846,59.96096,Reggae
Ed Robinson - Knocking On Heavens Door.mp3,80.74951171875,0.369884,0.092041254,2101.9721979692977,355811.1966928594,0.07922028260291844,0.002729017582989696,1.4806963,4.1063294,-6.3267967e-06,0.0046024546,3.6873746e-05,0.0025475174,0.0003121693362482796,0.007463740938134457,0.092575826,0.0015242557,-150.48175,103.76976,5.008142,6.695442,8.189683,15.115661,0.95899117,7.025435,-4.768319,0.21031545,-3.1549175,1.9978379,-0.4274742,4995.353,506.53787,545.927,206.0165,265.2205,122.39339,123.08311,89.09944,102.465065,102.35251,71.35891,71.62734,59.751335,Reggae
Sizzla - (Dry Cry) Just One Of Those Days.mp3,151.99908088235293,0.39565125,0.085948765,2837.903957071275,137022.27578733666,0.18189467469559334,0.0028585371737574836,1.3425349,1.918085,-2.773505e-05,0.018451232,5.3527747e-05,0.015404895,0.005993219889495356,0.0030902155273449584,0.21347144,0.004504097,-16.552362,70.25683,-16.473145,34.619614,-21.106968,15.621219,1.7993284,-2.0128064,0.11923131,-0.6645289,-0.16341461,8.190562,1.5965772,1941.2501,340.00458,614.5842,217.73264,234.48889,144.02025,118.913536,90.673195,82.43715,71.396355,74.860695,71.00353,81.895874,Reggae
Barrington Levy - Here I Come (Broader Than Broadway).mp3,83.35433467741936,0.3428802,0.09292729,3143.2843483947713,551041.4555926381,0.1648984480696753,0.0051263279518683705,1.4084265,2.6305573,1.664503e-05,0.016955515,0.00014590843,0.029308079,0.019922797901816967,0.004909118719783921,0.21487159,0.016396515,-39.069023,60.34807,-4.087699,9.021589,4.517264,10.539792,-5.7844105,5.75216,-5.7244854,-2.047123,3.1648731,4.0028,0.68640083,4049.3845,615.5257,777.9123,261.02234,295.1829,148.6742,127.419624,83.45043,94.468254,93.803635,120.751884,100.61023,109.40385,Reggae
Eddy Grant - I Don't Wanna Dance.mp3,123.046875,0.3549412,0.08476993,3009.5461447072985,727993.5506190222,0.16075362539862775,0.006302661849713862,1.3437494,2.0946224,1.029433e-05,0.0030614357,5.0921353e-06,0.0072779832,-0.007899691822908622,0.0051730215891272295,0.09971808,0.003773189,-108.0536,71.420296,5.775694,3.5784266,3.189421,-1.0972583,-3.1846817,1.2930261,-9.130299,-0.45438495,-7.4496055,1.6090776,-2.6284556,6714.83,722.85205,383.69217,432.15045,194.52792,127.479706,133.34724,78.04935,86.784744,69.79385,81.3368,90.84531,86.074104,Reggae
"Three Houses Down, General Fiyah - Love & Affection.mp3",161.4990234375,0.37412015,0.09239057,2490.271663039915,590735.9653811234,0.12090009844897565,0.0053849129120231475,1.469542,2.7856617,5.5935365e-05,0.027544662,-0.00015412564,0.018953586,0.004337755407994307,0.005926041790127033,0.24347362,0.009475874,-31.269897,89.77556,-4.8857665,12.20905,0.6878535,0.09450002,-4.02759,5.492243,-1.2848059,1.7955451,-0.53879714,4.8098693,-0.15365875,4881.504,844.6748,488.01236,469.8904,283.93307,163.16684,111.01355,95.30982,82.864,87.90641,91.73019,80.85933,81.66107,Reggae
Bitty McLean - Dedicated to the One I Love.mp3,172.265625,0.36422265,0.091715835,2784.228388164775,350211.5086215089,0.13804750918051797,0.00349690180156938,1.3686136,2.5181797,9.113291e-06,0.005902618,2.5176563e-05,0.0040573473,-0.0027832429765219766,0.005873245087079731,0.11200973,0.0016129866,-97.56653,73.50129,-5.105059,8.002705,2.4282768,8.997826,3.1705918,2.8993757,-7.7757936,1.3277823,-1.6282293,4.751916,-1.145224,3623.1418,541.66205,628.09296,391.69006,472.82852,178.49535,104.91435,107.667786,96.35163,89.75065,78.250305,77.22855,78.878296,Reggae
Phoebe One - Knocking On Heaven's Door.mp3,151.99908088235293,0.41269264,0.08487977,2175.5378040361134,372308.2266921351,0.09771419446994588,0.002110090186453598,1.3352644,2.5122085,1.4413175e-05,0.012661319,2.2785762e-05,0.0074069076,0.002604469415153507,0.003097661043474188,0.15917714,0.0041377195,-70.27789,103.295906,-3.237487,12.431733,-5.1570697,4.826203,-2.837853,2.1576529,0.36038327,3.0114374,-4.790157,0.45291153,-1.2864095,5128.974,576.1607,390.91888,276.42548,240.83963,135.599,131.9987,97.64488,99.73036,54.472,54.23868,67.991684,69.34855,Reggae
Maxi Priest - Wild World.mp3,161.4990234375,0.36774927,0.08582076,2578.5577015029667,410159.31174012244,0.12583802425589485,0.0027390038543083184,1.2576485,1.7608664,1.8890161e-06,0.006732011,4.749211e-05,0.0028600013,0.008934656674501815,0.005652913787798597,0.111345865,0.0015732109,-87.129715,84.72146,-6.9871593,8.288141,-15.209787,5.3739843,-6.2574935,2.6377678,-7.2294707,-0.6099407,-8.413809,-0.16378146,-2.3574936,4301.897,649.0611,507.29474,191.57765,231.59154,154.20027,107.417305,92.57494,89.23484,63.07126,70.12945,69.52977,81.65267,Reggae
Beres Hammond & Buju Banton - Pull It Up.mp3,92.28515625,0.37887055,0.09142207,2490.7275033993383,522567.31120593776,0.12212542580691921,0.004235254279735022,1.6367339,3.3214679,-1.7154922e-05,0.011053865,3.761609e-05,0.009226999,-0.002207482165918791,0.006073817147325386,0.15851466,0.003366596,-78.567154,82.81842,-11.601992,10.575357,0.45859876,2.1626515,0.873444,-4.4874163,-6.0712953,-0.5527225,-2.4088266,8.735065,-2.4158442,5410.044,903.55634,873.561,482.20544,377.92157,210.39479,326.92657,163.64728,161.32204,115.886826,108.58594,100.75418,77.77478,Reggae
John Holt - Police In Helicopter.mp3,71.77734375,0.36198765,0.095357955,3303.4538436996604,762457.922709283,0.17001209472844994,0.009019573331103913,1.3820008,2.4731348,4.525232e-06,0.019564843,2.6528289e-05,0.012678349,0.013577126143966342,0.00818515393580512,0.18612812,0.009018377,-67.129974,55.509277,18.279734,21.647245,-7.2213297,8.594604,-1.2813412,4.061646,-4.1289506,-0.08377629,-6.158637,-3.749927,-8.602435,6617.837,635.01404,647.41406,283.52313,341.11996,202.33597,145.0605,118.32818,81.53567,63.5298,69.6981,60.833694,58.22074,Reggae
Chaka Demus & Pliers - She Don't Let Nobody.mp3,89.10290948275862,0.41401508,0.08580415,2578.2523716595797,688860.9692049137,0.11068639471395439,0.0037199951852821514,1.4575425,2.626403,-4.236066e-06,0.02809499,6.471549e-05,0.014610093,0.0072320350280088135,0.0024178255257350104,0.24123982,0.0038141361,-24.988094,85.632095,15.582464,10.899584,4.6414766,12.843059,0.67835706,5.753867,-3.9257216,5.964379,0.20824584,5.5912642,2.4127667,7031.841,646.13055,484.4511,130.34792,161.46127,81.8119,70.37925,104.8488,71.86002,84.938774,73.81946,86.395836,68.152435,Reggae
Junior Tucker - Love Of A Lifetime.mp3,143.5546875,0.3310509,0.09768286,2834.925231579618,936656.393289827,0.142895404003189,0.009651711488201674,1.7231542,4.5878468,-1.7109563e-06,0.00316822,1.9331687e-06,0.0024608113,-0.0025849129751391183,0.006704760079758921,0.068070546,0.0030573795,-192.76546,69.17186,-3.396348,9.037579,-9.316382,2.1122305,-2.562571,-3.8346612,-2.0575585,5.8829536,0.9676657,4.8723035,-3.2214203,7184.1035,1067.3817,862.9229,607.05786,374.21716,254.94118,222.9395,144.29933,166.75923,144.43613,167.5639,129.49326,142.05861,Reggae
Bounty Killer - Living Dangerously.mp3,123.046875,0.373934,0.09152739,2566.3853296248417,471509.73125574045,0.11706708119926555,0.004537566975170819,1.5407221,2.9926355,-1.2964342e-05,0.0092115505,3.605849e-05,0.008553558,0.003861202088859184,0.0046003015331630565,0.15319979,0.0022697544,-76.787125,85.28121,8.865726,15.327923,-6.0352077,12.695198,-4.3856635,4.291659,-7.416492,-3.182847,-4.8081527,-0.90053546,-2.376394,3105.9504,549.553,510.14636,274.75092,290.05307,173.4382,135.30849,141.82803,85.56465,102.15335,103.271454,108.90931,130.48055,Reggae
Bobby McFerrin - Don't Worry Be Happy.mp3,135.99917763157896,0.3664037,0.09464127,2029.832745428091,622446.8560653678,0.10118671029425975,0.004324236263758909,1.4452529,3.1023126,-8.4523487e-07,0.0007902552,-2.370791e-06,0.0006709896,-0.0018611153667301694,0.003940539367301209,0.041749142,0.00036931623,-240.36725,110.027855,6.1847677,19.994034,1.2344964,-9.359864,-13.101291,6.3085017,-0.64409107,-0.68278754,-4.9970036,3.2279143,-7.081391,10722.443,1080.9598,593.319,530.827,346.07312,163.91234,180.06943,163.77367,111.209694,122.84992,91.49013,73.57956,63.71519,Reggae
"Don Campbell, G.Saint - Oh Carol.mp3",135.99917763157896,0.3849175,0.09040791,3350.8837465139954,761965.7355096015,0.1755877871931774,0.009638300897061887,1.4871429,3.2672195,-8.207446e-06,0.01490128,-2.7321834e-05,0.009768826,-0.001742909825990938,0.004328516295197274,0.16888216,0.005449022,-64.00805,49.000576,-1.0770422,9.932784,6.6448627,8.955401,5.4399,8.688998,-3.601638,1.5678784,-0.4191953,4.831889,-1.1370811,6729.478,1024.5043,726.669,315.31702,364.36572,146.25908,139.12944,154.9038,96.9659,107.14713,116.111595,92.332375,96.69245,Reggae
Jimmy Cliff - Roots Woman.mp3,95.703125,0.38979864,0.0860817,3109.1203573581265,502433.3975724556,0.18114177407470042,0.0054139706438542596,1.578045,4.4017653,2.9661692e-06,0.00074612006,-4.6762248e-06,0.0018790491,-0.0012701560695028249,0.0032647876065642987,0.054088525,0.0007714377,-156.24438,67.41602,-1.5691291,8.009052,-4.295377,1.6412171,-7.143502,3.2848573,-5.5906725,-1.5721549,-6.220488,0.9250917,-5.3360677,4578.4,587.6915,609.5467,192.65619,242.92358,132.32164,125.90881,113.35235,104.34161,93.47728,90.81718,117.17366,72.892296,Reggae
