File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"Randy, Eloy - Fuera del Planeta_005.mp3",95.703125,0.44693223,0.07748626,3184.5903059544994,422668.123346208,0.17692622432002314,0.007032712084715177,1.5734153,3.7194946,6.0123115e-05,0.029796695,-0.00015595903,0.028147921,0.0019130159547041115,0.005211532493899812,0.27514082,0.005792526,19.624111,60.366226,-11.394646,16.88008,-14.386615,14.710913,-7.0733337,4.3407097,-4.8792644,3.3967648,-4.8007283,-1.0035471,0.72582805,2008.212,736.34796,711.49445,234.97295,199.63531,181.1005,112.51138,124.30697,66.40515,67.23745,64.76439,47.410275,63.371044,Reggaeton
El Chombo - Papi Chulo_001.mp3,143.5546875,0.41213438,0.08892555,3229.1211775612874,894590.583485452,0.17393299834006928,0.008584617756478041,1.9099892,4.7270894,0.00016585541,0.016390009,-0.00012212708,0.01820325,-0.015189664205658043,0.005125789266931116,0.20148392,0.0068702633,-43.878044,63.189907,11.315615,17.536243,-7.550346,8.0644045,-7.1302147,0.50685173,-5.2486086,-0.056306094,1.4752722,2.1908643,3.3472333,3857.354,857.42065,1339.666,501.41748,388.02188,122.356125,189.2719,164.01622,128.31963,90.798096,91.30192,49.85737,84.46296,Reggaeton
R.K.M & Ken-Y - Me Matas_002.mp3,92.28515625,0.3635711,0.08599717,2823.5422898501274,217748.02726653797,0.16541544596354166,0.0019240204451812638,1.1870489,1.7906537,-4.798443e-06,0.037935305,-8.627258e-05,0.024295805,0.02134902520700217,0.006357377044426291,0.28806224,0.007088093,23.724583,74.04862,-20.713858,17.658484,8.623998,10.096885,-5.496435,6.326984,-8.546803,7.1712255,-1.9665624,4.0027723,-1.7727342,1635.6339,386.1557,373.20007,191.17494,232.32436,118.576065,102.225746,77.52559,102.56198,91.26796,97.68773,67.627396,84.1749,Reggaeton
"Luny Tunes, Noriega, Tego Calderón - Métele Sazón_003.mp3",123.046875,0.37675077,0.09033325,2784.4198877323006,476118.98965948634,0.12110502670323325,0.003925288119466485,1.792381,6.5595217,-4.052042e-05,0.011986871,1.37138095e-05,0.032387584,0.0048046570464130665,0.004907618307939183,0.20953366,0.012085162,-39.231625,82.65913,6.19869,3.5306585,-15.693635,8.415743,-8.356208,3.6883502,-6.007291,-0.3034709,-5.0372615,-1.8507291,0.24062955,3852.077,653.3383,422.784,365.514,285.94485,217.57025,137.57994,156.43985,107.83533,82.166985,66.80888,54.818317,51.51795,Reggaeton
Tony Dize - Solos (feat. Plan B & Don Omar)_002.mp3,112.34714673913044,0.42940181,0.08238535,2812.533259750044,337201.61514290096,0.1516712330005787,0.0035872268995119382,1.5929025,3.8954434,-3.2238164e-05,0.024798756,-3.0350418e-05,0.030522939,0.003718888259765198,0.002349286039835106,0.2788244,0.007314974,16.968065,74.56035,-18.020424,-0.6337362,-19.99297,-9.096942,-17.421318,1.2406725,-1.6143265,3.2947834,2.3121984,1.1566168,-3.9016588,2160.1997,439.48706,552.5163,215.8239,289.5315,179.85544,199.5969,148.47762,132.31747,83.23951,64.94423,65.328766,57.705853,Reggaeton
Héctor 'El Father' - Noche de Travesura_005.mp3,123.046875,0.41812614,0.08569416,2797.1139056129427,487843.13486793125,0.14957795319733797,0.0059081052911604546,1.7521865,4.3404365,8.373165e-06,0.006557838,5.723962e-05,0.016234463,0.0142447142525384,0.004275555898895944,0.1681799,0.0031035494,-41.544624,72.90024,-16.905968,10.319915,-17.516392,8.142111,-5.4596596,0.8671885,-4.3393273,-6.9260893,-0.69707716,2.838835,2.1422267,2304.7126,955.1566,533.1736,254.4622,384.76224,217.62073,168.56047,143.61833,86.9732,77.87835,89.82637,70.15972,50.96838,Reggaeton
"Big Yamo, Natya - Tocarte Toa_004.mp3",99.38401442307692,0.44458312,0.082270555,3250.353187631846,283462.5246151117,0.18798489823903003,0.003410613002300692,1.6384827,3.255212,4.0657593e-05,0.02115608,-0.00037199145,0.035576195,0.003507584634919145,0.0031187913360899984,0.2770021,0.006180922,29.14726,63.2524,-5.515988,4.4539437,-0.45164296,14.1305685,-1.3753301,6.221085,-8.384076,3.3520937,-1.0713856,9.078815,0.44282576,1904.716,501.66443,375.5906,182.4287,186.46555,93.44975,142.38216,89.80434,76.43439,63.02029,99.7372,91.69648,60.80501,Reggaeton
Mach & Daddy - La Botella_002.mp3,161.4990234375,0.41386634,0.08485477,2896.550782901721,164200.1565535424,0.12417376482928241,0.0018814195379287782,1.5293454,4.1860404,1.1726743e-05,0.021958724,4.034577e-05,0.02746673,0.011383925738973386,0.003058848738877181,0.25653103,0.0034769867,3.744975,76.33026,6.15391,-0.3787712,0.40808463,11.520058,0.30545884,11.327987,-1.3857559,1.9214623,-0.6148297,1.0058122,-3.422843,2746.6567,208.70729,534.8442,236.84698,229.42479,127.68553,103.787445,73.291084,95.8793,59.560402,96.778946,85.00719,70.04837,Reggaeton
Don Omar - Dile_000.mp3,99.38401442307692,0.49757522,0.09365019,1412.5468927986535,254971.7429456526,0.02570524502020785,0.0012431371727592195,1.1050535,2.5776284,1.2383235e-05,0.009115002,3.0019808e-05,0.0005583127,-0.00031644577895669173,0.00839049946638875,0.097631335,0.0018222489,-227.93425,122.06232,22.181814,21.81029,6.3817472,13.478355,4.5001335,6.387971,-0.21745959,4.7001534,1.8086997,5.9097424,0.4082944,26876.248,1455.9309,65.890656,34.865692,74.41301,29.840078,35.464138,20.11444,25.403566,23.519524,19.516554,15.02379,25.166594,Reggaeton
DJ Memo - Fotogenica_000.mp3,161.4990234375,0.4042474,0.08116246,3561.502435163747,492496.36135760805,0.23867593461316397,0.006329610821319389,1.2006505,1.0007826,-1.6361717e-05,0.008687142,2.2787792e-05,0.009056539,0.003126564693645806,0.003532047078942401,0.15315862,0.0038910133,-38.98725,46.309864,-14.799764,7.5536637,-12.131583,7.6219225,-9.547795,3.0166821,-9.918439,-1.5814497,-9.24175,-8.434551,-7.6204576,5118.934,782.4908,708.7211,245.30585,458.3364,81.156746,92.3829,113.5207,80.104485,73.912,62.077106,89.05918,77.74403,Reggaeton
