File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"Nigga, Mr. Saik - Dime Si Te Vas con Él.mp3",129.19921875,0.39184162,0.08838378,2956.708001745698,133711.34013524154,0.17276323021356785,0.0019386240757413402,1.3327936,1.7940642,-2.5154755e-05,0.019933019,7.871725e-05,0.019474082,0.005485227535720849,0.004825482283447844,0.21831316,0.0075659603,-3.1445026,67.058304,-23.143354,7.3962255,-22.480103,10.326066,-0.7182729,7.0013304,-6.0463595,3.701039,-0.032824267,-0.29824755,-0.9032853,2652.456,238.42366,324.91208,249.76048,224.87288,176.68488,123.3032,129.04266,83.80327,95.89906,76.77073,82.17926,84.64213,Reggaeton
Randy - Soy Una Gargola.mp3,184.5703125,0.4564842,0.080566816,2495.7202620400426,481875.2594482093,0.11838187330885196,0.004317790993556383,1.4422815,2.2788036,3.731509e-05,0.029934183,1.5495174e-05,0.022868993,0.0029055338204805417,0.015052794369468426,0.2662752,0.004062952,-7.6751456,84.809944,-11.53987,19.81384,-4.699557,11.950786,4.5170407,6.4636707,1.2060426,0.7851278,-0.18575656,3.0094445,0.6978557,4182.591,761.9458,652.7003,287.39154,239.07219,209.9011,158.51904,167.20528,98.65309,84.39143,78.942184,70.59953,67.37593,Reggaeton
Nicky Jam - Chambonea.mp3,95.703125,0.42182902,0.08596135,3202.60791724947,260169.00771607566,0.17568159306146114,0.0050810455434118175,1.578736,2.9761684,-3.791701e-05,0.022004347,9.070074e-05,0.02428778,0.02226524297578881,0.01118378267804739,0.23313792,0.0065687452,-1.6987778,52.6045,-20.807364,10.487577,-7.663605,8.369913,-6.1997433,3.8012464,-2.6430206,2.4940848,4.7226443,6.1722927,2.4691653,2560.617,497.89264,554.02954,262.3524,313.03195,212.10358,149.3267,88.71102,93.59742,78.05704,100.46686,76.149124,86.19976,Reggaeton
"Vico C, Gilberto Santa Rosa - Lo Grande Que Es Perdonar.mp3",112.34714673913044,0.378637,0.08551633,2476.3938527818673,419911.7968098161,0.123778447526092,0.003984317729974688,1.231762,1.4517087,5.4582295e-05,0.023565361,-3.7739224e-05,0.016919335,0.012386005572728691,0.009221790106153023,0.20637156,0.012045674,-44.660454,92.049225,-0.6691654,16.51262,-5.4987364,4.8062506,-9.861629,1.9355699,-3.8895953,1.4883747,-8.171044,-0.09286404,-2.7367716,3060.3547,676.8459,346.64014,157.67378,205.82674,123.75928,141.64778,72.592155,81.30972,72.30811,88.40096,102.247925,88.6829,Reggaeton
"Alexis y Fido, Baby Ranks - El Tiburon.mp3",92.28515625,0.40382904,0.085169405,2728.081062279273,314348.0426284859,0.14450501455595285,0.003299787004113214,1.5810951,3.1105042,-1.8163468e-05,0.01586859,-6.204543e-05,0.025501996,0.020555500452347407,0.008535574022572935,0.22858088,0.007196252,-8.176882,76.01263,-18.827541,17.135248,-0.29580685,7.802451,-2.709858,3.7785318,-9.48763,2.235672,2.7429245,2.3732674,0.06789431,2951.2502,697.4533,507.84445,310.99542,229.45358,189.60103,113.14561,95.0317,135.4104,90.19696,114.542206,86.45756,97.67238,Reggaeton
Casa De Leones - No Te Veo - Digital Single.mp3,151.99908088235293,0.34684554,0.08564749,2655.682019090226,341025.87893539935,0.1293737693878044,0.0031629522309201616,1.4807713,2.8086984,-0.00055865373,0.030307464,0.0004879094,0.037031196,0.0019257579899051808,0.007750685910648638,0.28365275,0.013336565,-13.528599,77.5268,-1.9907799,15.281827,-4.432118,12.087552,-8.258726,2.8724246,-5.540765,-1.1645923,-6.2978578,-3.8882537,-2.3096738,3264.0237,586.4332,985.3103,291.68802,314.09006,213.46773,150.87439,134.07465,106.204216,78.37156,78.643166,66.577225,59.713978,Reggaeton
"Don Omar, Tego Calderón - Bandoleros.mp3",117.45383522727273,0.356049,0.09462504,3024.768645316523,815708.8974887981,0.1681603253648048,0.006694498859177852,1.3999976,2.103788,-2.966772e-06,0.018185638,-4.7976464e-05,0.019963313,0.004074899491392311,0.003522461111095644,0.20791483,0.009209293,-37.211746,64.260284,-12.820782,-4.906938,-19.14957,1.6834258,-9.225837,3.2769942,-1.6679736,-3.3888109,0.8405238,7.643102,-1.2602911,5763.356,1176.339,568.2977,427.3389,384.691,215.8132,151.22063,150.2663,111.98869,139.35959,128.71294,159.95366,111.3062,Reggaeton
"Héctor 'El Father', Wisin & Yandel - El Telefono.mp3",89.10290948275862,0.40508196,0.084287055,2847.6691611687615,184460.12128984963,0.16451171120023192,0.002506687269443002,1.3827857,2.3890736,0.00012491741,0.017265366,-0.00012136814,0.021408059,-0.0030339973553813715,0.006403954821203712,0.20082103,0.013683651,-28.407347,66.2764,-30.788353,13.535728,-3.000655,10.587683,-1.5789233,4.941831,-4.2870283,0.14558057,-2.8827388,3.507167,1.1091789,5665.2446,462.04803,583.201,286.85092,187.70116,117.18227,204.99084,108.34504,90.91118,82.26089,62.643215,71.62371,78.243164,Reggaeton
Héctor 'El Father' - Noche de Travesura.mp3,123.046875,0.41996282,0.085366175,2621.15488913148,393773.4789664386,0.12458702768650948,0.003479659300321579,1.3829383,2.000245,7.375864e-06,0.00872117,3.6765574e-05,0.007939204,-0.0019478259369414446,0.010830374537421732,0.14041469,0.002462122,-64.031395,80.74465,-15.296743,14.925921,-3.55876,13.95672,2.9890373,4.083476,0.63579166,-1.0760508,-5.513763,2.3926249,0.8478806,2764.351,838.4836,380.88824,220.85793,340.72745,151.79137,115.65752,116.72931,103.91927,96.74605,92.24816,65.52636,77.361916,Reggaeton
"Franco 'El Gorilla', Yandel - Sexo Seguro.mp3",95.703125,0.39139125,0.08277215,2596.1389508201387,413456.00597800146,0.11804081253623888,0.003475412437009909,1.2237277,1.3937036,-9.489965e-06,0.036152344,3.8732458e-05,0.0144394245,-4.3090004384128845e-05,0.011922687861282347,0.24809913,0.0073573934,-12.4645195,87.90907,7.790774,6.354001,1.0853114,5.2009306,-3.404977,2.6045413,-0.38821474,6.0620522,-3.8105047,-1.1116518,-6.66367,4319.6875,651.28534,302.17172,191.34436,163.49614,106.83649,113.45748,82.69897,126.99644,83.18195,70.079094,81.59424,74.89728,Reggaeton
=dcreto= - Esposa Mia - ( =DcReto= ).mp3,184.5703125,0.3665807,0.08545855,2445.0796483683284,321532.5898907542,0.128172978776092,0.0025292525516472774,1.5063738,3.5968907,-3.8610426e-05,0.019725444,-2.254916e-07,0.02046412,-0.008838902427995175,0.004897398097350192,0.22319978,0.008863582,-31.615023,90.14911,-16.773355,4.5481296,-13.392727,3.7324858,-1.7024791,3.1227524,-8.1178465,-3.1165292,-3.494079,0.615004,-2.1162975,5039.206,512.2764,716.5,207.78227,361.5542,229.66637,174.40521,130.61925,85.09307,59.4043,76.72293,78.2196,90.62305,Reggaeton
"Don Omar, Plan B - Hooka.mp3",172.265625,0.4297209,0.08899576,3082.260170735131,315816.3667967614,0.1559366846250483,0.006223512961036512,1.4468644,2.1158788,3.0404677e-05,0.047248956,-1.174049e-05,0.018727345,0.004823826830396293,0.007645281467018657,0.27057698,0.012039511,-10.712248,52.94945,-19.050821,19.930023,-0.38770744,10.239063,1.6872951,7.957746,4.253631,8.574595,5.384459,3.606793,2.4064124,7020.4546,612.395,554.5263,264.69943,247.98595,144.32187,119.191414,113.41186,110.03055,87.40093,97.47323,90.515526,58.305386,Reggaeton
De La Ghetto - Tu Te Imaginas.mp3,95.703125,0.35725832,0.098515525,2577.134173346307,936593.2445350429,0.11658540599632779,0.004034965845404303,1.5583977,4.1799526,1.5197066e-06,0.021973427,-1.090267e-05,0.021277148,-0.011564379176701294,0.008764282063178214,0.22042735,0.012805972,-86.39754,79.85395,-10.926402,0.15233153,-6.4392676,12.8892355,-4.81138,5.1277657,-6.097985,7.470734,-2.97408,5.8334947,4.692884,20992.205,2559.991,998.31244,294.0809,310.3125,131.1151,186.12358,147.66006,143.6357,138.27461,121.26031,107.39455,82.42618,Reggaeton
Hector & Tito - Felina.mp3,123.046875,0.40292835,0.08851855,3814.3964357809873,652917.9064105356,0.2385339784861809,0.012284166798127933,1.595742,3.7881184,2.8900922e-06,0.010259865,-3.252973e-05,0.013125812,-0.015712192961011222,0.010647753547684111,0.14255714,0.009458516,-84.488266,22.44654,-15.163126,13.008794,-2.2182658,7.190686,-4.4624214,1.4771925,1.2096472,7.415964,6.436967,6.458455,-2.675622,9491.431,1159.2767,815.94464,407.55252,342.6146,216.45448,138.45375,108.55245,115.44232,109.262825,109.58371,93.33339,110.667885,Reggaeton
Latin Fresh - Bata Bata 2.mp3,95.703125,0.40375668,0.08731471,2989.2856218872716,486132.5420571547,0.1533488128744685,0.005255547110465414,1.7874306,3.3653748,2.5983287e-05,0.033154618,-5.0520295e-05,0.04608353,0.014648739242580061,0.0059179534711473495,0.32736534,0.010636312,13.234307,66.55074,-0.3750071,12.770367,-4.8965197,11.533499,-5.4330654,7.0858445,-4.9787755,1.2652558,-2.7901363,3.8761423,-1.6849893,3753.5466,756.2998,616.6799,341.67926,429.58862,219.34204,202.59653,147.53873,122.35294,122.45342,131.3647,109.15708,97.52034,Reggaeton
Eddie Dee - La Locura Automatica.mp3,123.046875,0.40834013,0.086112134,2420.673167759364,580003.8506519281,0.12684233215355625,0.003532107733233171,1.2955358,1.8065493,-9.756201e-07,0.00997536,-4.884861e-05,0.006766519,0.010496776500852846,0.005057047628990203,0.14030547,0.0044135884,-73.90899,88.406876,-5.249407,6.8998947,-11.749794,3.3024142,-2.8936098,1.0786288,-6.1152444,4.012871,-4.8548517,3.2583032,-0.35436994,13082.377,895.82056,463.9952,174.29395,199.5783,79.976326,80.564186,67.143456,80.33359,55.2243,57.743,65.22476,63.88023,Reggaeton
Vico C - La Vecinita.mp3,184.5703125,0.41378877,0.08662605,2658.339447619727,595412.0422076462,0.12749349964969076,0.004469210598734203,1.7865007,6.790754,-1.07668175e-05,0.02337428,-6.4923035e-05,0.029277045,-0.004969835680471289,0.006083554836660334,0.25169393,0.012255141,-27.50192,80.746605,-1.9949828,14.196436,-9.06623,12.394021,-2.6958213,7.7333016,-0.7443212,3.3983674,-5.017879,0.27743247,-1.1748796,10406.175,1136.7882,593.1488,257.56195,345.90402,182.3921,132.06448,118.78603,104.28247,115.64337,87.23049,87.30931,103.52777,Reggaeton
