File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Ricardo Ray - Cabo E_000.mp3,107.666015625,0.32343167,0.083947524,4318.624903575826,307193.71247234533,0.30519720698614317,0.0028602929182921246,1.2602974,3.6179032,6.946218e-05,0.007030027,-3.1192398e-05,0.0023489003,0.013896605458340691,0.00848355619861671,0.10339456,0.0014729389,-101.94681,-3.2226326,-25.06048,8.08589,-15.367442,3.563803,4.2475863,19.134296,5.698173,-2.81568,-7.390759,4.9925494,4.2135577,5581.0947,995.9936,439.39716,119.52908,196.0018,64.65572,138.3685,110.186905,188.68948,167.39806,39.43906,76.91513,93.94044,Samba
Nelson Sargento - Sinfonia Imortal_002.mp3,112.34714673913044,0.32373366,0.087419525,1907.6772175443427,229966.09980043303,0.08173398618344907,0.0017649558333192015,1.3474172,3.1866586,3.5237413e-06,0.011151712,-0.00011007054,0.0051252535,0.004306104104760187,0.004989616696618879,0.15130135,0.002086702,-86.82183,117.2358,9.521603,10.005179,-14.910628,-8.394833,-11.289915,-4.1772075,-12.605127,-5.113421,-10.019203,-0.14563172,-6.0685453,1780.1146,365.11002,176.64674,161.98378,137.68861,86.183075,70.3256,58.846737,65.99047,44.55197,49.284145,83.37491,85.25817,Samba
José Menendez y su Conjunto - El Bimbo_004.mp3,123.046875,0.39573702,0.079602614,3033.505600978499,81273.36262385634,0.19132844074769054,0.0011794836937521883,1.3392628,3.4415767,8.914864e-06,0.008207784,-5.3919193e-05,0.004724366,0.0028967257689189677,0.0037071085641527416,0.1346085,0.0011308801,-31.651693,57.33779,-32.360336,13.659678,5.1117864,7.77505,-6.3371663,6.1477666,-4.8919005,3.0837877,-7.8522058,0.5567892,-2.0600538,1483.5548,224.54024,184.9023,165.53725,104.45086,106.15359,71.18772,80.93546,41.866528,32.544746,88.01945,83.7951,52.6206,Samba
Adoniran Barbosa - Trem Das Onze_005.mp3,92.28515625,0.36187273,0.082730554,2107.586418825735,230282.49008697955,0.0906948513454861,0.00216559153970009,1.2049227,1.7157887,-2.1267144e-05,0.01287815,-9.518101e-05,0.0056083836,-0.004766577627945387,0.00609934296976236,0.15080139,0.00373083,-69.18121,105.44036,-14.205697,10.538328,1.3044688,3.7446299,-7.557578,4.476551,4.287249,-0.9122924,-13.267131,-2.3628368,-9.2899065,1479.1416,361.58652,361.0756,168.70673,145.27618,98.04008,59.45989,44.933468,62.64096,42.69401,43.305763,44.794193,28.774183,Samba
Toia - Desafinado_001.mp3,143.5546875,0.49851924,0.07707327,2843.1201709202614,1479206.956706194,0.17622442443706698,0.019751823143843352,1.3375893,2.9008434,1.4279661e-05,0.008430248,3.5618413e-07,0.0021614586,0.018334900407335857,0.005555997677295353,0.10257959,0.0031657494,-107.92342,78.156456,-1.7320063,15.462397,-1.3470291,3.5051084,-2.2139592,4.7901263,-7.37259,-0.68825245,-1.9794255,4.686752,-0.3160232,3653.2146,2647.1023,493.2219,168.48224,178.40298,69.680016,80.96726,87.79049,33.477802,29.073402,22.204308,46.106327,27.337263,Samba
Nico Gomez - Na Verdade_005.mp3,198.76802884615384,0.4336254,0.07843762,2417.879532908135,220458.08569121087,0.1271079734519676,0.0022047755636775608,1.4695435,3.7785802,5.7780517e-06,0.0023528102,8.213565e-06,0.0019340669,-0.005033429648852448,0.002906550261628752,0.07590762,0.0008707878,-117.21373,92.74732,-18.523153,9.572807,-5.4987645,6.911502,-11.083426,-2.9892561,-5.7021813,-1.2833279,-8.595259,-6.2577558,-10.50413,3485.288,540.4598,368.54514,91.900246,125.934235,96.426506,57.626835,57.916794,51.16408,41.791656,39.455658,34.532818,35.51982,Samba
Bezerra Da Silva - Malandragem dá um Tempo_002.mp3,129.19921875,0.41805404,0.07986549,2887.3413774698383,368729.02576630417,0.15065511067708334,0.003877851284212536,1.4608276,2.6605916,-1.9604158e-05,0.035174873,3.7839989e-06,0.019795896,0.006968302345153601,0.004020861335617621,0.27112046,0.007266264,21.960283,73.61172,-6.377124,10.752472,-12.052203,3.2923782,-2.988144,-1.2671235,-11.405113,-4.5850315,-4.6069098,2.3888347,-6.6065063,2088.5283,576.5201,374.97266,156.29573,296.35388,122.58827,117.77399,79.82813,75.513435,53.77803,57.59338,68.59007,48.543533,Samba
Ballroom Orchestra and Singers - Toque de Timbaleiro (Samba  52 Bpm)_000.mp3,103.359375,0.438848,0.085315734,2773.700144280029,256427.1806248377,0.16109898239030024,0.003219944732281715,2.1821187,13.208911,3.2836886e-06,0.0006466892,3.244173e-05,0.0020140961,-0.007101133631532144,0.001297221415516394,0.0465812,0.0015971345,-186.41968,66.21548,-40.671505,-3.5663419,-15.747929,-0.056469712,-3.1335084,8.443055,6.0479527,8.364852,2.032636,2.014718,-5.0677752,10234.034,441.11624,492.57697,258.15164,149.01625,72.44542,85.93732,96.45086,107.14341,62.48426,36.577137,46.629757,37.465935,Samba
Karunesh - Baile De Soul_002.mp3,117.45383522727273,0.39670423,0.08067769,2299.4064316646095,279242.2411805476,0.1163601345486111,0.00236046626979922,1.4335371,3.1469374,-5.770737e-06,0.009589349,9.724226e-05,0.008656213,0.01493551360109733,0.0024243454232151574,0.1598297,0.0039965445,-58.677925,95.18876,-8.510853,25.645576,4.6462216,6.466234,1.8062606,5.0040393,-10.7571535,-1.7861283,6.986568,-2.9229414,-13.158635,1085.3136,354.39142,257.80603,101.56737,85.03022,57.93911,46.49415,39.760605,53.260868,54.328915,72.08445,29.458994,50.48863,Samba
Cafe Latino - Medley- Café Latino  Oye Como Va  Guantanamera  Tea for Two  Ritmo Latino_001.mp3,135.99917763157896,0.32771143,0.09009407,3686.2622211134535,735105.7421035775,0.21708443093244803,0.009321129529520128,1.5753399,3.0299256,1.3842327e-06,0.0019063189,-1.702764e-05,0.0025589964,0.013688067807570613,0.004424265011595429,0.076376244,0.0008557922,-114.7059,44.937023,-14.742343,-13.935953,-15.545807,-6.0687013,-8.390939,-0.20729357,-9.21336,-7.754953,-11.198972,-6.629855,-3.503622,3310.7593,710.31647,394.22287,224.61252,237.94568,114.415726,135.16898,103.55618,83.58862,106.019104,117.51239,109.118484,118.68679,Samba
Beth Carvalho - Folhas Secas_002.mp3,103.359375,0.36474058,0.088359915,2669.846653522406,150081.8703782859,0.14201750578703703,0.0013973020395297246,1.1685055,1.2512887,-1.1636237e-06,0.007957546,-4.295277e-05,0.00495649,-0.007513548767149597,0.003940341183866559,0.12882191,0.0021045962,-54.208572,82.265465,-9.875505,9.2179985,-11.010149,-3.3403597,-4.2140656,-7.586855,-4.022946,-2.7608185,-5.94564,2.8266742,-8.19803,866.2781,285.30115,353.37018,114.630066,186.78416,78.88095,65.861465,72.462616,58.895916,65.68185,95.835014,74.63837,57.77319,Samba
"Martinho Da Vila - Canta Canta, Minha Gente_005.mp3",95.703125,0.4260732,0.08354532,2799.557178279357,270801.40975150425,0.15187355324074073,0.0035487112112660138,1.582937,4.227738,-8.798375e-06,0.0061262106,-9.4821786e-05,0.0068125664,-0.014511979385587567,0.003929536459070218,0.1316101,0.0024462154,-60.089108,74.40009,-11.77976,15.696883,-2.576379,5.018107,-2.6743193,4.1437197,-14.742059,-2.690134,-8.181316,-2.2720342,-5.0595026,2818.0986,442.9359,610.0215,182.09836,218.85379,71.086334,128.54492,66.397255,94.98843,69.05346,49.67993,59.40512,64.12001,Samba
Maria de Barros - Nos Paraiso_001.mp3,123.046875,0.30336028,0.08738,2344.4293654198996,242291.11042345638,0.15450887702078522,0.004796872994714714,1.286157,1.8251877,1.045302e-05,0.0229918,4.1030376e-05,0.0065835547,0.008349730580986722,0.005084868665726827,0.19951677,0.0023486554,-39.253654,99.44867,-5.9273114,13.728728,-9.180364,-4.4430017,-9.746141,-11.348582,-11.011393,5.472181,-10.69706,-10.673626,-0.7667961,1087.5698,472.34607,234.53836,180.00305,101.94555,61.65422,56.525238,119.80008,88.24883,231.64685,120.02483,135.08583,115.13422,Samba
"Luis Carlos Acacio, Victor M. Rosa, Rafael García, Arturo Rodriguez, Juanma Leal - Si Tu Me Dices Ven_001.mp3",99.38401442307692,0.38375157,0.0780629,1780.635981986593,196711.01917632108,0.08613371463625866,0.0012162442452483253,1.2878984,2.5730572,9.068358e-06,0.01569531,-0.00020649971,0.00569136,-0.0049656962569406965,0.004211332978668563,0.17666905,0.001333193,-65.89346,126.242424,8.774472,12.610363,-10.553043,-5.564101,-21.763523,-1.8300892,-3.2933795,-1.8629384,-8.8057165,2.8921485,-9.675023,1436.5253,394.62796,134.03134,107.50402,71.07102,41.157562,83.92444,93.56862,48.945263,53.251602,73.377144,75.77625,59.48102,Samba
Leci Brandao - Pot-Pourri- Papai Vadiou  As Coisas Que Mamãe Me Ensinou  Fundo De Quintal  Olodum Força Divina_002.mp3,112.34714673913044,0.38983634,0.08583761,2815.111505184837,421420.44994022744,0.138336181640625,0.003781950480684086,1.607206,3.6086829,1.8608911e-05,0.007295344,-1.2530186e-05,0.005109929,-0.019828027854805207,0.005369565327470943,0.12656365,0.0026510388,-75.34351,79.562225,-2.3664567,5.483387,-1.2775636,3.8110476,-8.45125,3.561644,-14.395564,-1.4618942,-3.1043243,1.9408065,-1.8330958,2124.843,563.3591,818.16003,210.116,193.05614,87.67498,103.525375,69.62575,88.41025,95.81695,131.91905,100.92197,71.670525,Samba
Zeca Pagodinho - O Feijão de Dona Neném_004.mp3,135.99917763157896,0.38110366,0.08735517,2356.4583798934727,187736.57360479917,0.1178122293591224,0.0012624749339298481,1.4499981,2.4370422,-9.726434e-07,0.0015746339,-7.382668e-05,0.002370582,-0.0054197567360127746,0.0032157342208907307,0.073217265,0.00085100305,-130.43294,97.9905,-12.937363,-7.0827856,-10.3555355,-6.1913195,-5.11555,-2.4418337,-8.860495,-5.481761,-9.970211,-3.4033587,-12.004456,1609.2269,353.90143,558.23413,162.4165,155.64607,91.49619,73.150665,75.249535,68.82472,94.669655,84.16134,66.38524,81.16109,Samba
Ubaldo Continiello - Voglia di donna - Seq. 7_000.mp3,129.19921875,0.35302407,0.0888151,3912.4953113795705,1591011.1598392185,0.22867462651558892,0.018690455640133396,1.5782642,3.432085,-3.8598162e-05,0.009624646,-6.0992425e-05,0.008060671,0.0066549875792095954,0.003525490163571963,0.15002498,0.002542548,-75.17006,54.844006,34.89081,10.664121,4.6373343,-0.28817517,10.727533,1.6721406,-6.1616945,-8.053765,-8.527714,-5.1634593,-6.940428,8295.435,672.014,525.6847,192.51248,167.73447,103.82913,68.4237,53.581852,57.936256,71.10777,45.46234,84.44486,45.381912,Samba
Ballroom Orchestra and Singers - Te Informo (Samba  50 Bpm)_005.mp3,135.99917763157896,0.42870608,0.07928711,2834.382888543369,301782.42703923874,0.14045658817997686,0.003482096509136699,1.5336221,4.154509,-1.3061499e-05,0.0031893167,-0.000107050706,0.004747719,-0.008149978614372997,0.0016328504330733078,0.10178774,0.0016968913,-89.28087,79.04554,7.839289,15.524456,15.511139,7.9952097,1.8940444,3.0588136,-8.370864,5.4229336,-6.865015,-1.5106114,-2.109686,1503.8595,246.7762,284.14536,136.63083,132.5695,71.5216,84.90923,55.967773,64.0279,48.221996,86.58529,58.07516,78.78965,Samba
"Paulinho Da Viola, Elton Medeiros - Perdoa_005.mp3",112.34714673913044,0.41401634,0.07934363,2763.0276879520943,382101.38729010103,0.1306220160590278,0.004221618129515353,1.5544999,4.594451,-3.818862e-05,0.017783912,1.36472445e-05,0.014621941,0.003266441128843889,0.002440216409124924,0.19769867,0.00812062,-33.78208,81.91688,12.396136,16.898989,2.7041094,3.5927594,-3.7858303,5.775027,-2.0270283,0.5792067,-4.5312595,-0.47770017,-8.556759,2028.3461,337.01706,322.08557,160.2736,167.734,102.624565,112.612,79.35648,84.69406,71.217674,70.54393,81.86646,64.76043,Samba
"Ballroom Orchestra and Singers - Ella, ella l'a (Samba  50 Bpm)_005.mp3",99.38401442307692,0.36692417,0.08100571,2544.8963313490713,159736.24621730694,0.1334601508246528,0.002117643190294872,1.2407409,2.9895108,-4.8452916e-06,0.02503868,-2.7217824e-05,0.010439077,0.011742047171940514,0.006334009489701186,0.22387525,0.0017873474,-5.9320283,87.180466,-7.820949,10.146928,5.266035,-2.4356296,-5.2762814,9.202979,-0.94552475,-0.8624574,-6.8031073,-0.6674184,-5.4953465,1205.0887,437.762,505.80548,162.22685,141.73897,114.95288,85.39486,89.70928,60.25367,48.283684,47.233124,87.83456,74.68128,Samba
Cafe Latino - Medley- Café Latino  Oye Como Va  Guantanamera  Tea for Two  Ritmo Latino_000.mp3,234.90767045454547,0.29997337,0.092564926,4532.099396140905,1108529.3416471588,0.3020498791137413,0.016936668941397556,1.4777595,3.457189,-8.830615e-07,0.0017150269,7.902723e-07,0.001751242,0.011395753884675057,0.008601265556065383,0.062337615,0.0008203247,-185.6948,4.359508,-18.272747,-10.444103,0.24680728,4.2448487,-4.512766,2.7982235,-0.5121842,-0.29547048,-9.630948,-6.2369256,-1.6107277,15174.242,1951.7948,711.9977,193.52551,387.30124,253.28561,222.70148,136.62547,128.751,242.123,178.3501,119.699875,133.9181,Samba
Nico Gomez - Brigitte Bardot_001.mp3,123.046875,0.4283765,0.08061724,2802.1716091378266,200673.3573587338,0.16297091512702078,0.0018129855172939024,1.3920534,2.3874223,-1.6936294e-05,0.002276966,-8.304432e-05,0.003679251,0.013658042094615108,0.00235650428704947,0.091841914,0.0006855076,-77.641495,77.2634,-25.471153,-1.7828993,-12.931465,3.1207154,-2.0882535,0.6225188,-12.911162,-5.069075,-4.0522275,-1.4275568,-7.3403826,1299.198,331.77963,481.86484,193.00267,224.58894,113.72839,57.950005,74.6011,54.8732,91.855865,75.864655,100.14087,55.300632,Samba
Nelson Sargento - Sinfonia Imortal_004.mp3,83.35433467741936,0.35311732,0.09121683,2101.309817325865,210343.56974246664,0.09046284100750578,0.001028826783924416,1.3311427,1.9947588,1.05648405e-05,0.016621502,8.752623e-05,0.008620359,0.007756016759065553,0.004157862896503046,0.18394174,0.003291891,-56.80462,107.56165,4.019422,7.297036,-13.16109,-3.9631107,-8.943212,-4.0071015,-14.993865,-4.631089,-11.749198,-2.333997,-5.858662,1640.9353,362.30164,398.7663,164.1011,97.48664,62.44495,76.435425,44.397274,63.316853,44.07478,50.72039,71.00332,83.96763,Samba
Kaoma - Mélodie d'amour_000.mp3,123.046875,0.38003322,0.09168322,3064.8881045584235,2269888.254018632,0.1763439574913395,0.021869076834514466,1.8809822,11.335265,6.1135283e-06,0.0053332117,-0.00010462565,0.004763938,-0.003160644796436357,0.0034553231123487594,0.09995554,0.003853327,-165.1936,59.598866,10.361901,10.937803,-0.9285129,3.3616464,-4.563695,-5.8580356,-1.4947456,-1.9868351,-5.493334,-2.1934314,-5.4200697,27486.871,2146.5264,568.8247,348.09903,184.72655,147.61732,81.858826,90.05782,100.34054,63.561497,65.66318,58.71793,94.663124,Samba
"Quinteto em Branco e Preto, Maurilio de Oliveira - Patrimônio da Humanidade_002.mp3",89.10290948275862,0.42471632,0.08155121,2192.5593019524417,157262.31017519237,0.10231865776909722,0.0015686678550677537,1.5502429,4.816171,-1.0206459e-05,0.008445488,-5.814341e-05,0.006589141,-0.004977583797000099,0.0035523336756061205,0.13816391,0.003136785,-77.75846,105.465836,6.1098304,7.614897,-7.89516,0.16543901,-4.257817,-2.9745686,-7.5414042,-9.859901,-4.521778,0.859225,-9.083763,2234.7412,227.11856,278.3646,133.31311,149.08904,71.23873,68.69559,55.39529,65.41391,55.776848,87.24582,63.435223,49.372883,Samba
