File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
Mayolas - Hotel California (Samba  50 Bpm).mp3,135.99917763157896,0.38648173,0.081507854,3606.7688991770688,277020.5109634123,0.22915169295999227,0.004166687323920501,1.285643,1.348986,2.4655708e-06,0.0032885342,4.4271e-05,0.0022977768,0.0007915442638870545,0.0035693748654754046,0.09115142,0.00032906255,-74.94914,52.14079,11.107066,18.992365,1.8303764,5.9765816,-2.1797428,-2.8153422,-10.819476,4.6615663,-2.5268445,2.4378524,-11.709056,1256.1029,258.18494,287.21167,143.40317,190.73854,104.53265,93.65741,96.09354,106.95616,95.7547,96.26433,96.577644,73.33194,Samba
Chico & Roberta - Frente a Frente.mp3,117.45383522727273,0.38391763,0.081715964,2690.1476136032893,470342.4745570602,0.13720401134277155,0.0037069643148404255,1.2403778,1.2173046,-1.5869386e-05,0.014280988,3.6741906e-07,0.007416412,-0.0006331974206728273,0.003850434621459846,0.1763131,0.0020028376,-42.822872,83.7698,7.5609326,10.130394,5.437345,13.341247,1.7778084,2.6306632,-6.2221913,-1.1527307,-4.5994935,0.040679473,-8.270065,4322.4507,601.8374,234.63399,130.51831,126.92671,122.66641,76.621445,79.424675,107.72794,124.67453,72.25178,123.93025,90.885025,Samba
Luis Bacalov - Samba.mp3,86.1328125,0.39243993,0.07929902,2542.1746927012673,434027.373671215,0.15001162664282952,0.0028839536567724067,1.2370403,1.7803452,-1.6390989e-06,0.0026517084,-9.892007e-06,0.0022692534,0.00509482333075811,0.003927507451164404,0.079105295,0.0012426383,-137.4293,85.597435,9.3399725,33.29234,6.5806684,-1.7462708,-0.6910811,6.6713123,4.170638,2.882902,-6.5124645,4.4558945,-0.4561299,2823.3538,564.7475,310.49078,269.05905,215.48647,160.74875,139.58305,85.314224,104.54925,150.47533,157.40527,118.34329,94.9081,Samba
K-Narias - De Canarias para el Mundo.mp3,99.38401442307692,0.3898513,0.08306583,3012.870436080153,495062.5485699467,0.16173301906165444,0.004806747763760385,1.3791016,2.2634652,-2.6778775e-05,0.027337499,1.7797222e-05,0.015584572,-0.002807428877007214,0.00574489609014883,0.24300131,0.004986664,6.5254116,72.61207,-6.5449753,5.5733867,-10.751107,6.6345744,-11.325931,0.49855402,-7.513073,3.310037,-4.3395147,3.1285133,-3.3704731,4597.917,573.0883,334.5588,243.96588,190.59882,151.78668,113.04359,102.769424,76.4118,66.27347,68.78208,68.95065,66.92796,Samba
Paulinho Da Viola - Coração Leviano - Ao Vivo.mp3,99.38401442307692,0.39483565,0.083518706,1986.48015993803,279290.63225365477,0.07818086828372632,0.0017871066076302516,1.3019999,2.1035857,-1.7286755e-05,0.021462847,-3.7528553e-05,0.008928266,0.0017394985763423282,0.0057383823605952275,0.19752552,0.007950974,-72.60427,113.026886,20.227407,8.255822,-17.80409,-1.6197791,-9.520396,2.6974735,-7.3895636,-1.9040345,-5.9301567,-0.5565102,-7.3927436,5135.168,507.28726,467.64767,163.72493,206.24127,86.433,77.03808,67.07134,60.67,60.266586,54.871197,55.359398,50.586903,Samba
"Ballroom Orchestra and Singers - Ella, ella l'a (Samba  50 Bpm).mp3",99.38401442307692,0.3939306,0.07627979,2393.851208370119,212173.1439013832,0.11057748930952842,0.0015569285393836946,1.1824403,1.214276,-2.9806273e-05,0.02084163,-4.4111777e-05,0.0066683013,0.01970074602830911,0.00908032259880797,0.19085369,0.0032624477,-30.45295,97.93615,0.8767195,9.569271,1.5353416,-0.22583796,-6.3095417,1.1519846,-7.0155697,-0.45054534,-4.300647,1.2301909,-2.1844077,2156.9385,341.59805,347.19046,150.61333,142.02475,92.5626,70.88919,76.16398,67.781975,61.36011,44.284294,49.735374,51.50173,Samba
Ballroom Orchestra and Singers - Mi Primera Samba - Samba  50 Bpm.mp3,103.359375,0.4300273,0.08613159,2985.5189771489104,403914.575657744,0.16799951530488982,0.005875131706017609,1.465378,3.0785172,5.012327e-06,0.014542464,-8.156508e-05,0.011208654,0.009831991647452751,0.003259092967621865,0.18126884,0.005973671,-40.642387,69.4754,-0.27002084,15.9481,5.084489,7.457756,-1.6844623,1.1620126,-6.7219768,2.8680296,-5.5662756,1.0976361,-3.3182712,7052.4834,626.1687,777.6008,214.98154,185.66092,116.81145,89.752785,101.68891,76.19657,109.45069,70.30509,91.57294,60.169205,Samba
Clara Nunes - Coração Leviano.mp3,103.359375,0.3774387,0.083675966,3095.237753947521,519527.8712514644,0.17272434890800153,0.007186737989564993,1.2132323,1.0733919,1.3628831e-05,0.013083845,7.935254e-06,0.0054844096,-0.0038906104936205213,0.0036774720459626536,0.1541977,0.0032696675,-50.676937,58.218292,-5.0101724,24.490505,-0.8493994,15.850053,-3.9962318,1.8785827,-12.877612,3.5107648,-7.337636,-3.6998076,-10.2511635,4084.3254,688.20935,898.9695,159.85056,241.22092,126.218124,147.52374,82.15151,97.74229,64.881905,66.11527,74.36493,58.970676,Samba
"Paulinho Da Viola, Elton Medeiros - Perdoa.mp3",107.666015625,0.41520712,0.08852331,2927.877606523325,1073975.663645273,0.12465082322671048,0.0047592072620547925,1.713529,6.2672186,-1.00778425e-05,0.012010208,-4.9126984e-06,0.008921701,0.002245124407234406,0.0033482830555323995,0.1420772,0.010976868,-104.735115,79.75721,15.570307,13.470821,2.631506,4.7773294,-3.9085863,3.2576642,-5.3057375,-1.8998557,-6.0368214,-2.8113174,-5.1502175,15134.083,692.9362,733.98376,221.09563,341.92752,94.749916,117.933815,95.79958,105.95777,69.29908,82.07507,62.284416,60.918064,Samba
"Luis Carlos Acacio, Victor M. Rosa, Rafael García, Arturo Rodriguez, Juanma Leal - Mañana de Carnaval.mp3",123.046875,0.35179132,0.08734276,2184.6903857158172,530856.6011097699,0.10504332056919212,0.003091426916463885,1.1731877,1.3570167,7.787014e-06,0.019904213,-6.5819644e-05,0.008526496,0.00940699016924744,0.004409515204075625,0.18433636,0.0056397514,-54.773506,102.49819,-9.676175,7.400857,-5.6254497,-4.2511516,-12.247161,-0.2263993,-8.79379,-3.328749,-9.28866,-0.8976094,-1.6760334,6484.079,732.5639,413.09384,161.9259,179.82678,102.68089,107.499435,84.8457,85.733444,59.926205,81.439545,50.232224,66.40472,Samba
