File,Tempo,Chroma_mean,Chroma_var,SpectralCentroid_mean,SpectralCentroid_var,ZeroCrossingRate_mean,ZeroCrossingRate_var,OnsetStrength_mean,OnsetStrength_var,Harmonic_mean,Harmonic_var,Percussive_mean,Percussive_var,Tonnetz_mean,Tonnetz_var,RMS_mean,RMS_var,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_variance,MFCC2_variance,MFCC3_variance,MFCC4_variance,MFCC5_variance,MFCC6_variance,MFCC7_variance,MFCC8_variance,MFCC9_variance,MFCC10_variance,MFCC11_variance,MFCC12_variance,MFCC13_variance,Label
"Stadic, Mr. Killa - Run Wid It.mp3",107.666015625,0.4126997,0.09188182,2733.619396390793,577839.9039246074,0.11265159934286818,0.0053742686842429945,1.7702804,4.082747,-1.5017811e-05,0.04441527,0.00018858217,0.042937428,0.0053273447689992,0.002371756559304881,0.32427278,0.014488503,6.1200466,80.568924,3.073201,8.064309,-6.158699,1.031358,-8.679509,0.69133395,0.24140505,1.1095321,1.4122902,3.9755983,3.393499,3535.479,709.614,667.8713,292.07877,320.2415,210.10176,141.5031,111.57182,82.3949,76.89194,118.91746,74.45273,94.231834,Soca
Zoelah - Wine Up On Me.mp3,117.45383522727273,0.4015388,0.08600919,3059.302933520645,364266.6121704733,0.15267310863210282,0.00371558406810065,1.5971297,3.3643627,-4.3435055e-05,0.021595413,1.5818812e-05,0.021390734,0.0008494347718114258,0.0023941925105032094,0.23224694,0.0063823275,-5.903889,64.14667,-4.8940387,10.447894,-1.9053631,8.397977,-2.8269525,3.8447208,-2.825905,7.0537167,0.4320286,4.592105,-5.4214845,2988.5203,474.78613,426.84375,249.90163,249.93196,166.74927,111.827576,108.952385,81.31102,76.83185,82.46387,81.2056,74.53153,Soca
"Nessa Preppy, Travis World - Issa Snack.mp3",143.5546875,0.40830427,0.09033209,2639.448316959141,708329.3964956397,0.11485594287543487,0.005145655119504146,1.6788647,5.6463847,-5.865528e-05,0.017891794,-2.5485042e-05,0.017911257,0.01033816414957883,0.005786161266120302,0.1989899,0.010304915,-58.227398,80.360954,-2.5265334,14.6777,-2.4269462,5.3807263,-3.833568,5.4397964,-3.425547,5.970249,-3.5958729,3.9410253,3.4194365,9349.685,1001.4915,602.3906,297.17822,211.80443,159.33408,128.01025,104.09837,91.49088,133.2602,76.13241,76.37843,113.1314,Soca
Erphaan Alves - Blaze in Love.mp3,112.34714673913044,0.39661738,0.08751671,2797.8914247203934,466856.5340192579,0.1315735830595284,0.0037844763652180005,1.3971062,2.4853113,1.9934378e-05,0.036558136,-3.5604615e-05,0.02469159,-0.013110165295546292,0.006616453896898771,0.26104787,0.013377427,-11.210776,76.77221,-4.559934,4.3850355,-3.786741,3.7012005,-3.3509986,2.3420482,-2.3669655,3.3979063,-1.1945598,3.5832562,-2.7763684,3670.3333,648.6873,688.6771,283.97107,372.78998,190.12115,151.1395,137.21663,103.68462,93.191605,106.859856,84.003624,95.33245,Soca
Kes - Boss Lady (Sign Me Up).mp3,143.5546875,0.4168561,0.08523208,2770.8168887990487,339831.9526429153,0.14021051773289525,0.003198763179017446,1.4290925,2.2337193,5.9009388e-05,0.0434575,-0.00011531762,0.041842777,-0.0027775695632214488,0.002282962964937851,0.34350684,0.008548233,38.18019,77.739044,-8.652367,12.000172,0.5880595,5.6156216,-2.3420272,0.41394132,1.3266848,0.80122614,-0.4869435,2.020745,-4.3885555,1787.9165,475.3793,465.54028,173.67839,194.96692,119.35671,89.77984,91.38259,93.03046,89.6483,92.09955,82.86734,69.96617,Soca
Olatunji - Wa Do.mp3,103.359375,0.36565807,0.08555337,3079.395420301254,249380.71524309984,0.1745294984538075,0.0034566491729291645,1.4697684,2.432887,8.951894e-05,0.033436492,-7.276433e-05,0.030128213,-0.0017739987703532358,0.005108699366760227,0.28993958,0.008509699,14.933281,60.97491,-8.790607,10.649965,-7.1043687,10.1362505,-6.071657,4.5154,-7.746573,1.1731205,-1.4567115,-1.0133932,-5.132096,2625.2883,504.44916,617.3416,354.7839,380.25223,210.38113,137.1521,145.88431,121.48948,118.38937,96.81161,107.90068,102.279305,Soca
Kerwin Du Bois - No Apology.mp3,129.19921875,0.3571525,0.088640384,2378.3412276345275,390842.2198216115,0.11493993404522614,0.0025834902029109744,1.4273733,2.2654212,8.587748e-06,0.024986882,8.594915e-05,0.019379616,-0.003452866541649866,0.0038447446016724655,0.22864543,0.010545968,-23.894543,95.4211,-13.697065,11.373443,-4.974374,2.3698144,-2.3680563,5.437732,-2.061464,1.7765526,-5.35475,-3.4197354,-7.5367494,3529.4016,708.6974,555.9564,175.9474,241.62143,110.43757,138.55338,98.49548,115.748405,75.97943,76.39902,63.03678,69.507545,Soca
Kranium - Can't Believe (feat. Ty Dolla $ign & WizKid).mp3,135.99917763157896,0.44102976,0.08866934,2389.677887775079,429846.1089402487,0.08620419555711249,0.0033745982474598897,1.6211718,4.073841,-2.458632e-05,0.06364425,-6.5398766e-05,0.026274025,0.013397749361159112,0.004467354117964386,0.33135372,0.006632956,1.0213032,88.6725,6.4952927,21.230976,2.616313,17.565714,2.1236887,8.3740635,-1.8982366,6.157414,-1.2320436,3.2835371,-1.8031205,2260.4458,509.19858,266.9456,103.05069,146.89746,84.653175,96.90782,71.126175,58.436146,46.171593,52.316288,49.124573,52.466347,Soca
Machel Montano - Play Harder.mp3,107.666015625,0.41050974,0.0868614,2849.775070209245,509151.6347374284,0.13012742498550445,0.0041168701660309675,1.6641761,4.157155,-0.00019568249,0.02549182,0.00017562114,0.048292685,0.0007262365074641785,0.0032019016953281168,0.30167547,0.011062108,7.497756,77.31571,-1.6132865,3.7337518,0.03133418,-4.916121,1.7754323,-4.0092864,-4.7435865,0.806075,-0.6333207,6.1925945,0.27328244,2808.6072,577.51794,392.89758,306.87003,264.6019,209.40524,209.05363,148.9551,108.60078,91.759544,89.773155,105.647385,72.960655,Soca
Skinny Fabulous - Up & Up.mp3,135.99917763157896,0.38496727,0.08997107,3086.680439229862,458774.60355042777,0.1505555874323541,0.003566303511698483,1.6182026,3.18887,-7.5125768e-06,0.031648584,2.9791909e-06,0.038047213,-0.012346063352937905,0.003270432961346151,0.2991575,0.0069639827,15.240733,60.030575,-10.137909,11.050055,9.68473,2.5679243,-2.2177532,-0.615031,-2.7061355,7.394624,6.367929,6.322786,-6.188789,6171.064,402.58234,423.70062,210.82262,352.20618,228.09969,136.98717,96.63796,101.54548,94.44784,106.225334,94.34327,102.00046,Soca
